accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.481,-5.90889,1.434127,1.060631
0.501,-6.534974,1.177947,1.616086
0.521,-7.445961,0.578104,2.32305
0.541,-8.462807,-0.684959,3.097027
0.561,-9.068939,-2.308987,3.841435
0.581,-9.39234,-4.075144,4.646659
0.601,-9.607522,-6.187373,5.450909
0.621,-9.636532,-8.466705,6.068034
0.641,-9.434533,-10.31493,6.520018
0.661,-9.025533,-11.34912,6.796774
0.681,-8.43881,-11.67413,6.866434
0.701,-7.66849,-11.53015,6.765375
0.721,-6.716234,-11.19801,6.532037
0.741,-5.622483,-10.79908,6.227807
0.761,-4.505332,-10.36469,5.895444
0.781,-3.490101,-9.931394,5.584696
0.801,-2.639152,-9.543708,5.333447
0.821,-2.023442,-9.301198,5.145082
0.841,-1.635138,-9.19687,4.986218
0.861,-1.371327,-9.172044,4.861562
0.881,-1.210157,-9.270648,4.786075
0.901,-1.214378,-9.604609,4.793838
0.921,-1.41557,-10.18192,4.857127
0.941,-1.767959,-10.99359,4.916631
0.961,-2.208683,-11.93841,4.949345
0.981,-2.680212,-12.69464,4.964075
1.001,-3.093151,-13.03696,4.951677
1.021,-3.387975,-12.91876,4.898874
1.041,-3.566501,-12.49166,4.811518
1.061,-3.691043,-11.80685,4.666029
1.081,-3.763395,-10.87679,4.474838
1.101,-3.760597,-9.756487,4.284214
1.121,-3.74514,-8.512944,4.093704
1.141,-3.777907,-7.23869,3.907053
1.161,-3.839182,-6.085572,3.736057
1.181,-3.936408,-5.284009,3.598253
1.201,-4.073786,-4.808602,3.513736
1.221,-4.250015,-4.561367,3.469238
1.241,-4.461234,-4.5729,3.482789
1.261,-4.742032,-4.893438,3.57563
1.281,-5.031024,-5.453837,3.720372
1.301,-5.355882,-6.323067,3.868306
1.321,-5.634737,-7.439,3.964229
1.341,-5.77986,-8.820263,4.009645
1.361,-5.754201,-10.18895,4.028116
1.381,-5.584436,-11.05745,4.034794
1.401,-5.302629,-11.3235,4.028028
1.421,-4.919746,-11.22743,4.000489
1.441,-4.431346,-10.95064,3.951401
1.461,-3.857378,-10.57799,3.894217
1.481,-3.265593,-10.20025,3.842364
1.501,-2.731619,-9.881614,3.786296
1.521,-2.26756,-9.674263,3.728047
1.541,-1.870728,-9.524451,3.672528
1.561,-1.552862,-9.382483,3.632993
1.581,-1.324978,-9.33207,3.61306
1.601,-1.209607,-9.522296,3.620647
1.621,-1.272908,-10.01888,3.671553
1.641,-1.559722,-10.80472,3.739312
1.661,-1.969792,-11.7382,3.789333
1.681,-2.388861,-12.52681,3.816378
1.701,-2.731456,-12.9669,3.845439
1.721,-2.993799,-13.07925,3.861418
1.741,-3.17509,-12.82567,3.842963
1.761,-3.285733,-12.2932,3.797645
1.781,-3.351306,-11.52824,3.731961
1.801,-3.411576,-10.57169,3.650367
1.821,-3.47208,-9.475064,3.551443
1.841,-3.508044,-8.307092,3.436166
1.861,-3.537263,-7.222847,3.324316
1.881,-3.599356,-6.261748,3.233768
1.901,-3.665227,-5.45106,3.176027
1.921,-3.712847,-4.8766,3.169298
1.941,-3.838972,-4.643488,3.224849
1.961,-4.110819,-4.673669,3.296324
1.981,-4.439704,-5.143459,3.340756
2.001,-4.751647,-6.033853,3.381824
2.021,-4.971376,-7.274147,3.412379
2.041,-5.101368,-8.854975,3.414623
2.061,-5.125924,-10.27499,3.405668
2.081,-5.064316,-11.02106,3.387841
2.101,-4.939091,-11.14178,3.353568
2.121,-4.764512,-10.8398,3.303615
2.141,-4.543296,-10.33516,3.235963
2.161,-4.293007,-9.795756,3.165487
2.181,-4.044805,-9.294447,3.102767
2.201,-3.795282,-8.842544,3.041924
2.221,-3.531653,-8.480639,2.980796
2.241,-3.264086,-8.316083,2.930979
2.261,-3.010782,-8.384991,2.91562
2.281,-2.796058,-8.630861,2.923895
2.301,-2.640982,-9.086522,2.958308
2.321,-2.62039,-9.824725,3.008288
2.341,-2.71976,-10.77587,3.06496
2.361,-2.889051,-11.67826,3.137597
2.381,-3.114977,-12.35981,3.211734
2.401,-3.349539,-12.70823,3.279385
2.421,-3.586735,-12.69941,3.338398
2.441,-3.793486,-12.43772,3.388629
2.461,-3.952034,-12.01028,3.423727
2.795,-3.865789,-11.97271,3.295888
2.815,-3.716726,-11.83515,3.156192
2.835,-3.533549,-11.64314,3.01349
2.855,-3.324819,-11.46205,2.878237
2.875,-3.100705,-11.31488,2.755073
2.895,-2.8525,-11.16913,2.664113
2.915,-2.590974,-11.01432,2.601782
2.935,-2.337511,-10.92487,2.571147
2.955,-2.113935,-10.95295,2.58476
2.975,-1.9534,-11.09925,2.649213
2.995,-1.875444,-11.3923,2.760585
3.015,-1.943035,-11.81425,2.91528
