gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.52,-1.226793,-0.04743,0.571429
0.54,-1.367152,-0.060221,0.524332
0.56,-1.473608,-0.058399,0.514031
0.58,-1.53289,-0.042625,0.531115
0.6,-1.539314,-0.018092,0.570885
0.62,-1.492364,0.012646,0.622134
0.64,-1.406622,0.044501,0.667972
0.66,-1.299442,0.078752,0.694345
0.68,-1.178646,0.116028,0.696126
0.7,-1.039476,0.155672,0.674124
0.72,-0.878198,0.194801,0.632736
0.74,-0.697425,0.229664,0.577281
0.76,-0.503973,0.257659,0.513716
0.78,-0.309191,0.277986,0.44586
0.8,-0.126435,0.290149,0.375589
0.82,0.033527,0.294509,0.304085
0.84,0.164259,0.293432,0.232119
0.86,0.266681,0.289228,0.160724
0.88,0.352153,0.283719,0.091502
0.9,0.434777,0.276502,0.025191
0.92,0.525038,0.267176,-0.037118
0.94,0.626137,0.2562,-0.094387
0.96,0.736579,0.241494,-0.147038
0.98,0.850472,0.219726,-0.198798
1,0.956553,0.192189,-0.25304
1.02,1.042653,0.162386,-0.311945
1.04,1.105633,0.132502,-0.376038
1.06,1.147697,0.101999,-0.442436
1.08,1.170611,0.070785,-0.506837
1.1,1.177938,0.040919,-0.563942
1.12,1.17655,0.01449,-0.610104
1.14,1.175106,-0.006321,-0.641514
1.16,1.180894,-0.020619,-0.654069
1.18,1.198734,-0.029244,-0.645789
1.2,1.22991,-0.034151,-0.618821
1.22,1.272339,-0.037067,-0.575872
1.24,1.322386,-0.039553,-0.522994
1.26,1.377512,-0.042034,-0.465746
1.28,1.43633,-0.044545,-0.407755
1.3,1.495533,-0.046937,-0.352633
1.32,1.550594,-0.04915,-0.303356
1.34,1.596721,-0.050397,-0.262112
1.36,1.629214,-0.049649,-0.231258
1.38,1.647979,-0.046551,-0.210994
1.4,1.656801,-0.041407,-0.200008
1.42,1.660487,-0.034886,-0.196291
1.44,1.66213,-0.027943,-0.197507
1.46,1.661613,-0.021895,-0.204167
1.48,1.657681,-0.016742,-0.215565
1.5,1.649434,-0.012322,-0.230689
1.52,1.638078,-0.00882,-0.247977
1.54,1.623837,-0.006137,-0.267101
1.56,1.605686,-0.004676,-0.285845
1.58,1.58155,-0.004167,-0.300868
1.6,1.549962,-0.004872,-0.308618
1.62,1.512835,-0.005117,-0.309079
1.64,1.470798,-0.002507,-0.304892
1.66,1.432931,0.004409,-0.297355
1.68,1.411192,0.01503,-0.28797
1.7,1.408803,0.028047,-0.279101
1.72,1.421276,0.041701,-0.270533
1.74,1.441044,0.054527,-0.261847
1.76,1.461818,0.065185,-0.251883
1.78,1.479131,0.07374,-0.239611
1.8,1.487096,0.081233,-0.226393
1.82,1.486964,0.086876,-0.213345
1.84,1.485924,0.08995,-0.201303
1.86,1.488565,0.091809,-0.191327
1.88,1.496551,0.092665,-0.18357
1.9,1.508977,0.092756,-0.178157
1.92,1.524017,0.092058,-0.17459
1.94,1.539669,0.090227,-0.17217
1.96,1.554155,0.087587,-0.170554
1.98,1.567405,0.084634,-0.169308
2,1.580027,0.081377,-0.168864
2.02,1.590776,0.076997,-0.169659
2.04,1.598298,0.071427,-0.171847
2.06,1.601624,0.065362,-0.175912
2.08,1.601682,0.059126,-0.182036
2.1,1.600143,0.052358,-0.190324
2.12,1.596585,0.044851,-0.201261
2.14,1.590256,0.037128,-0.214609
2.16,1.580944,0.029702,-0.229791
2.18,1.568996,0.023153,-0.246873
2.2,1.556464,0.017779,-0.265652
2.22,1.545219,0.013616,-0.286074
2.24,1.534646,0.011608,-0.307555
2.26,1.524872,0.011348,-0.330122
2.28,1.517192,0.012769,-0.353427
2.3,1.513127,0.01549,-0.376819
2.32,1.513173,0.018104,-0.400473
2.34,1.514597,0.019556,-0.424833
2.36,1.514048,0.019781,-0.45073
2.38,1.509229,0.019626,-0.478972
2.4,1.500126,0.020169,-0.509632
2.42,1.489679,0.021744,-0.541612
2.44,1.481622,0.024363,-0.573046
2.46,1.47867,0.027535,-0.601617
2.48,1.481518,0.03026,-0.625336
2.5,1.488947,0.031716,-0.643421
2.587,1.486265,0.027057,-0.642876
2.607,1.476335,0.02217,-0.642269
2.627,1.460259,0.017358,-0.642327
2.647,1.43961,0.012851,-0.642485
2.667,1.41645,0.008882,-0.641548
2.687,1.393963,0.005456,-0.638734
2.707,1.374301,0.00265,-0.633666
2.727,1.358296,0.000537,-0.62606
2.747,1.345476,-0.000842,-0.615811
2.767,1.333973,-0.001509,-0.602759
2.787,1.321105,-0.001453,-0.587314
2.807,1.305181,-0.00075,-0.569233
2.827,1.285232,0.000526,-0.548602
2.847,1.261443,0.002417,-0.524927
2.867,1.231776,0.005329,-0.498113
2.887,1.195864,0.008888,-0.46884
2.907,1.155267,0.014189,-0.437468
2.927,1.111081,0.021338,-0.404447
2.947,1.063799,0.030037,-0.371198
2.967,1.016695,0.03964,-0.33631
2.987,0.973041,0.049693,-0.299992
3.007,0.935206,0.059651,-0.263538
3.027,0.902545,0.069224,-0.227917
3.047,0.870906,0.078632,-0.192296
3.067,0.83639,0.088435,-0.15483
3.087,0.79918,0.098669,-0.114427
3.107,0.763528,0.10912,-0.070818
3.127,0.733207,0.119346,-0.0249
3.147,0.707084,0.129152,0.020842
3.167,0.682251,0.138143,0.063373
3.187,0.657118,0.145847,0.099688
3.207,0.631015,0.152201,0.128681
3.227,0.603167,0.15727,0.149757
3.247,0.573773,0.160497,0.163524
3.267,0.54451,0.161844,0.171432
3.287,0.516322,0.161501,0.174052
3.307,0.488314,0.159673,0.171722
3.327,0.458777,0.156976,0.164837
3.347,0.42759,0.154036,0.153873
3.367,0.396721,0.151037,0.13957
3.387,0.369186,0.147838,0.122865
3.407,0.347529,0.144436,0.104625
3.427,0.332888,0.140735,0.084886
3.447,0.323675,0.137068,0.063515
3.467,0.317913,0.134368,0.041065
3.487,0.3138,0.130438,0.01684
3.507,0.310156,0.125759,-0.008481
3.527,0.306891,0.119585,-0.035157
3.547,0.304286,0.11221,-0.064778
3.567,0.302165,0.104646,-0.098105
3.587,0.30069,0.097043,-0.136058
3.607,0.299793,0.089943,-0.178229
3.627,0.300348,0.083797,-0.223014
3.647,0.304679,0.078324,-0.26865
3.667,0.315361,0.073158,-0.312714
3.687,0.334208,0.067652,-0.351811
3.707,0.360064,0.061377,-0.384392
3.727,0.390148,0.054258,-0.40963
3.747,0.420529,0.046425,-0.428921
3.767,0.447499,0.038119,-0.443957
3.787,0.467425,0.02922,-0.456799
