accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.483,-9.576807,-4.76925,2.317587
0.503,-8.93157,-4.677073,2.384625
0.523,-8.464068,-4.556016,2.466101
0.543,-8.085542,-4.357801,2.54109
0.563,-7.80511,-4.145516,2.58469
0.583,-7.703105,-3.950897,2.612551
0.603,-7.804219,-3.808465,2.640359
0.623,-8.047321,-3.751778,2.692558
0.643,-8.305156,-3.792113,2.747747
0.663,-8.497901,-3.885263,2.779863
0.683,-8.646528,-3.95509,2.797304
0.703,-8.766229,-3.954478,2.823983
0.723,-8.846287,-3.863327,2.851437
0.743,-8.883136,-3.682195,2.87289
0.763,-8.871889,-3.441212,2.893274
0.783,-8.828519,-3.177703,2.924272
0.803,-8.796453,-2.954774,2.964101
0.823,-8.794266,-2.817236,3.002777
0.843,-8.803285,-2.75456,3.024299
0.863,-8.815232,-2.752634,3.016446
0.883,-8.842996,-2.78579,2.987465
0.903,-8.887273,-2.826226,2.946545
0.923,-8.929,-2.853752,2.909116
0.943,-8.988473,-2.846608,2.876359
0.963,-9.063798,-2.807781,2.838518
0.983,-9.127673,-2.742056,2.796761
1.003,-9.176826,-2.660574,2.746834
1.023,-9.25415,-2.5861,2.693174
1.043,-9.346148,-2.539552,2.637011
1.063,-9.393448,-2.513406,2.570835
1.083,-9.429726,-2.508081,2.500741
1.103,-9.430834,-2.525829,2.436566
1.123,-9.377432,-2.562393,2.382382
1.143,-9.276984,-2.608829,2.337546
1.163,-9.157328,-2.658323,2.300185
1.183,-9.044434,-2.696248,2.268295
1.203,-8.955674,-2.729989,2.249565
1.223,-8.908094,-2.785721,2.230323
1.243,-8.902052,-2.881257,2.192466
1.263,-8.909901,-2.952575,2.158304
1.283,-8.903934,-2.997621,2.142485
1.303,-8.868194,-3.074345,2.13333
1.323,-8.816178,-3.201387,2.126086
1.343,-8.758412,-3.353973,2.124502
1.363,-8.701502,-3.478766,2.12692
1.383,-8.645969,-3.568067,2.146123
1.403,-8.59802,-3.671454,2.192026
1.423,-8.55419,-3.786099,2.256613
1.443,-8.510947,-3.871923,2.331078
1.463,-8.473269,-3.928561,2.411773
1.483,-8.445327,-3.97531,2.493115
1.503,-8.437484,-4.021912,2.575131
1.523,-8.447861,-4.049147,2.66469
1.543,-8.461308,-4.046408,2.761171
1.563,-8.471985,-4.024261,2.857774
1.583,-8.48211,-3.995345,2.949119
1.603,-8.482006,-3.964502,3.0379
1.623,-8.466451,-3.951704,3.125445
1.643,-8.440853,-3.965564,3.206542
1.663,-8.415158,-3.925672,3.298107
1.683,-8.317677,-3.894228,3.38554
1.703,-8.276127,-3.940606,3.468488
1.723,-8.229617,-3.969416,3.536996
1.743,-8.158116,-4.005371,3.598741
1.763,-8.068361,-4.029082,3.671307
1.783,-7.974143,-4.028732,3.758483
1.803,-7.867119,-3.996338,3.854012
1.823,-7.763897,-3.97714,3.942699
1.843,-7.663752,-3.993913,4.029967
1.863,-7.568428,-4.030114,4.12604
1.883,-7.464058,-4.076729,4.220803
1.903,-7.355164,-4.109261,4.323035
1.923,-7.253018,-4.136481,4.424096
1.943,-7.158701,-4.151254,4.516004
1.963,-7.067045,-4.15962,4.603232
1.983,-6.976551,-4.164967,4.698341
2.003,-6.870387,-4.171645,4.789981
2.023,-6.760967,-4.171422,4.882023
2.043,-6.655713,-4.162375,4.97159
2.063,-6.540662,-4.166744,5.050336
2.083,-6.423993,-4.166392,5.133067
2.103,-6.300848,-4.168781,5.224255
2.123,-6.180186,-4.172512,5.316402
2.143,-6.05844,-4.17343,5.401699
2.163,-5.932796,-4.173513,5.475379
2.183,-5.806339,-4.179062,5.553354
2.203,-5.719131,-4.204467,5.639263
2.223,-5.657106,-4.233204,5.716237
2.243,-5.571225,-4.254488,5.766214
2.263,-5.474414,-4.265971,5.812537
2.283,-5.398915,-4.279994,5.862822
2.303,-5.342761,-4.298033,5.913583
2.323,-5.300023,-4.314018,5.961147
2.343,-5.271696,-4.320948,5.996371
2.363,-5.26486,-4.306963,6.012416
2.383,-5.2514,-4.288611,6.014582
2.403,-5.257802,-4.251771,6.02088
2.423,-5.264665,-4.211815,6.028307
2.443,-5.2946,-4.173119,6.031753
2.463,-5.334497,-4.143538,6.031973
2.563,-5.42015,-4.09485,6.055223
2.583,-5.49888,-4.064795,6.067723
2.603,-5.564309,-4.055867,6.083997
2.623,-5.647356,-4.054503,6.118995
2.643,-5.7365,-4.055824,6.168787
2.663,-5.829902,-4.066529,6.211641
2.683,-5.919251,-4.080114,6.222579
2.703,-5.989174,-4.089366,6.193902
2.723,-6.041458,-4.085716,6.152944
2.743,-6.11423,-4.075972,6.13504
2.763,-6.199302,-4.105265,6.119359
2.783,-6.279309,-4.187847,6.098167
2.803,-6.366374,-4.297,6.05338
2.823,-6.44809,-4.398695,5.986061
2.843,-6.516511,-4.487275,5.903596
2.863,-6.566982,-4.556771,5.811263
2.883,-6.604082,-4.602362,5.707473
2.903,-6.627247,-4.632267,5.594404
2.923,-6.639143,-4.64175,5.479972
2.943,-6.643275,-4.62699,5.371891
2.963,-6.641554,-4.601518,5.274579
2.983,-6.638771,-4.567781,5.189572
3.003,-6.636712,-4.529783,5.116326
3.023,-6.64127,-4.504535,5.058968
3.043,-6.656798,-4.494278,5.005846
3.063,-6.673041,-4.484581,4.950471
3.083,-6.692428,-4.478768,4.899076
3.103,-6.715797,-4.487933,4.857982
3.123,-6.741944,-4.509879,4.822423
3.143,-6.766098,-4.525179,4.782417
3.163,-6.795578,-4.533433,4.745057
3.183,-6.838337,-4.551696,4.721379
3.203,-6.882485,-4.571234,4.702966
3.223,-6.921655,-4.585814,4.684088
3.243,-6.963044,-4.606299,4.658862
3.263,-7.008764,-4.623083,4.623358
3.283,-7.067308,-4.635134,4.593334
3.303,-7.131479,-4.647512,4.572471
3.323,-7.197054,-4.668263,4.55818
3.343,-7.246505,-4.686635,4.543418
3.363,-7.268838,-4.695592,4.525551
3.383,-7.27654,-4.709921,4.508738
3.403,-7.279066,-4.728396,4.495564
3.423,-7.277681,-4.739152,4.484597
3.443,-7.273816,-4.745867,4.479286
3.463,-7.277375,-4.754296,4.478456
3.483,-7.286932,-4.756073,4.482043
3.503,-7.29224,-4.76043,4.491787
3.523,-7.287143,-4.777152,4.506235
3.543,-7.273872,-4.797237,4.520696
3.563,-7.255007,-4.810106,4.535811
3.583,-7.230299,-4.81669,4.555842
3.603,-7.195304,-4.817878,4.580175
3.623,-7.149086,-4.811194,4.602288
3.643,-7.092051,-4.799293,4.621249
3.663,-7.026055,-4.787394,4.63954
3.683,-6.961959,-4.760407,4.662666
3.703,-6.909896,-4.749667,4.681145
3.723,-6.811305,-4.729947,4.708789
3.743,-6.694508,-4.725098,4.734131
3.763,-6.598621,-4.729616,4.758858
3.783,-6.525111,-4.736484,4.788779
3.803,-6.450737,-4.744765,4.830201
3.823,-6.374163,-4.750445,4.88026
3.843,-6.306133,-4.753397,4.931367
3.863,-6.23973,-4.761407,4.980389
3.883,-6.178172,-4.775214,5.026627
3.903,-6.132058,-4.783106,5.076397
3.923,-6.110588,-4.785378,5.134878
3.943,-6.072492,-4.829895,5.172833
3.963,-6.089971,-4.873617,5.219191
3.983,-6.103035,-4.901997,5.272604
4.003,-6.092046,-4.923009,5.316797
4.023,-6.0741,-4.933403,5.341785
4.043,-6.05737,-4.940164,5.35489
4.063,-6.031251,-4.938471,5.363075
4.083,-5.998132,-4.933959,5.366456
4.103,-5.970422,-4.935672,5.361449
4.123,-5.958542,-4.942528,5.362981
4.143,-5.945794,-4.955647,5.378105
4.163,-5.92209,-4.968807,5.396257
4.183,-5.901114,-4.979405,5.41254
4.203,-5.87024,-4.995031,5.424375
4.223,-5.848664,-4.99677,5.449037
4.243,-5.821465,-5.007169,5.469734
4.263,-5.797892,-5.020214,5.486514
4.283,-5.755148,-5.039806,5.505484
4.303,-5.707366,-5.051339,5.531779
4.323,-5.668626,-5.062316,5.557025
4.343,-5.617714,-5.084039,5.570293
4.363,-5.588661,-5.093539,5.589952
4.383,-5.565054,-5.106564,5.615931
