accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.472,-0.416591,-1.817199,10.05325
0.492,-0.434548,-1.989582,9.931149
0.512,-0.423771,-2.271157,9.972716
0.532,-0.496826,-2.561696,10.13266
0.552,-0.534031,-2.832325,10.29508
0.572,-0.490349,-3.00462,10.41552
0.592,-0.376233,-3.032847,10.52954
0.612,-0.19324,-3.027999,10.56261
0.632,-0.002516,-3.057822,10.56785
0.652,0.123336,-3.047956,10.62894
0.672,0.234897,-2.923779,10.70374
0.692,0.330421,-2.823135,10.75353
0.712,0.421321,-2.774253,10.78236
0.732,0.512855,-2.70178,10.78138
0.752,0.565202,-2.606178,10.78054
0.772,0.634583,-2.509574,10.74512
0.792,0.722848,-2.477122,10.69198
0.812,0.78152,-2.477031,10.6671
0.832,0.807504,-2.479112,10.65706
0.852,0.82233,-2.443228,10.65479
0.872,0.803773,-2.434244,10.66105
0.892,0.760418,-2.431364,10.71403
0.912,0.719348,-2.412407,10.77098
0.932,0.681929,-2.371918,10.78296
0.952,0.637649,-2.340626,10.76591
0.972,0.597752,-2.322057,10.73012
0.992,0.551948,-2.277933,10.69856
1.012,0.502375,-2.246362,10.67561
1.032,0.468098,-2.268244,10.65797
1.052,0.444978,-2.318734,10.64671
1.072,0.431822,-2.36452,10.64095
1.092,0.428455,-2.413151,10.64399
1.112,0.43284,-2.466787,10.64682
1.132,0.436137,-2.496825,10.65199
1.152,0.434962,-2.487528,10.66156
1.172,0.428754,-2.470223,10.6751
1.192,0.424299,-2.4454,10.67316
1.212,0.421306,-2.423129,10.65767
1.232,0.400634,-2.419273,10.64521
1.252,0.3718,-2.396504,10.63747
1.272,0.344992,-2.366426,10.63379
1.292,0.325047,-2.351315,10.62652
1.312,0.297137,-2.354508,10.62317
1.332,0.271024,-2.355118,10.62134
1.352,0.252498,-2.366111,10.61994
1.372,0.23952,-2.387456,10.62531
1.392,0.232784,-2.40774,10.63199
1.412,0.23073,-2.424143,10.6333
1.432,0.235608,-2.439866,10.62831
1.452,0.241941,-2.458011,10.62649
1.472,0.247728,-2.474612,10.62977
1.492,0.251987,-2.484746,10.6388
1.512,0.253968,-2.490745,10.64815
1.532,0.254735,-2.500939,10.64638
1.552,0.254161,-2.529458,10.63579
1.572,0.251737,-2.547387,10.63157
1.592,0.246216,-2.540715,10.63292
1.612,0.236906,-2.532001,10.63116
1.632,0.227449,-2.520803,10.62547
1.652,0.217802,-2.507137,10.61766
1.672,0.205242,-2.492537,10.61066
1.692,0.190057,-2.472639,10.60961
1.712,0.174421,-2.463473,10.60793
1.732,0.164382,-2.470443,10.60228
1.752,0.157262,-2.48626,10.59789
1.772,0.153458,-2.500898,10.5946
1.792,0.155734,-2.510927,10.5935
1.812,0.16263,-2.526176,10.59088
1.832,0.173458,-2.546958,10.58841
1.852,0.182081,-2.562352,10.58888
1.872,0.189177,-2.568681,10.5929
1.892,0.195276,-2.570374,10.59877
1.912,0.200338,-2.575915,10.6003
1.932,0.203206,-2.580629,10.60042
1.952,0.200662,-2.574699,10.6016
1.972,0.194666,-2.560301,10.60475
1.992,0.189983,-2.548899,10.6007
2.012,0.183341,-2.534931,10.59363
2.032,0.16977,-2.529574,10.59022
2.052,0.157203,-2.533277,10.58888
2.072,0.147838,-2.53403,10.58824
2.092,0.143021,-2.539572,10.58745
2.112,0.144223,-2.553069,10.58259
2.132,0.152762,-2.564188,10.57829
2.152,0.164195,-2.579848,10.57468
2.172,0.177307,-2.59636,10.57227
2.192,0.186538,-2.607733,10.57479
2.212,0.191865,-2.613665,10.57953
2.232,0.195096,-2.615659,10.5829
2.252,0.196695,-2.61882,10.58363
2.272,0.194704,-2.618792,10.58268
2.292,0.190576,-2.60948,10.58212
2.312,0.186704,-2.595711,10.57971
2.332,0.178511,-2.584577,10.57826
2.352,0.169384,-2.580248,10.57611
2.372,0.162079,-2.580026,10.57268
2.392,0.155816,-2.57919,10.57008
2.412,0.15186,-2.579407,10.56808
2.432,0.150329,-2.58607,10.5654
2.452,0.150725,-2.598234,10.5614
2.547,0.156568,-2.611953,10.56027
2.567,0.1605,-2.616876,10.5617
2.587,0.163328,-2.61818,10.56386
2.607,0.165141,-2.619022,10.56406
