gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.774,-0.187323,0.306432,-0.594877
0.794,-0.158545,0.331413,-0.603937
0.814,-0.122131,0.343749,-0.619442
0.834,-0.10854,0.353053,-0.63914
0.854,-0.11208,0.358797,-0.660407
0.874,-0.116243,0.360866,-0.679159
0.894,-0.121144,0.359615,-0.693412
0.914,-0.126725,0.357125,-0.705921
0.934,-0.134385,0.355915,-0.716821
0.954,-0.141187,0.356992,-0.724815
0.974,-0.144266,0.359803,-0.729426
0.994,-0.142836,0.363484,-0.731735
1.014,-0.139189,0.36868,-0.73328
1.034,-0.137109,0.374163,-0.736115
1.054,-0.135844,0.379154,-0.739372
1.074,-0.131715,0.383694,-0.741427
1.094,-0.125258,0.388321,-0.740236
1.114,-0.118953,0.392887,-0.734369
1.134,-0.114811,0.397467,-0.723975
1.154,-0.114142,0.401201,-0.710784
1.174,-0.116581,0.403987,-0.696255
1.194,-0.119309,0.405774,-0.681481
1.214,-0.119961,0.406602,-0.666656
1.234,-0.11927,0.406789,-0.652059
1.254,-0.11762,0.405264,-0.637703
1.274,-0.115441,0.402318,-0.624209
1.294,-0.113055,0.399975,-0.611403
1.314,-0.109072,0.399037,-0.598539
1.334,-0.102783,0.397812,-0.585895
1.354,-0.095966,0.394961,-0.57442
1.374,-0.09123,0.389732,-0.564767
1.394,-0.089606,0.382924,-0.556034
1.414,-0.087968,0.375183,-0.546737
1.434,-0.086176,0.367345,-0.536968
1.454,-0.084527,0.360331,-0.527321
1.474,-0.080358,0.35423,-0.517148
1.494,-0.072744,0.34847,-0.505787
1.514,-0.065657,0.342246,-0.494246
1.534,-0.063077,0.33557,-0.483923
1.554,-0.062175,0.329062,-0.475546
1.574,-0.05941,0.323269,-0.468933
1.594,-0.055423,0.318618,-0.463892
1.614,-0.051969,0.315642,-0.460382
1.634,-0.050354,0.314181,-0.458531
1.654,-0.049049,0.314399,-0.457513
1.674,-0.045614,0.315426,-0.456465
