gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.684,-0.062619,-0.038104,0.150285
0.704,-0.074609,-0.03091,0.156413
0.724,-0.093537,-0.010386,0.160633
0.744,-0.10341,0.016168,0.170975
0.764,-0.097076,0.038761,0.173208
0.784,-0.087912,0.053552,0.172985
0.804,-0.059584,0.063236,0.172005
0.824,-0.029046,0.073788,0.167469
0.844,-0.015834,0.079739,0.163375
0.864,-0.020546,0.084173,0.150197
0.884,-0.021368,0.086783,0.131839
0.904,-0.010504,0.088326,0.114518
0.924,-0.005324,0.090232,0.100681
0.944,-0.008017,0.093074,0.092257
0.964,-0.015247,0.096623,0.088885
0.984,-0.021891,0.099636,0.088611
1.004,-0.027404,0.101715,0.08909
1.024,-0.031669,0.102566,0.089591
1.044,-0.037809,0.102027,0.089045
1.064,-0.044625,0.099373,0.087869
1.084,-0.047484,0.094832,0.086793
1.104,-0.045718,0.089461,0.085847
1.124,-0.043345,0.084136,0.08512
1.144,-0.043097,0.078955,0.084267
1.164,-0.043626,0.073837,0.083234
1.184,-0.041244,0.068962,0.082016
1.204,-0.037213,0.064502,0.08033
1.224,-0.036123,0.060709,0.078523
1.244,-0.038645,0.057896,0.076423
1.264,-0.040476,0.05607,0.074386
1.284,-0.039262,0.054959,0.072826
1.304,-0.037073,0.054185,0.071053
1.324,-0.035591,0.05366,0.069143
1.344,-0.036623,0.053382,0.066454
1.364,-0.038551,0.052892,0.063748
1.384,-0.039767,0.052299,0.061329
1.404,-0.040369,0.051758,0.058925
1.424,-0.041011,0.05117,0.056836
1.444,-0.042986,0.050451,0.054412
1.464,-0.047271,0.049476,0.051859
1.484,-0.053965,0.048006,0.049566
1.504,-0.061231,0.046281,0.047268
1.524,-0.068253,0.044401,0.044624
1.544,-0.074735,0.042327,0.041588
1.564,-0.080812,0.040257,0.038328
1.584,-0.086324,0.038398,0.0351
1.604,-0.088385,0.036428,0.032418
1.624,-0.085618,0.034481,0.03029
1.644,-0.082032,0.032751,0.028751
1.664,-0.080174,0.031396,0.027657
1.684,-0.080724,0.030513,0.027061
1.704,-0.081569,0.029901,0.026977
1.724,-0.080352,0.029225,0.027204
1.744,-0.077826,0.028451,0.027615
1.764,-0.076999,0.027781,0.027983
1.784,-0.078184,0.027433,0.027975
1.804,-0.079333,0.027434,0.027307
1.824,-0.079693,0.027821,0.026001
1.844,-0.079926,0.028593,0.024439
1.864,-0.081103,0.029741,0.022761
1.884,-0.083678,0.031374,0.021201
1.904,-0.086483,0.033435,0.019825
1.924,-0.088627,0.035807,0.018445
1.944,-0.089518,0.038287,0.017207
1.964,-0.089781,0.040758,0.015843
1.984,-0.090249,0.043222,0.014232
2.004,-0.090749,0.045813,0.012515
2.024,-0.090058,0.048517,0.010911
2.044,-0.088495,0.051203,0.009352
2.064,-0.086699,0.053743,0.007979
2.084,-0.083938,0.05612,0.007277
2.104,-0.080169,0.058146,0.007214
2.124,-0.077392,0.05975,0.00765
2.144,-0.077946,0.061068,0.008334
2.164,-0.080186,0.062351,0.008926
2.184,-0.080232,0.063892,0.009425
2.204,-0.077054,0.065977,0.010209
2.224,-0.073259,0.068291,0.011228
2.244,-0.068659,0.070655,0.013146
2.264,-0.064373,0.072953,0.01531
2.284,-0.061652,0.075108,0.017963
2.304,-0.058849,0.07713,0.020859
2.324,-0.054387,0.079043,0.023015
2.344,-0.050318,0.080395,0.024126
2.364,-0.050172,0.081022,0.026228
2.384,-0.049451,0.081067,0.026968
2.404,-0.045768,0.080603,0.026541
2.424,-0.041601,0.079616,0.025546
2.444,-0.039683,0.078209,0.024077
2.464,-0.040505,0.076544,0.022023
2.484,-0.042679,0.074762,0.019737
2.504,-0.044667,0.072961,0.017345
2.524,-0.04575,0.071112,0.015058
2.544,-0.046125,0.069079,0.013007
2.564,-0.046323,0.066878,0.011235
2.584,-0.04577,0.064432,0.00973
2.604,-0.044289,0.061855,0.008342
2.624,-0.042295,0.059085,0.006908
2.644,-0.039982,0.056082,0.005353
2.664,-0.037363,0.052762,0.003668
3.051,-0.034667,0.053161,0.000921
3.071,-0.032566,0.05348,-0.001895
3.091,-0.030213,0.053615,-0.004826
3.111,-0.027524,0.053581,-0.007854
3.131,-0.025559,0.053421,-0.010683
3.151,-0.02589,0.053163,-0.013237
3.171,-0.028707,0.052678,-0.015616
3.191,-0.032136,0.051699,-0.018071
3.211,-0.033898,0.050139,-0.020714
3.231,-0.033458,0.048094,-0.023513
3.251,-0.031894,0.045722,-0.026695
3.271,-0.02982,0.043201,-0.029823
3.291,-0.027028,0.040737,-0.032738
3.311,-0.024012,0.038443,-0.035412
3.331,-0.020676,0.036247,-0.037669
3.351,-0.016082,0.034064,-0.039451
3.371,-0.010407,0.031871,-0.040818
3.391,-0.004563,0.029677,-0.041778
3.411,0.000208,0.027374,-0.042422
3.431,0.004526,0.024876,-0.042617
3.451,0.009216,0.022375,-0.042386
3.471,0.014577,0.020036,-0.041568
3.491,0.02073,0.017905,-0.039852
3.511,0.026756,0.015839,-0.037221
3.531,0.032193,0.013994,-0.033748
3.551,0.036778,0.012571,-0.029448
3.571,0.03987,0.011453,-0.024918
3.591,0.041455,0.010502,-0.020533
3.611,0.040717,0.009511,-0.016416
3.632,0.035546,0.008487,-0.012823
3.652,0.029198,0.00751,-0.009536
3.672,0.022635,0.00663,-0.006442
3.692,0.015527,0.006127,-0.003505
3.712,0.008333,0.006628,-0.001259
3.732,0.001494,0.009915,-0.001656
3.752,0.008861,0.013456,-0.00008
