accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.722,4.434062,-8.899248,-0.507571
0.742,4.35625,-8.942344,-0.416591
0.762,4.307117,-8.971889,-0.338285
0.782,4.214179,-8.969289,-0.241482
0.802,4.140026,-8.96677,-0.102429
0.822,3.974009,-9.199537,0.074077
0.842,3.998706,-9.416749,0.170932
0.862,3.999871,-9.259174,0.246983
0.882,4.002661,-9.10436,0.268757
0.902,4.015545,-9.139455,0.264771
0.922,4.024092,-9.181628,0.277548
0.942,4.035243,-9.181849,0.285514
0.962,4.052872,-9.195065,0.27456
0.982,4.060534,-9.202431,0.274791
1.002,4.062316,-9.198849,0.285893
1.022,4.067207,-9.194798,0.304447
1.042,4.063816,-9.19255,0.33118
1.062,4.062555,-9.166389,0.371884
1.082,4.057985,-9.133573,0.413781
1.102,4.057267,-9.117288,0.449792
1.122,4.05408,-9.098178,0.479268
1.142,4.050524,-9.083077,0.496437
1.162,4.047804,-9.082232,0.502288
1.182,4.046626,-9.081147,0.510664
1.202,4.047384,-9.074273,0.524469
1.222,4.050226,-9.058929,0.538267
1.242,4.053576,-9.046379,0.548618
1.262,4.057118,-9.052771,0.55193
1.282,4.061337,-9.077949,0.549717
1.302,4.065599,-9.1007,0.551675
1.322,4.067628,-9.113163,0.560946
1.342,4.066797,-9.120891,0.573557
1.362,4.066606,-9.123073,0.586252
1.382,4.067568,-9.125419,0.594648
1.402,4.067088,-9.121195,0.605231
1.422,4.06677,-9.11335,0.61565
1.442,4.067584,-9.108669,0.623933
1.462,4.068099,-9.101911,0.631444
1.482,4.066783,-9.094593,0.642084
1.502,4.066869,-9.090624,0.655385
1.522,4.0705,-9.088277,0.669057
1.542,4.074886,-9.087495,0.68082
1.562,4.08043,-9.091699,0.68798
1.582,4.085398,-9.098184,0.693463
1.602,4.090803,-9.102801,0.696291
1.622,4.096512,-9.106056,0.697869
1.642,4.103655,-9.104253,0.699156
1.662,4.110773,-9.099144,0.700495
1.682,4.117061,-9.098703,0.702351
1.702,4.121676,-9.104627,0.706184
1.722,4.125726,-9.115802,0.711423
1.742,4.129766,-9.125107,0.716163
1.762,4.130425,-9.127555,0.725381
1.782,4.127937,-9.127538,0.741062
1.802,4.124502,-9.126312,0.759603
1.822,4.122474,-9.126502,0.774605
1.842,4.122742,-9.127043,0.783874
1.862,4.125227,-9.1273,0.788869
1.882,4.131126,-9.129147,0.791986
1.902,4.137671,-9.130037,0.794729
1.922,4.145206,-9.124886,0.79729
1.942,4.151183,-9.119484,0.798867
1.962,4.153466,-9.123665,0.798881
1.982,4.153316,-9.13836,0.797658
2.002,4.152978,-9.148252,0.796638
2.022,4.152117,-9.144834,0.795372
2.042,4.153872,-9.134195,0.792458
2.062,4.158385,-9.120795,0.789904
2.082,4.163797,-9.108126,0.78983
2.102,4.169716,-9.100668,0.791299
2.122,4.176695,-9.095465,0.791835
2.142,4.185694,-9.08793,0.791189
2.162,4.196272,-9.079418,0.788442
2.182,4.207909,-9.071623,0.786162
2.202,4.219651,-9.065813,0.784959
2.222,4.230982,-9.063204,0.784205
2.242,4.240475,-9.061542,0.78279
2.262,4.247389,-9.05875,0.781683
2.282,4.252227,-9.05559,0.781302
2.302,4.25615,-9.053084,0.780572
2.322,4.260831,-9.048945,0.77647
2.342,4.265499,-9.046127,0.7693
2.362,4.268026,-9.048526,0.762346
2.382,4.269503,-9.054919,0.757267
2.402,4.271005,-9.058237,0.75467
2.422,4.272875,-9.057214,0.755404
2.442,4.275068,-9.058992,0.757186
2.462,4.27727,-9.064117,0.757419
2.482,4.281045,-9.067788,0.754017
2.502,4.286198,-9.070892,0.748921
2.522,4.292664,-9.073118,0.744834
2.542,4.299945,-9.072477,0.740224
2.562,4.307792,-9.070973,0.733696
2.582,4.315849,-9.070431,0.725774
2.602,4.325094,-9.072392,0.71915
2.622,4.332638,-9.073914,0.715272
2.642,4.338707,-9.073747,0.713459
2.662,4.345032,-9.071698,0.712683
2.682,4.351017,-9.067964,0.712473
2.702,4.355659,-9.066154,0.713758
2.848,4.36761,-9.060983,0.715258
2.868,4.381188,-9.053921,0.717524
2.888,4.391838,-9.050918,0.722615
2.908,4.401537,-9.054399,0.727541
2.928,4.408192,-9.060125,0.729599
2.948,4.412753,-9.061529,0.729245
2.968,4.416299,-9.062569,0.73025
2.988,4.418341,-9.063382,0.734015
3.008,4.419268,-9.064407,0.73932
3.028,4.420786,-9.065888,0.742095
3.048,4.423798,-9.067491,0.743013
3.068,4.427717,-9.06921,0.744796
3.088,4.431902,-9.070139,0.749027
3.108,4.436888,-9.069258,0.756142
3.128,4.442583,-9.067098,0.765672
3.148,4.44946,-9.063791,0.776213
3.168,4.457452,-9.058076,0.788732
3.188,4.463948,-9.049855,0.804235
3.208,4.46874,-9.039993,0.823865
3.228,4.472628,-9.032193,0.846332
3.248,4.478014,-9.024543,0.870567
3.268,4.48495,-9.016395,0.895493
3.288,4.493563,-9.008327,0.920586
3.308,4.503696,-8.998138,0.947162
3.328,4.513946,-8.987381,0.977448
3.348,4.524928,-8.981185,1.01017
3.368,4.536102,-8.977636,1.04415
3.388,4.545818,-8.970963,1.079761
3.408,4.553927,-8.958489,1.117528
3.428,4.560585,-8.946261,1.157605
3.448,4.567297,-8.934395,1.199164
3.468,4.57499,-8.921641,1.240103
3.488,4.581857,-8.911457,1.278871
3.508,4.587637,-8.902979,1.316971
3.528,4.592175,-8.894969,1.356616
3.548,4.596114,-8.888044,1.39815
3.568,4.599857,-8.880782,1.440817
3.588,4.601383,-8.874215,1.485777
3.608,4.601314,-8.868073,1.532086
3.628,4.600623,-8.861753,1.579217
3.648,4.600107,-8.854322,1.627338
3.668,4.599213,-8.845387,1.676026
3.688,4.598184,-8.834409,1.726668
3.708,4.597285,-8.81995,1.781037
3.728,4.596826,-8.803074,1.839101
3.748,4.596179,-8.785528,1.900864
3.768,4.596665,-8.767272,1.967202
3.788,4.597793,-8.749247,2.035511
3.808,4.599148,-8.731123,2.106673
3.828,4.598838,-8.713476,2.182886
3.848,4.598125,-8.698358,2.265059
3.868,4.599381,-8.684125,2.350314
3.888,4.600984,-8.671436,2.432652
3.908,4.603122,-8.65907,2.512116
3.928,4.60507,-8.647625,2.589693
3.948,4.606832,-8.639221,2.665789
3.968,4.608647,-8.631095,2.73971
3.988,4.60999,-8.620521,2.812494
4.008,4.610026,-8.608492,2.886271
4.028,4.609823,-8.595673,2.959386
4.048,4.609286,-8.584944,3.032423
4.068,4.608396,-8.575145,3.103085
4.088,4.607419,-8.562294,3.174527
4.108,4.608247,-8.549569,3.243587
4.128,4.608564,-8.537621,3.31133
4.148,4.608471,-8.527058,3.376518
4.168,4.607972,-8.517405,3.440264
4.188,4.606927,-8.50501,3.503721
4.208,4.606037,-8.491091,3.567767
4.228,4.606855,-8.47737,3.630482
4.248,4.608311,-8.464658,3.6925
4.268,4.611261,-8.452407,3.753446
4.288,4.615068,-8.441178,3.811438
4.308,4.617376,-8.432775,3.868029
4.328,4.617937,-8.426123,3.924841
4.348,4.617128,-8.420499,3.983201
4.368,4.6158,-8.413635,4.03794
4.388,4.614581,-8.405022,4.088041
4.408,4.612824,-8.395468,4.136413
4.428,4.611419,-8.385922,4.182724
4.448,4.61046,-8.376485,4.223035
4.468,4.609151,-8.366309,4.259174
4.488,4.607807,-8.355397,4.293468
4.508,4.607482,-8.344815,4.325802
4.528,4.607185,-8.335186,4.359273
4.548,4.606363,-8.326409,4.39301
4.568,4.606555,-8.318159,4.424823
4.588,4.606674,-8.308552,4.457276
4.608,4.607007,-8.298927,4.488099
4.628,4.607337,-8.290026,4.519365
4.648,4.607543,-8.28145,4.550583
4.668,4.607532,-8.270343,4.580148
4.688,4.606899,-8.260128,4.609173
4.708,4.605242,-8.253248,4.639848
4.728,4.603315,-8.247273,4.67309
4.748,4.602747,-8.242535,4.706455
4.768,4.603335,-8.237164,4.738029
4.788,4.60327,-8.22938,4.771047
4.808,4.603254,-8.222488,4.802361
4.828,4.603621,-8.214772,4.828231
5.232,4.604798,-8.207871,4.834976
5.252,4.606084,-8.202306,4.840916
5.272,4.607955,-8.197137,4.847802
5.292,4.609879,-8.192019,4.854146
5.312,4.61097,-8.187624,4.862196
5.332,4.610422,-8.1832,4.872291
5.352,4.608108,-8.178605,4.883198
5.372,4.607756,-8.17353,4.892036
5.392,4.609203,-8.167738,4.898892
5.412,4.609894,-8.163465,4.90706
5.432,4.60871,-8.161007,4.917613
5.452,4.608185,-8.160033,4.929263
5.472,4.608335,-8.160793,4.939265
5.492,4.610471,-8.162145,4.944747
5.512,4.614261,-8.158934,4.949852
5.532,4.619546,-8.150008,4.957401
5.552,4.624826,-8.139808,4.969151
5.572,4.629933,-8.130978,4.983222
5.592,4.635445,-8.12214,4.997344
5.612,4.638746,-8.115689,5.013559
5.632,4.639213,-8.112057,5.030814
5.652,4.637904,-8.109275,5.046305
5.672,4.635746,-8.105969,5.057946
5.692,4.633609,-8.103894,5.06869
5.712,4.630967,-8.104138,5.077126
5.732,4.628016,-8.103374,5.085268
5.752,4.625263,-8.09953,5.095832
5.772,4.624332,-8.093881,5.108719
5.792,4.622262,-8.089102,5.121433
5.812,4.619542,-8.086693,5.136265
5.832,4.616658,-8.080789,5.154119
5.852,4.614449,-8.069963,5.174034
5.872,4.613243,-8.055367,5.192189
5.892,4.610781,-8.037254,5.207662
5.912,4.60626,-8.023513,5.218802
5.932,4.602479,-8.01587,5.229485
5.952,4.601154,-8.018096,5.240425
5.972,4.602261,-8.025184,5.255148
5.992,4.603189,-8.024467,5.275585
6.012,4.604634,-8.009321,5.302835
6.032,4.605346,-7.989562,5.338661
6.052,4.604136,-7.969833,5.383826
6.072,4.600879,-7.946111,5.436492
6.092,4.593944,-7.9187,5.496209
6.112,4.586527,-7.891539,5.557149
6.132,4.580717,-7.861753,5.618238
6.152,4.576497,-7.826997,5.679045
6.172,4.573061,-7.792571,5.736059
6.192,4.570809,-7.765121,5.785483
6.212,4.567263,-7.743473,5.830478
6.232,4.561621,-7.716972,5.877781
6.252,4.55254,-7.682481,5.93472
6.272,4.541492,-7.645209,5.99698
6.292,4.529548,-7.612565,6.059245
6.312,4.517148,-7.577674,6.122339
6.332,4.504347,-7.541151,6.184064
6.352,4.491385,-7.503228,6.247306
6.372,4.477165,-7.463688,6.313857
6.392,4.463781,-7.426682,6.375162
6.412,4.451489,-7.389407,6.43254
6.432,4.438554,-7.350523,6.489473
6.452,4.426562,-7.317232,6.545962
6.472,4.415288,-7.285204,6.602782
6.492,4.4042,-7.249281,6.658264
6.512,4.39449,-7.215167,6.70861
6.532,4.38574,-7.181837,6.758511
6.552,4.376958,-7.148027,6.81161
6.572,4.36879,-7.114791,6.865793
6.592,4.361614,-7.079799,6.917633
6.612,4.353456,-7.043114,6.967029
6.632,4.346361,-7.00694,7.013417
6.652,4.339911,-6.974612,7.054867
6.672,4.332258,-6.944009,7.097218
6.692,4.324465,-6.916737,7.135816
6.712,4.317876,-6.890245,7.170584
6.732,4.312047,-6.85906,7.207188
6.752,4.305007,-6.822698,7.246395
6.772,4.297798,-6.788075,7.284491
6.792,4.290661,-6.760262,7.323098
6.812,4.285439,-6.741244,7.354915
6.832,4.279982,-6.719544,7.387708
6.852,4.272928,-6.690605,7.424489
6.872,4.265154,-6.662101,7.465122
6.892,4.255854,-6.624646,7.508475
6.912,4.246143,-6.584651,7.55777
6.932,4.241199,-6.554188,7.597286
