accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.010000,-8.291121,-2.217031,4.654328
0.030000,-8.355764,-2.193089,4.659117
0.050000,-8.573027,-2.345568,4.568929
0.070000,-8.742329,-2.294689,4.379191
0.090000,-8.736786,-2.466699,4.177884
0.110000,-8.587405,-2.450444,4.098874
0.130000,-8.547552,-2.325503,4.085652
0.150000,-8.560898,-2.255701,4.073041
0.170000,-8.674128,-2.180205,4.019250
0.190000,-8.579335,-2.057164,3.968620
0.210000,-8.463575,-1.896645,3.972265
0.230000,-8.431416,-1.760835,3.970003
0.250000,-8.419424,-1.665415,3.957781
0.270000,-8.394630,-1.605386,3.948189
0.290000,-8.370208,-1.573144,3.943790
0.310000,-8.368490,-1.560790,3.944517
0.330000,-8.379408,-1.569082,3.941004
0.350000,-8.388120,-1.583492,3.934370
0.370000,-8.400466,-1.599406,3.933180
0.390000,-8.421493,-1.613797,3.932232
0.410000,-8.440402,-1.623008,3.929175
0.430000,-8.454304,-1.626374,3.925957
0.450000,-8.463620,-1.626341,3.922281
0.470000,-8.470481,-1.625362,3.917495
0.490000,-8.473385,-1.624263,3.911730
0.510000,-8.475963,-1.626648,3.906221
0.530000,-8.474836,-1.627169,3.899225
0.550000,-8.469705,-1.622623,3.889066
0.570000,-8.466136,-1.616494,3.879089
0.590000,-8.461484,-1.612626,3.870990
0.610000,-8.454490,-1.608773,3.863803
0.630000,-8.449336,-1.602188,3.855296
0.650000,-8.446009,-1.591060,3.845208
0.670000,-8.446104,-1.576955,3.829895
0.690000,-8.446763,-1.560030,3.812439
0.710000,-8.449594,-1.542104,3.794850
0.730000,-8.456432,-1.521796,3.773955
0.750000,-8.464354,-1.498377,3.748761
0.770000,-8.465673,-1.472419,3.717025
0.790000,-8.462066,-1.434766,3.670389
0.810000,-8.450975,-1.388904,3.617358
0.830000,-8.432707,-1.335238,3.563719
0.850000,-8.414493,-1.283182,3.510600
0.870000,-8.395981,-1.234026,3.453470
0.890000,-8.375708,-1.188149,3.392726
0.910000,-8.356985,-1.146964,3.331742
0.930000,-8.342160,-1.110655,3.271889
0.950000,-8.329208,-1.077727,3.209797
0.970000,-8.317876,-1.048838,3.143962
0.990000,-8.312529,-1.022823,3.073678
1.010000,-8.311402,-0.998678,2.999466
1.030000,-8.313692,-0.969795,2.922474
1.050000,-8.326146,-0.933196,2.840833
1.070000,-8.347066,-0.890487,2.755292
1.090000,-8.371844,-0.843892,2.668813
1.110000,-8.397672,-0.798894,2.586114
1.130000,-8.423583,-0.755532,2.505319
1.150000,-8.447410,-0.716639,2.434080
1.170000,-8.466805,-0.684594,2.375224
1.190000,-8.482672,-0.659406,2.327299
1.210000,-8.494065,-0.634263,2.282785
1.230000,-8.497341,-0.604631,2.238289
1.250000,-8.494884,-0.569931,2.193412
1.270000,-8.495843,-0.530306,2.146692
1.290000,-8.500299,-0.486545,2.100356
1.310000,-8.503803,-0.443522,2.056751
1.330000,-8.513746,-0.406255,2.008628
1.350000,-8.527035,-0.376327,1.953476
1.370000,-8.535395,-0.344981,1.893799
1.390000,-8.537777,-0.306324,1.829228
1.410000,-8.535468,-0.261927,1.764588
1.430000,-8.528098,-0.212668,1.703887
1.450000,-8.514930,-0.159442,1.651888
1.470000,-8.496924,-0.107833,1.605593
1.490000,-8.476070,-0.062126,1.563753
1.510000,-8.453993,-0.023318,1.525778
1.530000,-8.429132,0.010866,1.492938
1.550000,-8.397900,0.041685,1.465599
1.570000,-8.363861,0.074990,1.442499
1.590000,-8.341332,0.111776,1.419481
1.610000,-8.329842,0.150424,1.401648
1.630000,-8.313626,0.180957,1.388203
1.650000,-8.286843,0.196323,1.367438
1.670000,-8.260202,0.204342,1.344602
1.690000,-8.237562,0.219306,1.330373
1.710000,-8.209927,0.226719,1.315678
1.730000,-8.179335,0.217499,1.300846
1.750000,-8.137915,0.196959,1.275282
1.770000,-8.074680,0.193116,1.250384
1.790000,-7.984857,0.233808,1.211593
1.810000,-7.876544,0.279861,1.139252
1.830000,-7.751200,0.286038,1.000597
1.850000,-7.597977,0.266016,0.745348
1.870000,-7.366688,0.207807,0.228993
1.890000,-6.973951,-0.000293,-0.580414
1.910000,-7.170125,-0.908563,-0.116083
1.930000,-9.458953,-4.588606,4.095695
1.950000,-7.366322,-3.286845,-7.873665
1.970000,-5.712813,6.529493,-8.961069
1.990000,-3.577582,9.279303,8.843100
2.061000,1.183306,2.674927,-4.455634
2.081000,-1.834471,5.106020,-7.983830
2.101000,-0.041233,10.380610,-4.210513
2.121000,1.151138,11.441553,1.793940
2.141000,-1.954348,5.871284,5.909018
2.161000,-1.269186,0.429755,6.234038
2.181000,0.330041,1.044721,5.866192
2.201000,0.300645,2.332302,6.471769
2.221000,-0.291508,1.659515,7.084853
2.241000,-0.503604,-0.444025,7.119997
