gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.010000,0.602605,-0.010925,-0.073277
0.030000,0.578357,-0.024581,-0.110049
0.050000,0.598628,-0.042777,-0.130330
0.070000,0.629764,-0.063526,-0.150056
0.090000,0.703577,-0.112669,-0.136487
0.110000,0.763500,-0.109114,-0.147076
0.130000,0.778079,-0.104087,-0.167659
0.150000,0.761757,-0.106332,-0.166761
0.170000,0.731551,-0.112984,-0.151753
0.190000,0.690909,-0.125279,-0.149180
0.210000,0.634875,-0.125814,-0.133196
0.230000,0.552799,-0.119640,-0.122069
0.250000,0.457467,-0.112891,-0.110724
0.270000,0.366864,-0.105926,-0.093773
0.290000,0.285246,-0.096702,-0.074520
0.310000,0.214084,-0.086675,-0.054028
0.330000,0.156313,-0.077328,-0.033021
0.350000,0.114660,-0.068723,-0.011102
0.370000,0.087089,-0.060846,0.010479
0.390000,0.068465,-0.054215,0.029863
0.410000,0.054169,-0.049037,0.046926
0.430000,0.041078,-0.044795,0.061205
0.450000,0.027886,-0.041349,0.072967
0.470000,0.014225,-0.038487,0.082320
0.490000,0.000590,-0.036023,0.089823
0.510000,-0.012573,-0.033762,0.096149
0.530000,-0.024271,-0.031825,0.101834
0.550000,-0.035275,-0.029505,0.106867
0.570000,-0.046637,-0.026555,0.111116
0.590000,-0.057749,-0.023244,0.114757
0.610000,-0.066910,-0.019600,0.118622
0.630000,-0.073930,-0.015787,0.122668
0.650000,-0.080118,-0.012063,0.126256
0.670000,-0.086384,-0.008334,0.129051
0.690000,-0.092976,-0.004536,0.130564
0.710000,-0.099637,-0.000669,0.130994
0.730000,-0.106267,0.003239,0.130418
0.750000,-0.113870,0.007149,0.128705
0.770000,-0.122794,0.011794,0.126202
0.790000,-0.130728,0.017973,0.127211
0.810000,-0.138490,0.026545,0.131439
0.830000,-0.147853,0.037836,0.138176
0.850000,-0.159749,0.051310,0.147255
0.870000,-0.173734,0.066490,0.157046
0.890000,-0.189006,0.083559,0.167773
0.910000,-0.204741,0.102763,0.179414
0.930000,-0.220015,0.123684,0.190231
0.950000,-0.232521,0.145617,0.200796
0.970000,-0.240326,0.168486,0.212452
0.990000,-0.242230,0.191575,0.225733
1.010000,-0.238407,0.213806,0.241067
1.030000,-0.230811,0.234827,0.257302
1.050000,-0.221739,0.254331,0.273759
1.070000,-0.214701,0.271966,0.288197
1.090000,-0.212436,0.288122,0.299143
1.110000,-0.215038,0.303175,0.306050
1.130000,-0.220205,0.317608,0.310231
1.150000,-0.226400,0.331655,0.312171
1.170000,-0.231678,0.345414,0.313189
1.190000,-0.233435,0.358000,0.313775
1.210000,-0.229859,0.368408,0.314577
1.230000,-0.221563,0.376444,0.315421
1.250000,-0.210678,0.382633,0.315919
1.270000,-0.199739,0.387320,0.315668
1.290000,-0.191376,0.390268,0.314219
1.310000,-0.186654,0.391917,0.311414
