gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.015000,-0.202378,-0.339473,-0.032508
0.035000,-0.095926,-0.344203,-0.012990
0.055000,0.298710,-0.325392,-0.025279
0.075000,0.573736,-0.258338,0.103262
0.095000,0.646109,-0.219592,0.180930
0.115000,0.624076,-0.208360,0.235748
0.135000,0.578284,-0.194521,0.271642
0.155000,0.504732,-0.174202,0.293774
0.175000,0.401537,-0.153750,0.307760
0.195000,0.302708,-0.135899,0.320569
0.215000,0.231212,-0.120153,0.335506
0.235000,0.183488,-0.105144,0.350381
0.255000,0.150274,-0.090603,0.361745
0.275000,0.127398,-0.077088,0.368280
0.295000,0.110714,-0.065349,0.370131
0.315000,0.094536,-0.055023,0.367404
0.335000,0.075589,-0.045221,0.361258
0.355000,0.054562,-0.035692,0.354453
0.375000,0.032578,-0.025964,0.348019
0.395000,0.010795,-0.015635,0.343075
0.415000,-0.009387,-0.004995,0.339433
0.435000,-0.025668,0.005598,0.336669
0.455000,-0.036642,0.015835,0.334055
0.475000,-0.043452,0.025827,0.330761
0.495000,-0.047595,0.034781,0.326432
0.515000,-0.051018,0.042585,0.320759
0.535000,-0.055080,0.049301,0.313836
0.555000,-0.059710,0.054688,0.306054
0.575000,-0.064951,0.058769,0.298141
0.595000,-0.071165,0.062013,0.290515
0.615000,-0.077773,0.064734,0.283742
0.635000,-0.084306,0.067009,0.277879
0.655000,-0.091153,0.068686,0.272553
0.675000,-0.098403,0.069891,0.267200
0.695000,-0.105288,0.070954,0.261265
0.715000,-0.110775,0.072019,0.254457
0.735000,-0.114433,0.072806,0.247037
0.755000,-0.116135,0.073094,0.239204
0.775000,-0.116093,0.073113,0.230774
0.795000,-0.114162,0.072861,0.221976
0.815000,-0.110289,0.072331,0.212824
0.835000,-0.105040,0.071637,0.203570
0.855000,-0.099332,0.070703,0.194273
0.875000,-0.093726,0.069281,0.184889
0.895000,-0.088502,0.067239,0.175393
0.915000,-0.083741,0.064378,0.165572
0.935000,-0.079508,0.060712,0.155329
0.955000,-0.075848,0.056534,0.144780
0.975000,-0.073282,0.052171,0.133917
0.995000,-0.071712,0.047859,0.123156
1.015000,-0.070618,0.043688,0.113076
1.035000,-0.069891,0.039720,0.104071
1.055000,-0.069530,0.036104,0.096167
1.075000,-0.069272,0.033045,0.089717
1.095000,-0.069136,0.030743,0.084694
1.115000,-0.068940,0.029118,0.081228
1.135000,-0.069011,0.028200,0.079329
1.155000,-0.070055,0.027858,0.078791
1.175000,-0.072234,0.027861,0.079260
1.195000,-0.075441,0.028237,0.080294
1.215000,-0.079150,0.028979,0.081634
1.235000,-0.083032,0.030086,0.083473
1.255000,-0.087507,0.031519,0.085682
1.275000,-0.092753,0.033277,0.088231
1.295000,-0.098633,0.035383,0.091118
1.315000,-0.104499,0.037897,0.094326
1.335000,-0.109677,0.040575,0.098103
