accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.010000,-8.252813,-4.975151,4.584896
0.030000,-8.166622,-4.848258,4.416105
0.050000,-8.110693,-4.562061,4.098148
0.070000,-7.471491,-3.802799,4.001080
0.090000,-7.370098,-3.273324,3.971974
0.110000,-7.463608,-3.007766,3.959885
0.130000,-7.468392,-2.864197,3.950239
0.150000,-7.463075,-2.746029,3.924607
0.170000,-7.494263,-2.668061,3.885344
0.190000,-7.519159,-2.636181,3.846148
0.210000,-7.531928,-2.629942,3.810949
0.230000,-7.555577,-2.625216,3.778547
0.250000,-7.588744,-2.610418,3.750732
0.270000,-7.624898,-2.583824,3.725834
0.290000,-7.664143,-2.545962,3.707680
0.310000,-7.709656,-2.502813,3.695328
0.330000,-7.762049,-2.457762,3.685885
0.350000,-7.821994,-2.413749,3.678049
0.370000,-7.894603,-2.373401,3.669755
0.390000,-7.980304,-2.338863,3.662791
0.410000,-8.072262,-2.309581,3.657432
0.430000,-8.157976,-2.284860,3.654574
0.450000,-8.232574,-2.262663,3.651543
0.470000,-8.291552,-2.240207,3.645193
0.490000,-8.333837,-2.218339,3.635332
0.510000,-8.358930,-2.198877,3.624430
0.530000,-8.374503,-2.183381,3.614421
0.550000,-8.384993,-2.172269,3.602569
0.570000,-8.390766,-2.165802,3.590672
0.590000,-8.395123,-2.161863,3.578977
0.610000,-8.399342,-2.158696,3.567706
0.630000,-8.405787,-2.156304,3.559304
0.650000,-8.411158,-2.151644,3.551636
0.670000,-8.414373,-2.144925,3.546986
0.690000,-8.417082,-2.137574,3.545383
0.710000,-8.418886,-2.130788,3.546434
0.730000,-8.424459,-2.125636,3.550925
0.750000,-8.434048,-2.119139,3.556882
0.770000,-8.442509,-2.109485,3.562214
0.790000,-8.451323,-2.096897,3.567778
0.810000,-8.463704,-2.081001,3.574654
0.830000,-8.478338,-2.062118,3.581743
0.850000,-8.491178,-2.042960,3.588974
0.870000,-8.500935,-2.025866,3.593540
0.890000,-8.508279,-2.011896,3.594717
0.910000,-8.515113,-1.999554,3.596496
0.930000,-8.522210,-1.987675,3.599586
0.950000,-8.527432,-1.974123,3.602756
0.970000,-8.529747,-1.959963,3.605588
0.990000,-8.529283,-1.945383,3.608356
1.010000,-8.525434,-1.929924,3.611309
1.030000,-8.519637,-1.912894,3.614098
1.050000,-8.513263,-1.894095,3.617018
1.070000,-8.508074,-1.874403,3.620342
1.090000,-8.503618,-1.853542,3.623224
1.110000,-8.498948,-1.833035,3.626226
1.130000,-8.494122,-1.813063,3.628856
1.150000,-8.488454,-1.794626,3.631613
1.170000,-8.480396,-1.778104,3.635302
1.190000,-8.467592,-1.763954,3.638742
1.210000,-8.451235,-1.752697,3.640410
1.230000,-8.433926,-1.743108,3.642717
1.250000,-8.419380,-1.735617,3.647844
1.270000,-8.405798,-1.729323,3.657298
1.290000,-8.390677,-1.724038,3.675914
1.310000,-8.374101,-1.718800,3.704181
1.330000,-8.353001,-1.713993,3.736314
1.350000,-8.329618,-1.713109,3.772321
1.370000,-8.308464,-1.720035,3.816478
1.390000,-8.289385,-1.728064,3.870340
1.410000,-8.269920,-1.734602,3.932889
1.430000,-8.245451,-1.742268,4.001694
1.450000,-8.213730,-1.752406,4.074301
1.470000,-8.176482,-1.763372,4.146513
1.490000,-8.135058,-1.772350,4.217179
1.510000,-8.093310,-1.780899,4.293786
1.530000,-8.050034,-1.794236,4.377899
1.550000,-8.003762,-1.814622,4.469100
1.570000,-7.953048,-1.842582,4.566347
1.590000,-7.896310,-1.872346,4.675027
1.610000,-7.837971,-1.901241,4.796988
1.630000,-7.769214,-1.934618,4.905061
1.650000,-7.678936,-1.966921,5.001341
1.670000,-7.576722,-1.999431,5.114868
1.690000,-7.474927,-2.051367,5.227574
1.710000,-7.348117,-2.121400,5.305037
1.730000,-7.246590,-2.165530,5.349974
1.750000,-7.359968,-2.197252,5.325463
1.770000,-7.490567,-2.247890,5.246346
1.790000,-7.320304,-2.308724,5.163703
1.810000,-6.857738,-2.484927,5.256196
1.830000,-6.245299,-2.597484,5.253554
1.850000,-5.797840,-2.581639,5.100148
1.870000,-5.463088,-2.473798,4.931570
1.890000,-5.216053,-2.335832,4.750384
1.910000,-5.153257,-2.223537,4.609952
1.930000,-5.250305,-2.129230,4.443849
1.950000,-5.432704,-1.962500,4.184713
1.970000,-5.643935,-1.652482,3.808488
1.990000,-5.988509,-1.303210,3.221515
2.036000,-6.820673,-1.270464,1.808696
2.056000,-7.541680,-1.245916,-0.677627
2.076000,-12.325444,-3.762403,9.130874
2.096000,-8.695796,6.129136,-3.237919
2.116000,8.321187,16.469643,-0.299546
2.136000,24.053324,1.610932,-7.075569
2.156000,10.525907,-13.693529,-8.320814
2.176000,-0.621153,-14.596087,-1.883184
2.196000,-2.746824,-11.287004,-0.223114
2.216000,-2.250544,-9.068752,1.858337
2.236000,-1.352803,-6.637145,3.999480
2.256000,-0.458083,-4.884323,6.021121
2.276000,0.476598,-3.751191,7.307510
2.296000,0.124769,-4.324139,6.888333
2.316000,-0.260452,-6.355881,5.945255
2.336000,-0.495765,-6.631237,6.258666
2.356000,-0.731732,-5.977768,6.941572
2.376000,-0.725385,-5.998793,7.179383
2.396000,-0.695073,-6.375962,7.150872
2.416000,-0.590805,-6.524051,7.226336
2.436000,-0.459997,-6.450364,7.348033
2.456000,-0.430908,-6.375202,7.456797
2.476000,-0.516840,-6.422490,7.470765
2.496000,-0.567362,-6.523689,7.509936
2.516000,-0.548105,-6.515664,7.541611
2.536000,-0.499412,-6.553730,7.584292
2.556000,-0.456362,-6.592487,7.641246
2.576000,-0.398810,-6.645567,7.627756
2.596000,-0.383538,-6.701923,7.642428
2.616000,-0.384929,-6.676677,7.686108
2.636000,-0.385966,-6.665570,7.722878
2.656000,-0.374350,-6.686686,7.733254
2.676000,-0.359173,-6.698444,7.744558
2.696000,-0.346686,-6.694901,7.768453
2.716000,-0.342029,-6.702737,7.785954
2.736000,-0.317603,-6.691449,7.794759
2.756000,-0.306949,-6.695673,7.815479
2.776000,-0.303230,-6.692208,7.836730
2.796000,-0.294524,-6.691128,7.845189
2.816000,-0.276955,-6.682847,7.854252
2.836000,-0.271495,-6.679014,7.874911
2.856000,-0.267132,-6.672949,7.890261
2.876000,-0.262516,-6.670453,7.895247
2.896000,-0.259603,-6.670823,7.914719
2.916000,-0.257066,-6.678984,7.925868
2.936000,-0.252706,-6.685830,7.935395
2.956000,-0.245016,-6.687593,7.940368
2.976000,-0.232247,-6.680918,7.940876
2.996000,-0.220782,-6.678593,7.949711
3.016000,-0.211214,-6.681756,7.954760
3.036000,-0.201188,-6.683200,7.954728
3.056000,-0.200418,-6.688581,7.964408
3.076000,-0.198071,-6.689730,7.970533
3.096000,-0.191210,-6.696155,7.972457
3.116000,-0.183375,-6.703370,7.974233
3.136000,-0.178902,-6.710272,7.977993
3.156000,-0.175414,-6.713665,7.982134
3.176000,-0.171553,-6.715579,7.984492
3.196000,-0.168155,-6.713180,7.990051
3.216000,-0.167343,-6.713541,7.997389
3.236000,-0.164849,-6.714038,7.999696
3.256000,-0.159617,-6.714907,8.001712
3.276000,-0.152499,-6.704288,8.011126
3.296000,-0.152560,-6.704799,8.022358
3.316000,-0.149790,-6.703104,8.024727
3.336000,-0.147255,-6.698960,8.029460
3.356000,-0.143884,-6.693975,8.035481
3.376000,-0.142970,-6.689028,8.042013
3.396000,-0.140171,-6.682028,8.045238
3.416000,-0.138346,-6.680573,8.051128
3.436000,-0.135056,-6.681023,8.052807
3.456000,-0.131100,-6.677436,8.055564
3.476000,-0.129628,-6.678784,8.059513
3.496000,-0.125682,-6.684348,8.059053
3.516000,-0.121894,-6.690420,8.058970
3.536000,-0.119291,-6.699134,8.059324
3.556000,-0.116577,-6.706026,8.057880
3.576000,-0.114241,-6.710774,8.057476
3.596000,-0.110798,-6.714632,8.054976
3.616000,-0.106762,-6.719683,8.052809
3.636000,-0.105415,-6.723269,8.053560
3.656000,-0.103577,-6.723919,8.054867
3.676000,-0.100117,-6.723546,8.054642
3.696000,-0.098367,-6.724560,8.056912
3.716000,-0.096903,-6.725860,8.060020
3.736000,-0.095780,-6.726195,8.061372
3.756000,-0.092899,-6.724556,8.062585
3.776000,-0.090549,-6.723029,8.065729
3.796000,-0.089164,-6.724513,8.067347
3.816000,-0.087528,-6.724817,8.068890
3.836000,-0.085427,-6.723569,8.070007
3.856000,-0.082879,-6.721845,8.071826
3.876000,-0.081379,-6.722361,8.074069
3.896000,-0.080128,-6.720508,8.076165
3.916000,-0.077552,-6.719987,8.076771
3.936000,-0.075661,-6.722295,8.077453
3.956000,-0.074168,-6.722753,8.078865
3.976000,-0.073205,-6.722044,8.080481
3.996000,-0.071746,-6.723957,8.080831
4.016000,-0.069406,-6.724378,8.081028
4.047000,-0.068897,-6.725247,8.082449
4.067000,-0.067450,-6.727624,8.082566
4.087000,-0.066007,-6.728074,8.082569
4.107000,-0.064240,-6.727128,8.083483
4.127000,-0.062563,-6.728422,8.083994
4.147000,-0.061942,-6.730096,8.084927
4.167000,-0.060352,-6.731224,8.085037
4.187000,-0.058663,-6.732142,8.085780
4.207000,-0.057086,-6.731673,8.087135
4.227000,-0.055722,-6.731552,8.088333
4.247000,-0.054129,-6.732051,8.088787
4.267000,-0.052745,-6.733102,8.089460
4.287000,-0.051740,-6.733980,8.090171
4.307000,-0.050456,-6.734940,8.090169
4.327000,-0.049123,-6.735509,8.090636
4.347000,-0.048622,-6.736657,8.090776
4.367000,-0.047792,-6.736979,8.091663
4.387000,-0.046331,-6.737054,8.091599
4.407000,-0.045245,-6.738853,8.091439
4.427000,-0.044074,-6.740058,8.091545
4.447000,-0.043729,-6.739120,8.092990
4.467000,-0.042861,-6.739677,8.093391
4.487000,-0.041163,-6.741449,8.092759
4.507000,-0.039722,-6.742580,8.092684
4.527000,-0.039181,-6.741546,8.093615
4.547000,-0.038694,-6.742126,8.094105
4.567000,-0.037661,-6.743992,8.093537
4.587000,-0.036326,-6.744787,8.094125
4.607000,-0.035747,-6.745048,8.094754
4.627000,-0.034145,-6.745808,8.094012
4.647000,-0.032702,-6.748093,8.093326
4.667000,-0.031154,-6.748368,8.093747
4.687000,-0.030795,-6.750197,8.093878
4.707000,-0.029697,-6.751241,8.093456
4.727000,-0.028586,-6.752179,8.093230
4.750000,-0.027270,-6.753179,8.092982
4.770000,-0.026447,-6.754217,8.093408
4.790000,-0.025536,-6.754287,8.093470
4.810000,-0.023892,-6.754979,8.093554
4.830000,-0.023055,-6.756047,8.093375
4.850000,-0.022273,-6.757200,8.093102
