accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.410000,1.125275,-8.058883,2.149993
0.430000,0.296881,-8.729259,2.340332
0.450000,-0.457376,-9.582435,2.585572
0.470000,-1.218760,-10.830646,2.905871
0.490000,-2.152859,-12.415152,3.137800
0.510000,-3.255987,-13.886580,3.168623
0.530000,-4.366782,-14.649102,3.133149
0.550000,-5.236292,-14.699797,3.129284
0.570000,-5.737292,-14.422128,3.098903
0.590000,-5.973288,-14.025230,2.995282
0.610000,-6.029711,-13.511814,2.825898
0.630000,-5.948298,-12.813962,2.594817
0.650000,-5.796367,-11.929584,2.335503
0.670000,-5.606099,-10.886570,2.070218
0.690000,-5.395243,-9.677172,1.828619
0.710000,-5.181798,-8.332380,1.642645
0.730000,-4.991385,-6.961185,1.535946
0.750000,-4.880008,-5.737090,1.517059
0.770000,-4.914908,-4.860433,1.604660
0.790000,-5.138184,-4.519557,1.777792
0.810000,-5.590277,-4.838088,1.990576
0.830000,-6.095757,-5.617726,2.242087
0.850000,-6.490337,-6.544515,2.592465
0.870000,-6.810219,-7.373785,2.988730
0.890000,-7.051389,-8.127323,3.368885
0.910000,-7.153688,-8.703677,3.698519
0.930000,-7.106621,-8.976375,3.966330
0.950000,-6.938036,-9.000337,4.180902
0.970000,-6.658855,-8.870886,4.323144
0.990000,-6.269493,-8.669838,4.385190
1.010000,-5.760664,-8.444724,4.379758
1.030000,-5.157349,-8.220726,4.345134
1.050000,-4.566243,-8.039577,4.324747
1.070000,-4.098411,-7.947267,4.317558
1.090000,-3.752355,-7.940823,4.289093
1.110000,-3.485867,-7.992100,4.254475
1.130000,-3.301838,-8.086865,4.233696
1.150000,-3.210109,-8.245081,4.239697
1.170000,-3.258035,-8.560712,4.283237
1.190000,-3.501735,-9.073275,4.342539
1.210000,-3.954068,-9.662804,4.391428
1.230000,-4.485163,-10.086337,4.406224
1.250000,-4.918579,-10.226533,4.393700
1.270000,-5.189381,-10.157726,4.367342
1.290000,-5.327179,-9.980235,4.319654
1.310000,-5.365043,-9.738605,4.243526
1.330000,-5.328898,-9.440817,4.139490
1.350000,-5.251943,-9.068888,4.017276
1.370000,-5.149967,-8.603735,3.884052
1.390000,-5.040427,-8.035607,3.736595
1.410000,-4.939309,-7.374079,3.584554
1.430000,-4.858407,-6.673793,3.455774
1.450000,-4.826001,-6.048830,3.370038
1.470000,-4.864778,-5.591317,3.330664
1.490000,-4.976495,-5.364091,3.348301
1.510000,-5.193557,-5.479451,3.417448
1.530000,-5.480466,-5.982097,3.521207
1.550000,-5.769063,-6.739408,3.668565
1.570000,-6.027186,-7.540049,3.830254
1.590000,-6.192187,-8.275094,3.975309
1.610000,-6.201691,-8.787060,4.099052
1.630000,-6.091592,-9.019954,4.201194
1.650000,-5.905261,-9.037294,4.275094
1.670000,-5.657232,-8.940121,4.319201
1.690000,-5.349245,-8.789094,4.332248
1.710000,-4.997465,-8.606755,4.323684
1.730000,-4.641057,-8.446546,4.321717
1.750000,-4.323561,-8.354933,4.332981
1.770000,-4.071347,-8.334920,4.340455
1.790000,-3.874323,-8.336487,4.331666
1.810000,-3.698798,-8.323941,4.325529
1.830000,-3.544578,-8.330252,4.338211
1.850000,-3.458600,-8.444210,4.375145
1.870000,-3.498778,-8.732193,4.421762
1.890000,-3.664390,-9.152626,4.450331
1.910000,-3.909184,-9.552615,4.479099
1.930000,-4.163242,-9.818376,4.510717
1.950000,-4.400528,-9.935733,4.519172
1.970000,-4.568991,-9.878698,4.489321
1.990000,-4.635467,-9.664756,4.429875
2.010000,-4.626614,-9.338697,4.363534
2.030000,-4.581160,-8.928329,4.293818
2.050000,-4.518773,-8.441862,4.210487
2.070000,-4.458394,-7.884609,4.115327
2.090000,-4.406095,-7.288551,4.025929
2.110000,-4.367689,-6.723604,3.952138
2.130000,-4.361731,-6.282374,3.903116
2.150000,-4.392850,-6.004879,3.892892
2.170000,-4.470101,-5.910150,3.931939
2.190000,-4.610705,-6.044238,3.996022
2.210000,-4.838274,-6.464203,4.071363
2.230000,-5.065935,-7.061067,4.168559
2.250000,-5.220990,-7.550714,4.273646
2.270000,-5.331825,-7.936236,4.367624
2.290000,-5.354127,-8.215673,4.441024
2.310000,-5.279411,-8.355818,4.499015
2.330000,-5.140078,-8.382627,4.542836
2.350000,-4.967813,-8.346983,4.571201
2.370000,-4.784944,-8.286849,4.587985
2.390000,-4.593852,-8.221644,4.599710
2.431000,-4.399527,-8.152692,4.601446
2.451000,-4.212238,-8.079012,4.594103
2.471000,-4.034564,-7.999727,4.584675
2.491000,-3.865908,-7.933483,4.579321
2.511000,-3.723344,-7.930881,4.583814
2.531000,-3.636845,-8.059787,4.606882
2.551000,-3.645188,-8.349214,4.640976
2.571000,-3.759692,-8.716106,4.663639
2.591000,-3.989239,-9.085344,4.687331
2.611000,-4.289833,-9.442318,4.700749
2.631000,-4.545804,-9.717168,4.688856
2.651000,-4.694119,-9.816695,4.655176
2.671000,-4.759160,-9.707838,4.595139
2.691000,-4.768391,-9.432285,4.517104
2.711000,-4.748478,-9.035644,4.436940
2.731000,-4.698367,-8.536236,4.350423
2.751000,-4.628812,-7.942584,4.257525
2.771000,-4.567199,-7.287349,4.161716
2.791000,-4.525989,-6.660219,4.077104
2.811000,-4.507643,-6.148550,4.010396
2.831000,-4.529018,-5.807506,3.968272
2.851000,-4.590596,-5.654301,3.957198
2.871000,-4.700884,-5.737158,3.968839
2.891000,-4.882100,-6.082755,3.976933
2.911000,-5.100799,-6.658128,3.979005
2.931000,-5.275965,-7.283829,3.995630
2.951000,-5.417139,-7.869620,4.023870
2.971000,-5.546480,-8.460650,4.049376
2.991000,-5.595499,-8.922523,4.058257
3.011000,-5.552670,-9.144217,4.052459
3.031000,-5.439444,-9.163430,4.040097
3.051000,-5.274711,-9.071371,4.027332
3.071000,-5.074798,-8.943699,4.017770
3.091000,-4.868541,-8.834185,4.010694
3.111000,-4.683318,-8.760279,4.001050
3.131000,-4.525129,-8.716959,3.992011
3.151000,-4.399632,-8.678244,3.982999
3.171000,-4.308177,-8.617584,3.972393
3.191000,-4.254401,-8.546551,3.966120
3.211000,-4.236672,-8.483240,3.962856
3.231000,-4.243280,-8.480771,3.965001
3.251000,-4.309103,-8.601723,3.977958
3.271000,-4.458658,-8.843545,3.967749
3.291000,-4.628353,-9.041974,3.949543
3.311000,-4.734277,-9.091038,3.933166
3.331000,-4.783237,-9.067261,3.916042
3.351000,-4.786621,-9.021751,3.892296
3.371000,-4.761501,-8.927805,3.852468
3.391000,-4.704437,-8.748689,3.796251
3.411000,-4.604147,-8.472469,3.731239
3.431000,-4.480427,-8.122353,3.670002
3.451000,-4.399569,-7.767446,3.617979
3.471000,-4.391891,-7.481687,3.567721
3.491000,-4.447436,-7.336661,3.531078
3.511000,-4.553164,-7.362450,3.520356
3.531000,-4.682522,-7.477445,3.521226
3.551000,-4.882394,-7.658669,3.519061
3.571000,-5.145640,-7.872690,3.515087
3.591000,-5.346406,-8.049854,3.511792
3.611000,-5.464271,-8.269415,3.491800
3.631000,-5.487021,-8.565010,3.454135
3.651000,-5.447831,-8.826234,3.417089
3.671000,-5.392071,-8.955819,3.379180
3.691000,-5.311037,-8.976852,3.333466
3.711000,-5.188945,-8.954169,3.285546
3.731000,-5.019697,-8.903941,3.243930
3.751000,-4.814851,-8.826853,3.215722
3.771000,-4.591858,-8.744660,3.202563
3.791000,-4.368059,-8.704914,3.198254
3.811000,-4.156292,-8.712787,3.198093
3.831000,-3.950657,-8.737591,3.209042
3.851000,-3.740862,-8.771956,3.235100
3.871000,-3.568129,-8.850581,3.283292
3.891000,-3.484030,-9.017234,3.344791
3.911000,-3.501966,-9.268186,3.408838
3.931000,-3.636544,-9.558651,3.476411
3.951000,-3.845830,-9.798026,3.548360
3.971000,-4.072115,-9.935239,3.617246
3.991000,-4.271833,-9.969840,3.669295
4.011000,-4.423187,-9.902690,3.697034
4.031000,-4.518655,-9.747359,3.702430
4.051000,-4.571460,-9.506962,3.695202
4.071000,-4.588232,-9.177139,3.675434
4.091000,-4.578592,-8.757358,3.639499
4.111000,-4.545365,-8.257502,3.590757
4.131000,-4.502025,-7.720306,3.536638
4.151000,-4.477479,-7.217249,3.479561
4.171000,-4.488595,-6.823502,3.435372
4.191000,-4.556477,-6.614362,3.415559
4.211000,-4.700069,-6.615274,3.411332
4.231000,-4.894971,-6.789383,3.412624
4.251000,-5.098663,-7.083009,3.426385
4.271000,-5.289266,-7.446114,3.454918
4.291000,-5.454728,-7.876185,3.483254
4.311000,-5.544831,-8.375793,3.503511
4.331000,-5.505753,-8.838119,3.519116
4.351000,-5.360277,-9.153680,3.536032
4.371000,-5.142159,-9.309811,3.552888
4.391000,-4.868175,-9.356595,3.567374
4.411000,-4.552875,-9.345685,3.580363
4.523000,-4.334618,-9.217507,3.591437
4.543000,-4.175454,-9.188606,3.601700
4.563000,-4.108582,-9.284730,3.619767
4.583000,-4.164811,-9.479352,3.638149
4.603000,-4.347302,-9.685535,3.665737
4.623000,-4.608537,-9.835768,3.697171
4.643000,-4.891909,-9.879030,3.707875
4.663000,-5.146795,-9.813296,3.701317
4.683000,-5.342140,-9.636614,3.686157
