gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,-1.309663,-2.148221,1.105953
0.430000,-1.339707,-2.269927,0.978583
0.450000,-1.356848,-2.375677,0.834084
0.470000,-1.405772,-2.424865,0.686702
0.490000,-1.449125,-2.434900,0.597577
0.510000,-1.434272,-2.430297,0.576844
0.530000,-1.379434,-2.425327,0.594492
0.550000,-1.316871,-2.429285,0.621788
0.570000,-1.254003,-2.440360,0.644612
0.590000,-1.181044,-2.449291,0.670102
0.610000,-1.101234,-2.454007,0.704110
0.630000,-1.037564,-2.454096,0.743588
0.650000,-1.006497,-2.447631,0.781576
0.670000,-1.022942,-2.435420,0.814432
0.690000,-1.085989,-2.421525,0.838737
0.710000,-1.180181,-2.410817,0.859522
0.730000,-1.291182,-2.404704,0.889494
0.750000,-1.414336,-2.398747,0.944457
0.770000,-1.531484,-2.393865,1.035659
0.790000,-1.610360,-2.386727,1.135224
0.810000,-1.659236,-2.372360,1.213378
0.830000,-1.684221,-2.352582,1.269597
0.850000,-1.675848,-2.327584,1.310898
0.870000,-1.636184,-2.296489,1.351190
0.890000,-1.584433,-2.261597,1.390378
0.910000,-1.538194,-2.226231,1.423342
0.930000,-1.502921,-2.191772,1.444925
0.950000,-1.477593,-2.157691,1.448977
0.970000,-1.453184,-2.125084,1.438760
0.990000,-1.424759,-2.096316,1.417060
1.010000,-1.399622,-2.071389,1.372872
1.030000,-1.376272,-2.050707,1.311709
1.050000,-1.354428,-2.031837,1.236335
1.070000,-1.343832,-2.009073,1.139909
1.090000,-1.347554,-1.978897,1.019559
1.110000,-1.344708,-1.944031,0.883190
1.130000,-1.310257,-1.904570,0.741935
1.150000,-1.243557,-1.859469,0.598652
1.170000,-1.157060,-1.813830,0.464264
1.190000,-1.064342,-1.770601,0.344545
1.210000,-0.972071,-1.729650,0.242762
1.230000,-0.885783,-1.690490,0.164245
1.250000,-0.811763,-1.651905,0.112395
1.270000,-0.753341,-1.610229,0.083178
1.290000,-0.708344,-1.564013,0.069755
1.310000,-0.672157,-1.514754,0.068761
1.330000,-0.644191,-1.463332,0.081263
1.350000,-0.630263,-1.410459,0.108522
1.370000,-0.632950,-1.359345,0.145382
1.390000,-0.642937,-1.316334,0.188280
1.410000,-0.655548,-1.286635,0.228549
1.430000,-0.670069,-1.273626,0.263922
1.450000,-0.684463,-1.270738,0.316284
1.470000,-0.703437,-1.265440,0.394316
1.490000,-0.736283,-1.250289,0.473334
1.510000,-0.785012,-1.229092,0.538718
1.530000,-0.832914,-1.210362,0.586882
1.550000,-0.852639,-1.194046,0.619215
1.570000,-0.831429,-1.178246,0.643439
1.590000,-0.778603,-1.163426,0.663697
1.610000,-0.709658,-1.150603,0.682318
1.630000,-0.644493,-1.139651,0.692358
1.650000,-0.602867,-1.129696,0.681096
1.670000,-0.587040,-1.121855,0.653870
1.690000,-0.588718,-1.117367,0.611398
1.710000,-0.596171,-1.114117,0.548901
1.730000,-0.600293,-1.109699,0.469281
1.750000,-0.604825,-1.099870,0.369404
1.770000,-0.613624,-1.082772,0.250787
1.790000,-0.612717,-1.060789,0.130474
1.810000,-0.584106,-1.035001,0.023673
1.830000,-0.532747,-1.007243,-0.072156
1.850000,-0.478040,-0.981550,-0.145602
1.870000,-0.432381,-0.957945,-0.199163
1.890000,-0.398157,-0.935185,-0.233794
1.910000,-0.377430,-0.911848,-0.252211
1.930000,-0.367623,-0.885709,-0.256354
1.950000,-0.360990,-0.853519,-0.249877
1.970000,-0.354137,-0.816327,-0.239912
1.990000,-0.345811,-0.778125,-0.226032
2.010000,-0.335754,-0.740805,-0.207298
2.030000,-0.326149,-0.706405,-0.183426
2.050000,-0.319713,-0.675983,-0.154349
2.070000,-0.319062,-0.649373,-0.121229
2.090000,-0.324854,-0.627241,-0.086882
2.110000,-0.337191,-0.612218,-0.051750
2.130000,-0.357722,-0.606601,-0.006396
2.150000,-0.384289,-0.607362,0.080986
2.170000,-0.409305,-0.609387,0.172268
2.190000,-0.425574,-0.614769,0.243393
2.210000,-0.442984,-0.621969,0.293935
2.230000,-0.458182,-0.627987,0.318781
2.250000,-0.457944,-0.631181,0.332310
2.270000,-0.441327,-0.631176,0.339875
2.290000,-0.415839,-0.628761,0.342152
2.310000,-0.388005,-0.624805,0.336200
2.330000,-0.359374,-0.619884,0.320400
2.350000,-0.330649,-0.613878,0.295404
2.370000,-0.304809,-0.606002,0.258414
2.390000,-0.286986,-0.597324,0.207802
2.693000,-0.276768,-0.553311,0.234172
2.713000,-0.267604,-0.509958,0.253897
2.733000,-0.257008,-0.469103,0.269579
2.753000,-0.244773,-0.433308,0.281080
2.773000,-0.229213,-0.402230,0.289036
2.793000,-0.215930,-0.372640,0.299250
2.813000,-0.211339,-0.342949,0.320816
2.833000,-0.217193,-0.312204,0.341245
2.853000,-0.226719,-0.285152,0.344955
2.873000,-0.230666,-0.263961,0.334080
2.893000,-0.221553,-0.245142,0.310775
2.913000,-0.197568,-0.226639,0.279171
2.933000,-0.165250,-0.208965,0.240094
2.953000,-0.133556,-0.191668,0.193249
2.973000,-0.106045,-0.173215,0.137920
2.993000,-0.078671,-0.152582,0.076431
3.013000,-0.044756,-0.130111,0.011491
3.033000,-0.002606,-0.106019,-0.056198
3.053000,0.043404,-0.079729,-0.127579
3.073000,0.084506,-0.049369,-0.203609
3.093000,0.110110,-0.012065,-0.284279
3.113000,0.115571,0.034019,-0.364254
3.133000,0.102895,0.092800,-0.425513
3.153000,0.089420,0.162378,-0.435633
3.173000,0.088796,0.238523,-0.411935
3.193000,0.113769,0.317654,-0.369250
3.213000,0.153896,0.397661,-0.307052
3.233000,0.183632,0.480599,-0.256411
3.253000,0.210444,0.562326,-0.203235
3.273000,0.242231,0.638128,-0.149326
3.293000,0.272468,0.708492,-0.102945
3.313000,0.294721,0.773808,-0.067514
3.333000,0.310258,0.832398,-0.046174
3.353000,0.328040,0.881463,-0.034763
3.373000,0.351554,0.922747,-0.034020
3.393000,0.379174,0.958514,-0.045513
3.413000,0.405667,0.989497,-0.070526
3.433000,0.427886,1.016041,-0.110408
3.453000,0.446884,1.038718,-0.162330
3.473000,0.463416,1.060057,-0.218961
3.493000,0.482279,1.081463,-0.268514
3.513000,0.506077,1.100218,-0.314901
3.533000,0.526908,1.112996,-0.365726
3.553000,0.537055,1.122580,-0.422930
3.573000,0.539879,1.132342,-0.486099
3.593000,0.544256,1.142862,-0.547775
3.613000,0.557833,1.156878,-0.601239
3.633000,0.584482,1.176533,-0.645841
3.653000,0.621545,1.203065,-0.686192
3.673000,0.659102,1.237222,-0.724114
3.693000,0.685210,1.279323,-0.758961
3.713000,0.692290,1.330199,-0.788235
3.733000,0.679345,1.390297,-0.812574
3.753000,0.650441,1.458787,-0.836675
3.773000,0.611202,1.534258,-0.858282
3.793000,0.574714,1.612601,-0.860371
3.813000,0.572492,1.678800,-0.844867
3.833000,0.612487,1.730955,-0.834183
3.853000,0.662362,1.763371,-0.837125
3.873000,0.695226,1.778417,-0.854579
3.893000,0.712924,1.784195,-0.876447
3.913000,0.727319,1.782596,-0.895939
3.933000,0.741530,1.772099,-0.911292
3.953000,0.757809,1.755089,-0.921341
3.973000,0.779040,1.734455,-0.925332
3.993000,0.800858,1.713572,-0.923805
4.013000,0.815246,1.694598,-0.915134
4.033000,0.815130,1.679083,-0.897891
4.053000,0.798880,1.667942,-0.873360
4.073000,0.771894,1.660446,-0.842128
4.093000,0.740440,1.653782,-0.804655
4.113000,0.702871,1.646565,-0.765784
4.133000,0.661689,1.634628,-0.718540
4.153000,0.621310,1.618954,-0.663457
4.173000,0.581885,1.601347,-0.616638
4.193000,0.550912,1.579679,-0.571973
4.213000,0.534814,1.554740,-0.535117
4.233000,0.529556,1.526977,-0.506847
4.253000,0.525277,1.495964,-0.487552
4.273000,0.519517,1.461562,-0.476507
4.293000,0.512535,1.424181,-0.473988
4.313000,0.503557,1.385405,-0.481204
4.333000,0.493828,1.346215,-0.497144
4.353000,0.485127,1.306690,-0.521720
4.373000,0.475691,1.265929,-0.558383
4.393000,0.467165,1.224240,-0.610230
4.413000,0.460736,1.182479,-0.672751
4.433000,0.454078,1.143239,-0.742829
4.453000,0.447357,1.111185,-0.812612
4.473000,0.445624,1.086655,-0.869330
4.493000,0.455007,1.067446,-0.902955
4.513000,0.472941,1.049187,-0.908108
4.533000,0.489812,1.030758,-0.891234
4.553000,0.499335,1.015051,-0.858971
4.573000,0.500923,1.003144,-0.814871
4.593000,0.496444,0.995727,-0.757241
4.613000,0.488812,0.993475,-0.685235
4.633000,0.479573,0.996036,-0.603872
4.653000,0.469903,0.999766,-0.520819
4.673000,0.462869,0.999927,-0.441207
4.730000,0.452969,0.983940,-0.382219
4.750000,0.431542,0.962801,-0.331135
4.770000,0.396181,0.936892,-0.281450
4.790000,0.352864,0.908093,-0.220417
4.810000,0.313682,0.879170,-0.161492
4.830000,0.279929,0.847493,-0.123180
4.850000,0.251714,0.811206,-0.107770
4.870000,0.235123,0.773636,-0.112255
4.890000,0.232212,0.737583,-0.127582
4.910000,0.236426,0.702687,-0.149410
4.930000,0.241969,0.668130,-0.178062
4.950000,0.249623,0.633623,-0.214427
4.970000,0.259530,0.598731,-0.260720
4.990000,0.269504,0.563161,-0.314906
5.010000,0.277236,0.527443,-0.373581
5.030000,0.279201,0.493374,-0.436932
5.050000,0.272694,0.463054,-0.507694
5.070000,0.259598,0.438652,-0.583711
5.090000,0.243523,0.421933,-0.659749
5.110000,0.229954,0.414655,-0.722386
5.130000,0.224801,0.416509,-0.754750
5.150000,0.227066,0.427574,-0.753124
5.170000,0.231181,0.445561,-0.720845
5.190000,0.233789,0.466134,-0.669257
5.210000,0.239056,0.485462,-0.601370
5.230000,0.248520,0.503220,-0.520575
5.250000,0.256342,0.520935,-0.436042
5.270000,0.260640,0.537444,-0.344546
5.290000,0.262464,0.551812,-0.249232
5.310000,0.261402,0.563929,-0.156497
5.330000,0.256542,0.573177,-0.071148
5.350000,0.247918,0.578199,0.002885
5.370000,0.236839,0.577906,0.062894
5.390000,0.223981,0.572431,0.106604
5.410000,0.204781,0.561809,0.129370
5.430000,0.173537,0.546162,0.131084
5.450000,0.133881,0.526714,0.130379
5.470000,0.104166,0.502921,0.133347
5.490000,0.091492,0.474952,0.122121
5.510000,0.085145,0.439537,0.094307
5.530000,0.075388,0.397368,0.053988
5.550000,0.061814,0.355869,0.005399
5.570000,0.048585,0.319945,-0.045145
5.590000,0.039379,0.290342,-0.097371
5.610000,0.037747,0.265806,-0.149043
5.630000,0.046414,0.244864,-0.197282
5.650000,0.064371,0.227533,-0.240829
5.670000,0.088607,0.213311,-0.276623
5.690000,0.113372,0.201991,-0.304707
5.710000,0.132374,0.194845,-0.327502
5.730000,0.142428,0.193137,-0.345255
5.750000,0.142084,0.197010,-0.357119
5.770000,0.131480,0.207672,-0.356366
5.790000,0.110241,0.225624,-0.337455
5.810000,0.083331,0.245343,-0.288924
5.830000,0.057098,0.266922,-0.214432
5.850000,0.039963,0.289306,-0.121567
5.870000,0.035405,0.310956,-0.015534
5.890000,0.035543,0.331238,0.092627
5.910000,0.034727,0.350435,0.195008
5.930000,0.030232,0.367712,0.279767
5.950000,0.021905,0.381657,0.342783
5.970000,0.012502,0.392358,0.374851
5.990000,0.007012,0.399319,0.374945
6.010000,0.008489,0.401579,0.348545
6.030000,0.015754,0.399210,0.299999
6.050000,0.024491,0.392617,0.231949
6.070000,0.029788,0.381141,0.144027
6.090000,0.029540,0.364003,0.040972
6.110000,0.024525,0.343167,-0.063576
6.130000,0.016033,0.320771,-0.152779
6.150000,0.003204,0.299839,-0.224589
6.170000,-0.014929,0.277650,-0.287437
6.190000,-0.032473,0.251249,-0.335528
6.210000,-0.035143,0.221319,-0.363529
6.230000,-0.019266,0.190776,-0.374034
6.250000,0.006150,0.162236,-0.366890
6.270000,0.031551,0.136001,-0.343059
6.290000,0.050993,0.110856,-0.307845
6.310000,0.061870,0.086694,-0.264014
6.330000,0.065939,0.064592,-0.207767
6.350000,0.064221,0.045119,-0.143283
6.370000,0.054424,0.028631,-0.082126
6.390000,0.034944,0.014448,-0.027333
6.410000,0.007264,0.000638,0.018682
6.430000,-0.023170,-0.012224,0.053512
6.450000,-0.049199,-0.022896,0.081610
6.470000,-0.064679,-0.030776,0.110387
6.490000,-0.067778,-0.037867,0.135227
6.510000,-0.062090,-0.047761,0.149229
6.530000,-0.050384,-0.063401,0.156128
6.550000,-0.034585,-0.083558,0.154104
6.570000,-0.017286,-0.106172,0.146215
6.590000,-0.000016,-0.129073,0.137994
6.610000,0.015653,-0.151784,0.131129
6.630000,0.029445,-0.174465,0.125626
6.650000,0.042447,-0.196526,0.121377
6.670000,0.054629,-0.217552,0.116897
6.690000,0.064078,-0.237524,0.111480
6.710000,0.069729,-0.256691,0.106614
