accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.310000,-3.102885,-1.673547,9.402030
0.330000,-3.147178,-1.541866,9.350554
0.350000,-3.185907,-1.337198,9.178452
0.370000,-3.263416,-1.102639,8.918950
0.390000,-3.347489,-0.888045,8.581473
0.410000,-3.419719,-0.771279,8.173035
0.430000,-3.495556,-0.722235,7.734639
0.450000,-3.588318,-0.662011,7.333126
0.470000,-3.748484,-0.615792,7.076906
0.490000,-4.029032,-0.716233,6.968137
0.510000,-4.377573,-0.920636,6.890805
0.530000,-4.666011,-1.089038,6.793445
0.550000,-4.885895,-1.153251,6.693733
0.570000,-5.129985,-1.149093,6.606040
0.590000,-5.451080,-1.161367,6.536119
0.610000,-5.794516,-1.190823,6.456102
0.630000,-6.118118,-1.227363,6.355413
0.650000,-6.414549,-1.258499,6.236642
0.670000,-6.677184,-1.274709,6.100875
0.690000,-6.908793,-1.292300,5.944548
0.710000,-7.117227,-1.325935,5.775273
0.730000,-7.304497,-1.384969,5.595388
0.750000,-7.470954,-1.466640,5.414038
0.770000,-7.635769,-1.569569,5.227586
0.790000,-7.810352,-1.685466,5.038894
0.810000,-7.994284,-1.798295,4.852180
0.830000,-8.173355,-1.896470,4.668302
0.850000,-8.333666,-1.982037,4.500278
0.870000,-8.463217,-2.056198,4.350776
0.890000,-8.558539,-2.109884,4.212457
0.910000,-8.614409,-2.137132,4.079386
0.930000,-8.628976,-2.160079,3.966635
0.950000,-8.621606,-2.195003,3.885057
0.970000,-8.621709,-2.238136,3.833138
0.990000,-8.637428,-2.274335,3.805743
1.010000,-8.651717,-2.296336,3.785653
1.030000,-8.654028,-2.307265,3.766034
1.050000,-8.659994,-2.313770,3.744192
1.070000,-8.695354,-2.321769,3.732911
1.090000,-8.755005,-2.328044,3.744954
1.110000,-8.816971,-2.328877,3.771337
1.130000,-8.864618,-2.325213,3.798658
1.150000,-8.883977,-2.323307,3.817575
1.170000,-8.873189,-2.328151,3.829940
1.190000,-8.851630,-2.341085,3.842402
1.210000,-8.847582,-2.356040,3.858518
1.230000,-8.862369,-2.364528,3.869185
1.250000,-8.882940,-2.365936,3.873692
1.270000,-8.907800,-2.366160,3.873970
1.290000,-8.927186,-2.366831,3.865898
1.310000,-8.927141,-2.368368,3.847313
1.330000,-8.926064,-2.376517,3.823787
1.350000,-8.945463,-2.391745,3.800780
1.370000,-8.974461,-2.406827,3.770433
1.390000,-8.999935,-2.415675,3.731347
1.410000,-9.015437,-2.416855,3.691187
1.430000,-9.029682,-2.413871,3.652955
1.450000,-9.049574,-2.408003,3.614874
1.470000,-9.074101,-2.398052,3.572348
1.490000,-9.093289,-2.383826,3.527319
1.510000,-9.103488,-2.369539,3.483417
1.530000,-9.105702,-2.357606,3.441138
1.550000,-9.110217,-2.347388,3.400335
1.570000,-9.121489,-2.336143,3.359719
1.590000,-9.128636,-2.323060,3.315978
1.610000,-9.126376,-2.309969,3.272429
1.630000,-9.121882,-2.299141,3.232051
1.650000,-9.122369,-2.292006,3.192552
1.670000,-9.125549,-2.286245,3.149891
1.690000,-9.126927,-2.279073,3.106101
1.710000,-9.128345,-2.269138,3.063898
1.730000,-9.131784,-2.258216,3.025584
1.750000,-9.139488,-2.247593,2.988575
1.770000,-9.147598,-2.237860,2.953880
1.790000,-9.153858,-2.227479,2.919009
1.810000,-9.168328,-2.215253,2.883040
1.830000,-9.183884,-2.201696,2.850757
1.850000,-9.184222,-2.187263,2.834272
1.870000,-9.157964,-2.169208,2.837483
1.890000,-9.103568,-2.142883,2.845650
1.910000,-9.028307,-2.109055,2.847744
1.930000,-8.953522,-2.071606,2.835835
1.950000,-8.908171,-2.036983,2.818585
1.970000,-8.899350,-2.009582,2.811529
1.990000,-8.916772,-1.989804,2.824233
2.010000,-8.942186,-1.971985,2.851836
2.030000,-8.951100,-1.953610,2.876583
2.050000,-8.939734,-1.939599,2.890924
2.070000,-8.913528,-1.934945,2.895391
2.090000,-8.877386,-1.941007,2.895691
2.110000,-8.837638,-1.952562,2.901374
2.130000,-8.804538,-1.964813,2.916579
2.150000,-8.780626,-1.975640,2.934990
2.170000,-8.756338,-1.985994,2.949511
2.190000,-8.731503,-1.995053,2.958166
2.210000,-8.712852,-1.998389,2.965807
2.230000,-8.703244,-1.994102,2.976319
2.250000,-8.702403,-1.987365,2.990748
2.270000,-8.711082,-1.985103,3.004813
2.290000,-8.731653,-1.990314,3.013739
2.332000,-8.746937,-1.999642,3.015260
2.352000,-8.769556,-2.009612,3.014539
2.372000,-8.829847,-2.023560,3.018967
2.392000,-8.917748,-2.041199,3.029618
2.412000,-8.992716,-2.061048,3.039251
2.432000,-9.033263,-2.081978,3.040729
2.452000,-9.042111,-2.099613,3.033957
2.472000,-9.023444,-2.110373,3.024994
2.492000,-8.987025,-2.114244,3.020144
2.512000,-8.943548,-2.113684,3.018666
2.532000,-8.910256,-2.113948,3.018321
2.552000,-8.902124,-2.119133,3.019614
2.572000,-8.924795,-2.130032,3.022343
2.592000,-8.972750,-2.144490,3.021689
2.612000,-9.011582,-2.157190,3.014288
2.632000,-9.025685,-2.164723,3.001533
2.652000,-9.041864,-2.166713,2.988975
2.672000,-9.060496,-2.162554,2.978574
2.692000,-9.067454,-2.151285,2.970396
2.712000,-9.061242,-2.134878,2.961418
2.732000,-9.046944,-2.117478,2.950822
2.752000,-9.026502,-2.103898,2.939688
2.772000,-9.002035,-2.096631,2.929040
2.792000,-8.975334,-2.092679,2.918302
2.812000,-8.950456,-2.090072,2.906622
2.832000,-8.930049,-2.088828,2.893825
2.852000,-8.912685,-2.089489,2.880138
2.872000,-8.899928,-2.090394,2.865411
2.892000,-8.897553,-2.088329,2.850862
2.912000,-8.906182,-2.082623,2.837362
2.932000,-8.919063,-2.074772,2.824409
2.952000,-8.929153,-2.066770,2.810387
2.972000,-8.948376,-2.060683,2.793971
2.992000,-8.987278,-2.057754,2.779462
3.012000,-9.024081,-2.057329,2.770504
3.032000,-9.041018,-2.059549,2.766811
3.052000,-9.033185,-2.065436,2.767735
3.072000,-8.998445,-2.073819,2.773086
3.092000,-8.937332,-2.081679,2.780681
3.112000,-8.862841,-2.086527,2.785943
3.132000,-8.797736,-2.088651,2.787894
3.152000,-8.761141,-2.089661,2.788580
3.172000,-8.757266,-2.089614,2.791923
3.192000,-8.775496,-2.084907,2.800181
3.212000,-8.792501,-2.073661,2.813067
3.232000,-8.792937,-2.057260,2.827380
3.252000,-8.782660,-2.040018,2.841422
3.272000,-8.768052,-2.025685,2.853319
3.292000,-8.745563,-2.016555,2.862536
3.312000,-8.718816,-2.013141,2.870480
3.332000,-8.695635,-2.014426,2.879023
3.352000,-8.677520,-2.017131,2.887542
3.372000,-8.658257,-2.017748,2.895591
3.392000,-8.634602,-2.014265,2.903400
3.412000,-8.613872,-2.007624,2.910476
3.432000,-8.603556,-2.001275,2.915951
3.452000,-8.605008,-1.997520,2.917672
3.472000,-8.615302,-1.996854,2.914521
3.492000,-8.638906,-1.998689,2.904440
3.512000,-8.693088,-2.003800,2.895025
3.532000,-8.766382,-2.012707,2.894834
3.552000,-8.802612,-2.021981,2.893116
3.572000,-8.790341,-2.028289,2.878471
3.592000,-8.767461,-2.032547,2.855155
3.612000,-8.764707,-2.036067,2.829212
3.632000,-8.781833,-2.043120,2.806817
3.652000,-8.806449,-2.053239,2.787846
3.672000,-8.837225,-2.066704,2.770422
3.692000,-8.865534,-2.083147,2.750034
3.712000,-8.885054,-2.102969,2.725378
3.732000,-8.890929,-2.122582,2.697052
3.752000,-8.888316,-2.138407,2.666392
