gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,-0.508277,-0.427806,0.689205
0.430000,-0.442061,-0.426740,0.625987
0.450000,-0.367698,-0.442684,0.558601
0.470000,-0.315811,-0.459134,0.482711
0.490000,-0.296222,-0.473528,0.396285
0.510000,-0.301581,-0.487433,0.305566
0.530000,-0.319437,-0.501163,0.218754
0.550000,-0.340505,-0.514003,0.145647
0.570000,-0.357468,-0.526344,0.090178
0.590000,-0.367397,-0.538827,0.050403
0.610000,-0.371636,-0.549370,0.022291
0.630000,-0.372944,-0.554756,0.002192
0.650000,-0.374360,-0.555747,-0.010578
0.670000,-0.379840,-0.552545,-0.017861
0.690000,-0.393575,-0.543936,-0.019608
0.710000,-0.417932,-0.529532,-0.015837
0.730000,-0.451874,-0.510558,-0.008427
0.750000,-0.490021,-0.490548,0.003293
0.770000,-0.528125,-0.470294,0.017455
0.790000,-0.565359,-0.448718,0.033041
0.810000,-0.601531,-0.424454,0.049332
0.830000,-0.636212,-0.397674,0.066956
0.850000,-0.670226,-0.369004,0.086160
0.870000,-0.705281,-0.336363,0.107433
0.890000,-0.742294,-0.302196,0.131429
0.910000,-0.783979,-0.266394,0.157621
0.930000,-0.830278,-0.228742,0.186485
0.950000,-0.880569,-0.194857,0.218284
0.970000,-0.937806,-0.164424,0.250143
0.990000,-1.000705,-0.133287,0.278292
1.010000,-1.058983,-0.100711,0.302268
1.030000,-1.099458,-0.068356,0.326252
1.050000,-1.116233,-0.033017,0.341549
1.070000,-1.081296,-0.007889,0.366668
1.090000,-1.057930,0.015571,0.409543
1.110000,-1.069786,0.037268,0.441229
1.130000,-1.099656,0.058578,0.464573
1.150000,-1.126277,0.077706,0.485770
1.170000,-1.146867,0.094243,0.502173
1.190000,-1.164442,0.107821,0.513015
1.210000,-1.176633,0.119272,0.519344
1.230000,-1.178364,0.128525,0.522432
1.250000,-1.169947,0.135495,0.523828
1.270000,-1.159245,0.141505,0.523651
1.290000,-1.152927,0.147110,0.521075
1.310000,-1.254505,0.124494,0.478948
1.330000,-1.360636,0.109932,0.474704
1.350000,-1.470527,0.096932,0.456868
1.370000,-1.583287,0.064694,0.426634
1.390000,-1.697956,0.045948,0.413002
1.410000,-1.813544,0.146721,0.485105
1.430000,-1.929070,0.181904,0.419936
1.450000,-1.955784,0.208935,0.478808
1.470000,-1.803982,0.213056,0.424741
1.490000,-1.503403,0.202281,0.447149
1.510000,-1.163655,0.173729,0.441458
1.530000,-0.878778,0.152456,0.425035
1.550000,-0.901358,0.140005,0.401219
1.570000,-1.106719,0.136056,0.365350
1.590000,-1.335812,0.136267,0.326191
1.610000,-1.464487,0.135800,0.282184
1.630000,-1.429877,0.134575,0.236500
1.650000,-1.257313,0.131864,0.188313
1.670000,-1.008486,0.128138,0.141773
1.690000,-0.721965,0.124656,0.096633
1.710000,-0.419534,0.123192,0.053952
1.730000,-0.103724,0.122241,0.015713
1.750000,0.230169,0.117989,-0.014508
1.770000,0.579592,0.108587,-0.038546
1.790000,0.921690,0.094907,-0.060962
1.810000,1.219325,0.079414,-0.082345
1.830000,1.440393,0.062742,-0.105349
1.850000,1.585891,0.045789,-0.133004
1.870000,1.685594,0.030310,-0.165675
1.890000,1.759740,0.016261,-0.200513
1.910000,1.803872,0.002693,-0.234481
1.930000,1.808334,-0.010667,-0.267510
1.950000,1.778179,-0.022176,-0.299185
1.970000,1.728116,-0.030777,-0.328107
1.990000,1.670491,-0.035959,-0.352341
2.010000,1.612710,-0.037772,-0.369827
2.030000,1.560682,-0.036426,-0.378041
2.050000,1.517294,-0.033174,-0.376937
2.070000,1.481975,-0.028305,-0.366966
2.090000,1.451461,-0.019703,-0.347654
2.110000,1.421373,-0.007535,-0.320845
2.130000,1.386441,0.007239,-0.286883
2.150000,1.340736,0.025675,-0.246900
2.170000,1.279425,0.046811,-0.204224
2.190000,1.207774,0.068693,-0.161180
2.210000,1.139726,0.089887,-0.117385
2.230000,1.085298,0.109792,-0.074259
2.250000,1.045364,0.129225,-0.031847
2.270000,1.015517,0.149164,0.010519
2.290000,0.991393,0.169309,0.054522
2.310000,0.967643,0.188167,0.102901
2.330000,0.938089,0.204625,0.155837
2.350000,0.898063,0.218558,0.212052
2.370000,0.847603,0.231456,0.265788
2.390000,0.792211,0.242917,0.313167
2.431000,0.740225,0.251765,0.344759
2.451000,0.696637,0.259382,0.366459
2.471000,0.669633,0.265118,0.379688
2.491000,0.666170,0.268568,0.386569
2.511000,0.685830,0.269884,0.388479
2.531000,0.721515,0.269562,0.385526
2.551000,0.764662,0.267730,0.377748
2.571000,0.807965,0.264192,0.365163
2.591000,0.846847,0.258501,0.348109
2.611000,0.877638,0.250443,0.326878
2.631000,0.898347,0.240215,0.301130
2.651000,0.910488,0.227968,0.270663
2.671000,0.917055,0.215003,0.234859
2.691000,0.921469,0.202446,0.193275
2.711000,0.926373,0.188759,0.148073
2.731000,0.932822,0.173476,0.099703
2.751000,0.941792,0.156186,0.048837
2.771000,0.954506,0.137205,-0.004178
2.791000,0.970056,0.118001,-0.059319
2.811000,0.986703,0.098621,-0.115260
2.831000,1.002179,0.078405,-0.171532
2.851000,1.014966,0.058708,-0.229166
2.871000,1.026017,0.041513,-0.287195
2.891000,1.039225,0.025934,-0.342510
2.911000,1.058461,0.008298,-0.390451
2.931000,1.084057,-0.011311,-0.430015
2.951000,1.113331,-0.031230,-0.463050
2.971000,1.143968,-0.051277,-0.491630
2.991000,1.172594,-0.071088,-0.517182
3.011000,1.195419,-0.090993,-0.540362
3.031000,1.208495,-0.110363,-0.561634
3.051000,1.208331,-0.128465,-0.582303
3.071000,1.195249,-0.144126,-0.602553
3.091000,1.173420,-0.156410,-0.621291
3.111000,1.147856,-0.165004,-0.635888
3.131000,1.121964,-0.170830,-0.644123
3.151000,1.097744,-0.173508,-0.644942
3.171000,1.077643,-0.172977,-0.638511
3.191000,1.062695,-0.169386,-0.625212
3.211000,1.050873,-0.162763,-0.604649
3.231000,1.036944,-0.153810,-0.577178
3.251000,1.014817,-0.142011,-0.544861
3.271000,0.981776,-0.125687,-0.507121
3.291000,0.936738,-0.107076,-0.464297
3.311000,0.877276,-0.087488,-0.418576
3.331000,0.803676,-0.064645,-0.370442
3.351000,0.721942,-0.039597,-0.320661
3.371000,0.641057,-0.015409,-0.269746
3.391000,0.569077,0.006528,-0.218515
3.411000,0.509184,0.027257,-0.168301
3.431000,0.459956,0.049081,-0.120299
3.451000,0.419153,0.073523,-0.073195
3.471000,0.383442,0.099057,-0.025090
3.491000,0.347792,0.123223,0.027194
3.511000,0.307011,0.145180,0.083990
3.531000,0.257666,0.165501,0.141478
3.551000,0.200254,0.184364,0.195243
3.571000,0.139391,0.201411,0.242481
3.591000,0.082286,0.216797,0.281898
3.611000,0.035934,0.230444,0.313148
3.631000,0.004026,0.241809,0.337227
3.651000,-0.013804,0.250323,0.355293
3.671000,-0.021911,0.255800,0.368059
3.691000,-0.026802,0.259078,0.374972
3.711000,-0.034476,0.260775,0.376285
3.731000,-0.048877,0.260667,0.372199
3.751000,-0.070072,0.259033,0.363282
3.771000,-0.093694,0.257133,0.349598
3.791000,-0.112856,0.254775,0.332743
3.811000,-0.122679,0.251193,0.314809
3.831000,-0.122517,0.246110,0.295927
3.851000,-0.114138,0.241635,0.274486
3.871000,-0.097161,0.236769,0.250216
3.891000,-0.072903,0.228668,0.224479
3.911000,-0.044280,0.217622,0.196926
3.931000,-0.013169,0.205745,0.165590
3.951000,0.019404,0.192463,0.131401
3.971000,0.051339,0.177473,0.094320
3.991000,0.080989,0.161678,0.053922
4.011000,0.108958,0.145999,0.009609
4.031000,0.138403,0.130924,-0.037585
4.051000,0.172802,0.116357,-0.085538
4.071000,0.215279,0.101761,-0.130878
4.091000,0.267688,0.085795,-0.169614
4.111000,0.328249,0.067073,-0.198547
4.131000,0.391815,0.045903,-0.216852
4.151000,0.452484,0.023426,-0.226830
4.171000,0.505909,0.000654,-0.232527
4.191000,0.549792,-0.021480,-0.236533
4.211000,0.584137,-0.042496,-0.240197
4.231000,0.609400,-0.061947,-0.245057
4.251000,0.626471,-0.079438,-0.251349
4.271000,0.637528,-0.094320,-0.258068
4.291000,0.646547,-0.106316,-0.264103
4.311000,0.657793,-0.115646,-0.268143
