gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.410000,0.098325,-0.134830,-0.057689
0.430000,0.093129,-0.017453,-0.096859
0.450000,0.094639,0.090353,-0.103931
0.470000,0.102157,0.157592,-0.097023
0.490000,0.253628,0.138469,-0.048691
0.510000,0.374470,0.107514,0.004579
0.530000,0.412093,0.094188,0.037782
0.550000,0.402972,0.085408,0.062997
0.570000,0.382432,0.091238,0.067359
0.590000,0.334834,0.108509,0.040532
0.610000,0.262500,0.127131,0.022460
0.630000,0.216854,0.141062,0.010172
0.650000,0.149739,0.131242,0.016946
0.670000,0.081774,0.111984,0.007517
0.690000,0.023314,0.099878,0.003732
0.710000,-0.021549,0.097661,-0.015068
0.730000,-0.063607,0.100373,-0.036393
0.750000,-0.101375,0.104163,-0.054986
0.770000,-0.129575,0.106967,-0.066814
0.790000,-0.150058,0.107430,-0.069806
0.810000,-0.205977,0.107972,-0.089952
0.830000,-0.267432,0.102449,-0.101849
0.850000,-0.313082,0.097746,-0.118134
0.870000,-0.332472,0.093141,-0.134907
0.890000,-0.319761,0.088960,-0.144366
0.910000,-0.288412,0.087912,-0.143866
0.930000,-0.244704,0.092499,-0.133737
0.950000,-0.214152,0.102838,-0.131426
0.970000,-0.188152,0.108711,-0.120784
0.990000,-0.132229,0.104855,-0.100896
1.010000,-0.069172,0.098571,-0.087072
1.030000,-0.013687,0.095360,-0.072006
1.050000,0.012739,0.095370,-0.061350
1.070000,0.022471,0.097899,-0.052201
1.090000,0.025769,0.099690,-0.045712
1.110000,0.031192,0.100550,-0.043698
1.130000,0.030380,0.098653,-0.041895
1.150000,0.025031,0.092078,-0.040018
1.170000,0.016475,0.085586,-0.041196
1.190000,0.000019,0.079737,-0.045550
1.210000,-0.013342,0.075204,-0.049984
1.230000,-0.022173,0.074184,-0.052869
1.250000,-0.030928,0.077817,-0.055194
1.270000,-0.033960,0.081317,-0.052819
1.290000,-0.018174,0.079013,-0.043529
1.310000,0.013947,0.075273,-0.035392
1.330000,0.033088,0.073857,-0.028221
1.350000,0.037498,0.073654,-0.020680
1.370000,0.033748,0.074745,-0.012804
1.390000,0.027857,0.076378,-0.007740
1.410000,0.031039,0.076867,-0.005335
1.430000,0.032639,0.074421,-0.003752
1.450000,0.029685,0.069420,-0.003949
1.470000,0.014636,0.063583,-0.006104
1.490000,-0.004580,0.059264,-0.009201
1.510000,-0.025295,0.058602,-0.013039
1.530000,-0.041372,0.059294,-0.016271
1.550000,-0.039200,0.056375,-0.013041
1.570000,-0.026648,0.051088,-0.009069
1.590000,-0.018391,0.046691,-0.004998
1.610000,-0.018696,0.044037,-0.000613
1.630000,-0.024592,0.042077,0.002519
1.650000,-0.028418,0.041011,0.005349
1.670000,-0.030827,0.042174,0.007220
1.690000,-0.034308,0.044229,0.008780
1.710000,-0.041784,0.047025,0.009477
1.730000,-0.044796,0.049873,0.008459
1.750000,-0.065296,0.048741,0.009240
1.770000,-0.074088,0.044082,0.010698
1.790000,-0.074908,0.039312,0.012010
1.810000,-0.073930,0.036842,0.012219
1.830000,-0.072348,0.037104,0.012499
1.850000,-0.065153,0.037890,0.015212
1.870000,-0.050317,0.036175,0.018944
1.890000,-0.037847,0.033930,0.023179
1.910000,-0.029160,0.031355,0.027276
1.930000,-0.023671,0.028870,0.031041
1.950000,-0.017836,0.027170,0.034655
1.970000,-0.012816,0.026670,0.036975
1.990000,-0.011486,0.027672,0.038079
2.010000,-0.015793,0.028686,0.038778
2.030000,-0.024860,0.030327,0.036738
2.050000,-0.036681,0.030690,0.032393
2.070000,-0.042970,0.028381,0.031868
2.090000,-0.043277,0.025171,0.031844
2.110000,-0.040752,0.022989,0.031202
2.130000,-0.037901,0.023666,0.029972
2.150000,-0.036307,0.027896,0.029088
2.170000,-0.033759,0.032710,0.029102
2.190000,-0.024397,0.034868,0.034510
2.210000,-0.004840,0.034118,0.041780
2.230000,0.007155,0.033965,0.046502
2.250000,0.014784,0.033700,0.049938
2.270000,0.020477,0.034224,0.051848
2.290000,0.024903,0.034556,0.053036
2.310000,0.025821,0.035845,0.051105
2.330000,0.020548,0.035805,0.046734
2.350000,0.020617,0.033610,0.043557
2.370000,0.022024,0.031022,0.039206
2.390000,0.023456,0.031258,0.032204
2.422000,0.024140,0.036308,0.024288
2.442000,0.027614,0.041824,0.016888
2.462000,0.034970,0.046737,0.014869
2.482000,0.051414,0.048333,0.017095
2.502000,0.060661,0.047450,0.017936
2.522000,0.063098,0.045151,0.020735
2.542000,0.063499,0.042863,0.020769
2.562000,0.062572,0.041851,0.017324
2.582000,0.059656,0.040978,0.012889
2.602000,0.055325,0.039640,0.008269
2.622000,0.045932,0.036657,0.004772
2.642000,0.035018,0.032639,0.001156
2.662000,0.023894,0.029516,-0.002627
2.682000,0.013460,0.028077,-0.006780
2.702000,0.002749,0.028603,-0.012266
2.722000,-0.013011,0.030942,-0.017816
2.742000,-0.025773,0.031746,-0.018723
2.762000,-0.028486,0.030933,-0.014565
2.782000,-0.026620,0.029966,-0.010106
2.802000,-0.026323,0.030958,-0.006254
2.822000,-0.029402,0.033161,-0.002256
2.842000,-0.030216,0.036025,0.002464
2.862000,-0.026415,0.039321,0.007830
2.882000,-0.021573,0.041626,0.010595
2.902000,-0.020663,0.042564,0.012306
2.922000,-0.023343,0.042673,0.012972
2.942000,-0.029869,0.044068,0.012097
2.962000,-0.037832,0.044928,0.010959
2.982000,-0.043391,0.044540,0.010994
3.002000,-0.046835,0.043816,0.011359
3.022000,-0.050530,0.043435,0.010143
3.042000,-0.053796,0.043315,0.008071
3.062000,-0.055654,0.042723,0.006768
3.082000,-0.055797,0.041708,0.006215
3.102000,-0.055292,0.040793,0.005792
3.122000,-0.054070,0.040450,0.005567
3.142000,-0.052197,0.040250,0.005490
3.162000,-0.049481,0.039741,0.005684
3.182000,-0.045340,0.038820,0.006572
3.202000,-0.040614,0.037182,0.008712
3.222000,-0.037234,0.034131,0.013142
3.242000,-0.036851,0.030640,0.021368
3.262000,-0.036154,0.025914,0.031583
3.282000,-0.032393,0.019747,0.040220
3.302000,-0.035453,0.014170,0.044355
3.322000,-0.045559,0.009441,0.043924
3.342000,-0.059421,0.005783,0.041866
3.362000,-0.072638,0.003140,0.040490
3.382000,-0.084289,0.002369,0.040074
3.402000,-0.094366,0.004017,0.039186
3.422000,-0.100991,0.006017,0.040732
3.442000,-0.105349,0.008209,0.042686
3.462000,-0.106530,0.012128,0.043390
3.482000,-0.102593,0.015151,0.045726
3.502000,-0.094938,0.016004,0.050383
3.522000,-0.081049,0.015768,0.055634
3.542000,-0.066922,0.017006,0.059775
3.562000,-0.061002,0.020689,0.058785
3.582000,-0.060810,0.022550,0.058558
3.602000,-0.045020,0.020150,0.062497
3.622000,-0.034727,0.016882,0.060705
3.642000,-0.036633,0.013945,0.057091
3.662000,-0.044446,0.011759,0.052704
3.682000,-0.057267,0.010684,0.044989
3.702000,-0.068766,0.010627,0.038312
3.722000,-0.071709,0.011954,0.031445
3.742000,-0.071026,0.012928,0.026705
3.762000,-0.071012,0.012447,0.020822
3.782000,-0.069576,0.011261,0.014557
3.802000,-0.068301,0.010053,0.008716
3.822000,-0.065011,0.009694,0.004264
3.842000,-0.059763,0.010677,0.002163
3.862000,-0.053106,0.011654,0.000751
3.882000,-0.041218,0.013570,0.000851
3.902000,-0.032258,0.015278,0.001177
3.922000,-0.029048,0.016632,0.000415
3.942000,-0.024670,0.018471,-0.001453
3.962000,-0.023563,0.018516,-0.003024
3.982000,-0.020451,0.017019,-0.003732
4.002000,-0.017706,0.015848,-0.004432
4.022000,-0.018159,0.016882,-0.006962
4.042000,-0.022949,0.020624,-0.011522
4.062000,-0.028502,0.024185,-0.015751
4.082000,-0.018498,0.022941,-0.013881
4.102000,-0.010331,0.020905,-0.010727
4.122000,-0.012208,0.020672,-0.007958
4.142000,-0.016283,0.021406,-0.006345
4.162000,-0.018477,0.023261,-0.005535
4.182000,-0.019130,0.024869,-0.005428
4.202000,-0.024188,0.027639,-0.007819
4.222000,-0.036313,0.026355,-0.008527
4.242000,-0.040550,0.023225,-0.008519
4.262000,-0.046580,0.022009,-0.010932
4.282000,-0.055125,0.024298,-0.015004
4.302000,-0.062648,0.026775,-0.016993
4.322000,-0.057270,0.026093,-0.014518
4.342000,-0.050180,0.024672,-0.011666
4.362000,-0.053913,0.024283,-0.009062
4.382000,-0.064317,0.024406,-0.007458
4.402000,-0.075619,0.025139,-0.006268
