accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.410000,-2.075773,-3.086126,11.202470
0.430000,-2.680309,-2.160767,11.524490
0.450000,-2.795806,-1.633056,11.341326
0.470000,-2.730134,-1.663608,11.093471
0.490000,-2.728050,-2.011104,11.025245
0.510000,-2.680419,-2.108646,10.894869
0.530000,-2.657794,-1.933334,10.793908
0.550000,-2.673776,-1.548205,10.758883
0.570000,-2.652890,-1.154837,10.745893
0.590000,-2.654814,-0.992437,10.640364
0.610000,-2.643421,-0.936699,10.432503
0.630000,-2.675035,-1.003233,10.321961
0.650000,-2.701835,-1.173159,10.167592
0.670000,-2.654709,-1.318612,10.053831
0.690000,-2.672329,-1.360816,10.083937
0.710000,-2.759893,-1.401359,10.146255
0.730000,-2.786296,-1.499543,10.223074
0.750000,-2.763715,-1.485830,10.234163
0.770000,-2.760661,-1.391164,10.249228
0.790000,-2.763757,-1.299449,10.225758
0.810000,-2.765014,-1.348752,10.224384
0.830000,-2.780113,-1.567646,10.289437
0.850000,-2.755394,-1.732566,10.274301
0.870000,-2.714527,-1.788595,10.276450
0.890000,-2.697983,-1.758190,10.298170
0.910000,-2.695480,-1.717929,10.309112
0.930000,-2.683588,-1.743984,10.299925
0.950000,-2.637615,-1.809249,10.253656
0.970000,-2.601883,-1.870169,10.199982
0.990000,-2.594647,-1.937547,10.152527
1.010000,-2.580131,-1.980100,10.116739
1.030000,-2.588979,-1.935163,10.166168
1.050000,-2.614155,-1.908145,10.207752
1.070000,-2.594044,-1.974713,10.185088
1.090000,-2.549054,-2.050593,10.164715
1.110000,-2.545066,-2.081597,10.157367
1.130000,-2.574473,-2.091107,10.183615
1.150000,-2.589608,-2.109895,10.227399
1.170000,-2.594931,-2.062142,10.289202
1.190000,-2.583297,-1.979240,10.312713
1.210000,-2.545802,-1.937578,10.286563
1.230000,-2.501847,-1.955745,10.238591
1.250000,-2.474828,-1.984566,10.189370
1.270000,-2.442704,-1.967066,10.133615
1.290000,-2.422888,-1.900421,10.151377
1.310000,-2.413523,-1.845409,10.155294
1.330000,-2.389445,-1.824882,10.138202
1.350000,-2.373237,-1.815260,10.132370
1.370000,-2.393276,-1.805607,10.148332
1.390000,-2.425127,-1.841621,10.178784
1.410000,-2.429325,-1.915860,10.214853
1.430000,-2.434816,-1.863045,10.290685
1.450000,-2.464693,-1.747864,10.356609
1.470000,-2.476212,-1.711138,10.373500
1.490000,-2.441834,-1.748371,10.341235
1.510000,-2.411190,-1.824611,10.284897
1.530000,-2.392890,-1.913431,10.207752
1.550000,-2.366179,-1.953535,10.152014
1.570000,-2.354928,-1.920026,10.143863
1.590000,-2.355397,-1.870846,10.145305
1.610000,-2.352966,-1.835709,10.146568
1.630000,-2.351204,-1.799359,10.130139
1.650000,-2.367607,-1.805586,10.113468
1.670000,-2.378399,-1.861122,10.117180
1.690000,-2.369621,-1.830840,10.129589
1.710000,-2.366740,-1.730766,10.140667
1.730000,-2.357384,-1.620958,10.143012
1.750000,-2.347139,-1.599051,10.123008
1.770000,-2.350112,-1.684281,10.087032
1.790000,-2.365724,-1.755636,10.122204
1.810000,-2.383712,-1.775286,10.151517
1.830000,-2.390229,-1.819256,10.160197
1.850000,-2.379127,-1.855454,10.142976
1.870000,-2.382700,-1.839520,10.152021
1.890000,-2.411005,-1.801385,10.209145
1.910000,-2.425780,-1.773356,10.252751
1.930000,-2.422688,-1.764153,10.264243
1.950000,-2.410534,-1.739643,10.255877
1.970000,-2.402051,-1.683941,10.235926
1.990000,-2.405368,-1.630727,10.220080
2.010000,-2.412021,-1.607755,10.183475
2.030000,-2.419095,-1.629066,10.168437
2.050000,-2.426018,-1.694879,10.166194
2.070000,-2.437703,-1.821670,10.157255
2.090000,-2.438466,-1.952858,10.141260
2.110000,-2.430113,-2.021301,10.124232
2.130000,-2.432008,-2.008207,10.135599
2.150000,-2.451727,-1.966259,10.180104
2.170000,-2.471638,-1.954795,10.226484
2.190000,-2.482580,-1.973365,10.261461
2.210000,-2.478631,-1.965589,10.271791
2.230000,-2.474819,-1.953761,10.274299
2.250000,-2.472439,-1.992328,10.249795
2.270000,-2.454264,-2.102103,10.175396
2.290000,-2.431634,-2.186583,10.151476
