accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.425000,-0.907402,-9.674969,3.224990
0.445000,-0.926556,-9.623493,3.241749
0.465000,-0.940127,-9.541636,3.246538
0.485000,-0.912180,-9.454453,3.242946
0.505000,-0.906908,-9.399657,3.240311
0.525000,-0.904593,-9.369941,3.249732
0.545000,-0.898146,-9.354582,3.263995
0.565000,-0.894209,-9.353623,3.290885
0.585000,-0.903405,-9.361177,3.320907
0.605000,-0.909324,-9.362397,3.343280
0.625000,-0.905221,-9.374558,3.357876
0.645000,-0.883597,-9.380478,3.349329
0.665000,-0.872667,-9.381220,3.330586
0.685000,-0.862088,-9.371014,3.322623
0.705000,-0.869148,-9.383707,3.335076
0.725000,-0.873667,-9.405991,3.337803
0.745000,-0.871410,-9.421852,3.332517
0.765000,-0.873290,-9.440551,3.330511
0.785000,-0.879670,-9.445276,3.326679
0.805000,-0.882396,-9.439188,3.330859
0.825000,-0.884057,-9.425107,3.329796
0.845000,-0.884139,-9.410850,3.326959
0.865000,-0.889671,-9.383577,3.338583
0.885000,-0.893235,-9.376076,3.346322
0.905000,-0.895740,-9.366621,3.343438
0.925000,-0.897030,-9.355716,3.345450
0.945000,-0.898939,-9.349813,3.355319
0.965000,-0.903044,-9.344247,3.370149
0.985000,-0.909035,-9.336261,3.386775
1.005000,-0.911241,-9.339264,3.394494
1.025000,-0.914243,-9.345416,3.401641
1.045000,-0.916375,-9.352341,3.406960
1.065000,-0.917790,-9.361396,3.406438
1.085000,-0.919050,-9.365988,3.404934
1.105000,-0.916842,-9.365425,3.405907
1.125000,-0.913408,-9.362141,3.406346
1.145000,-0.909568,-9.360310,3.403708
1.165000,-0.905161,-9.356881,3.401015
1.185000,-0.898355,-9.351597,3.398398
1.205000,-0.890049,-9.348064,3.397757
1.225000,-0.880519,-9.341436,3.397748
1.245000,-0.871593,-9.337132,3.401013
1.265000,-0.861345,-9.334882,3.409385
1.285000,-0.849961,-9.333357,3.415323
