gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.325000,-0.031842,0.043567,0.050361
0.345000,-0.038570,0.047164,0.053159
0.365000,-0.047566,0.050717,0.053337
0.385000,-0.049865,0.049695,0.051827
0.405000,-0.049831,0.046497,0.047882
0.425000,-0.048275,0.042208,0.043252
0.445000,-0.047545,0.037200,0.037961
0.465000,-0.048381,0.032657,0.032371
0.485000,-0.048897,0.028751,0.026595
0.505000,-0.048711,0.025438,0.020834
0.525000,-0.048085,0.022095,0.015898
0.545000,-0.047452,0.019208,0.011715
0.565000,-0.046281,0.016826,0.008340
0.585000,-0.045277,0.014909,0.005226
0.605000,-0.044628,0.013408,0.002483
0.625000,-0.044070,0.012624,0.000141
0.645000,-0.043702,0.012105,-0.001846
0.665000,-0.043376,0.011957,-0.003507
0.685000,-0.042662,0.012086,-0.004638
0.705000,-0.041832,0.012228,-0.005373
0.725000,-0.042023,0.012415,-0.006147
0.745000,-0.043017,0.012962,-0.006776
0.765000,-0.043471,0.013548,-0.007111
0.785000,-0.043325,0.013935,-0.007406
0.805000,-0.043313,0.014189,-0.007753
0.825000,-0.043364,0.014290,-0.008130
0.845000,-0.043842,0.014442,-0.008513
0.865000,-0.044410,0.014555,-0.008807
0.885000,-0.044689,0.014716,-0.009033
0.905000,-0.044741,0.014919,-0.009075
0.925000,-0.044867,0.015122,-0.008840
0.945000,-0.045131,0.015468,-0.008654
0.965000,-0.045339,0.015869,-0.008418
0.985000,-0.045605,0.016259,-0.008322
1.005000,-0.046029,0.016684,-0.008316
1.025000,-0.046570,0.017163,-0.008449
1.045000,-0.046683,0.017595,-0.008440
1.065000,-0.046555,0.017938,-0.008322
1.085000,-0.046564,0.018259,-0.008018
1.105000,-0.046710,0.018624,-0.007577
1.125000,-0.046655,0.019044,-0.007125
1.145000,-0.046483,0.019473,-0.007021
1.165000,-0.046315,0.019878,-0.006935
1.185000,-0.046295,0.020192,-0.007176
1.205000,-0.046228,0.020361,-0.007612
1.225000,-0.046309,0.020440,-0.008077
1.245000,-0.046313,0.020433,-0.008522
1.265000,-0.046144,0.020340,-0.008881
1.285000,-0.045969,0.020198,-0.009099
1.305000,-0.045856,0.020119,-0.009082
1.325000,-0.045837,0.020063,-0.008973
1.345000,-0.045749,0.019966,-0.008856
1.365000,-0.045599,0.019860,-0.008788
1.385000,-0.045410,0.019718,-0.008674
1.405000,-0.045377,0.019633,-0.008617
1.425000,-0.045059,0.019425,-0.008601
1.445000,-0.044600,0.019105,-0.008876
1.465000,-0.044226,0.018622,-0.009323
1.485000,-0.043981,0.017923,-0.009907
1.505000,-0.044144,0.017058,-0.010519
1.525000,-0.044240,0.015767,-0.011572
1.545000,-0.043948,0.014207,-0.012835
1.565000,-0.043560,0.012540,-0.014188
1.585000,-0.043323,0.010913,-0.015593
1.605000,-0.043149,0.009360,-0.016859
1.625000,-0.043055,0.007897,-0.017963
1.645000,-0.042722,0.006582,-0.018829
1.665000,-0.042578,0.005403,-0.019573
1.685000,-0.042477,0.004378,-0.020219
1.705000,-0.042157,0.003501,-0.020750
1.725000,-0.041936,0.002856,-0.021280
1.745000,-0.042167,0.002407,-0.021719
1.765000,-0.042607,0.002085,-0.022093
1.785000,-0.043086,0.001912,-0.022466
1.805000,-0.043713,0.002050,-0.022752
1.825000,-0.044508,0.002408,-0.022925
1.845000,-0.045270,0.002738,-0.022828
1.865000,-0.045749,0.002990,-0.022727
1.885000,-0.045727,0.003159,-0.022700
1.905000,-0.045491,0.003336,-0.022893
1.925000,-0.044933,0.003721,-0.022867
1.945000,-0.045038,0.004210,-0.022645
1.965000,-0.045542,0.004644,-0.022554
1.985000,-0.046043,0.004996,-0.022774
2.005000,-0.046352,0.005267,-0.023153
2.025000,-0.046596,0.005554,-0.023537
2.045000,-0.046631,0.005900,-0.023683
2.065000,-0.046713,0.006245,-0.023644
2.085000,-0.047032,0.006589,-0.023494
2.105000,-0.047323,0.006899,-0.023251
2.125000,-0.047345,0.007128,-0.022877
2.145000,-0.047196,0.007296,-0.022463
2.165000,-0.047026,0.007459,-0.022079
2.185000,-0.046913,0.007629,-0.021815
2.205000,-0.046858,0.007737,-0.021681
2.225000,-0.046942,0.007887,-0.021670
2.245000,-0.047224,0.008069,-0.021710
2.265000,-0.047498,0.008271,-0.021766
2.285000,-0.047447,0.008368,-0.021853
2.305000,-0.047274,0.008394,-0.021962
2.367000,-0.047303,0.008448,-0.021956
2.387000,-0.047242,0.008489,-0.022015
2.407000,-0.047063,0.008479,-0.022004
2.427000,-0.047131,0.008483,-0.021909
2.447000,-0.046670,0.008477,-0.021645
2.467000,-0.047147,0.008567,-0.021153
2.487000,-0.047411,0.008748,-0.020841
2.507000,-0.047633,0.008912,-0.020735
2.527000,-0.047988,0.009127,-0.020721
2.547000,-0.048349,0.009471,-0.020686
2.567000,-0.048465,0.009956,-0.020782
2.587000,-0.048492,0.010424,-0.020951
2.607000,-0.048346,0.010839,-0.021100
2.627000,-0.048102,0.011217,-0.021130
2.647000,-0.047859,0.011549,-0.021066
2.667000,-0.047670,0.011837,-0.021029
2.687000,-0.047366,0.012097,-0.021049
2.707000,-0.047102,0.012306,-0.021045
2.727000,-0.046829,0.012422,-0.021027
2.747000,-0.046649,0.012472,-0.021019
