accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.198,-3.588908,7.824251,4.951209
0.218,-3.5925,7.794324,4.916493
0.238,-3.588908,7.777159,4.940845
0.258,-3.563168,7.760789,4.974591
0.278,-3.525664,7.745692,4.993412
0.299,-3.503432,7.732029,5.010759
0.319,-3.487204,7.726038,5.025209
0.339,-3.479237,7.724845,5.036648
0.359,-3.482657,7.724983,5.035931
0.379,-3.486593,7.720777,5.030072
0.399,-3.495493,7.714936,5.023968
0.419,-3.4971,7.721668,5.019683
0.439,-3.49217,7.73457,5.010325
0.459,-3.492584,7.745813,5.004535
0.479,-3.491018,7.75701,5.003849
0.499,-3.486042,7.757173,5.006107
0.519,-3.484763,7.746545,5.014187
0.539,-3.485231,7.731057,5.032081
0.559,-3.485269,7.717302,5.064023
0.579,-3.485785,7.710114,5.099227
0.599,-3.485221,7.721508,5.117867
0.619,-3.48438,7.750757,5.116463
0.639,-3.479014,7.782268,5.104536
0.659,-3.463963,7.809563,5.087055
0.679,-3.452875,7.829638,5.075861
0.699,-3.443271,7.855744,5.074055
0.719,-3.432748,7.894869,5.064632
0.739,-3.42157,7.942235,5.046368
0.759,-3.470459,7.982713,5.039219
0.779,-3.430729,8.006814,5.043203
0.799,-3.456427,8.019345,5.051082
0.819,-3.485819,8.059618,5.058778
0.839,-3.460355,8.080359,5.059762
0.859,-3.426989,8.053441,5.064263
0.879,-3.417414,8.019344,5.085173
0.899,-3.411455,8.01371,5.118063
0.919,-3.378223,8.019071,5.149258
0.939,-3.327286,8.023711,5.176775
0.959,-3.280436,8.023826,5.206808
0.979,-3.224469,8.012728,5.22751
0.999,-3.139191,7.997417,5.239064
1.019,-3.04155,7.998153,5.255172
1.039,-2.952123,8.008811,5.276602
1.059,-2.847623,8.000741,5.283992
1.079,-2.723595,7.969367,5.284873
1.099,-2.607103,7.938405,5.294315
1.119,-2.502938,7.929206,5.315104
1.139,-2.39248,7.938307,5.335837
1.159,-2.275366,7.944695,5.342309
1.179,-2.14913,7.938111,5.341646
1.199,-2.024397,7.926638,5.354439
1.219,-1.921849,7.925551,5.379353
1.239,-1.825398,7.933888,5.400585
1.259,-1.712233,7.939238,5.410211
1.279,-1.584654,7.934044,5.419132
1.299,-1.46675,7.921082,5.440064
1.319,-1.351082,7.90731,5.465994
1.339,-1.235321,7.892188,5.501435
1.359,-1.136983,7.876463,5.535637
1.379,-1.026011,7.867319,5.568703
1.399,-0.879133,7.852373,5.591785
1.419,-0.729318,7.857433,5.620497
1.439,-0.638014,7.883833,5.667332
1.459,-0.540472,7.893431,5.715854
1.479,-0.395375,7.859185,5.757414
1.499,-0.25083,7.786198,5.800162
1.519,-0.127216,7.684691,5.852244
1.539,0.005438,7.57196,5.912787
1.559,0.16355,7.469421,5.978435
1.579,0.330408,7.387516,6.045373
1.599,0.497913,7.320938,6.106082
1.619,0.676998,7.260425,6.156501
1.639,0.859344,7.199024,6.198433
1.659,1.04279,7.137012,6.237177
1.679,1.236476,7.075005,6.277417
1.699,1.43438,7.011001,6.318793
1.719,1.618848,6.944923,6.358181
1.739,1.797574,6.877361,6.390318
1.759,1.990651,6.803975,6.420531
1.779,2.187424,6.719764,6.453507
1.799,2.377835,6.628444,6.483829
1.819,2.570077,6.529778,6.512041
1.839,2.774972,6.421694,6.541171
1.859,2.985744,6.299673,6.567352
1.879,3.192965,6.156253,6.589521
1.899,3.40601,5.998969,6.612738
1.919,3.620828,5.829848,6.639441
1.939,3.823806,5.65238,6.665972
1.959,4.017267,5.477531,6.689768
1.979,4.210373,5.306476,6.713535
1.999,4.397862,5.131224,6.737935
2.019,4.576109,4.949862,6.761514
2.039,4.745335,4.767437,6.781098
2.059,4.90884,4.580724,6.800915
2.079,5.076509,4.392318,6.818506
2.099,5.233876,4.201873,6.83312
2.119,5.377882,4.014826,6.845343
2.139,5.514373,3.831892,6.855081
2.159,5.640364,3.65262,6.862731
2.179,5.754517,3.477857,6.870355
