gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.426,0.006262,-0.161876,0.018786
0.446,0.005263,-0.176198,0.011924
0.466,0.001243,-0.193239,0.00475
0.486,-0.002899,-0.220782,0.003628
0.506,-0.002079,-0.257641,0.006822
0.526,-0.003221,-0.291307,0.006928
0.546,-0.014436,-0.318265,0.007424
0.566,-0.034886,-0.337598,0.012762
0.586,-0.066426,-0.345932,0.029865
0.606,-0.117588,-0.34088,0.061289
0.627,-0.168369,-0.327916,0.105383
0.647,-0.20936,-0.316042,0.156161
0.667,-0.239134,-0.310706,0.20684
0.687,-0.255552,-0.317403,0.254199
0.707,-0.272642,-0.328487,0.298598
0.727,-0.296462,-0.345512,0.33581
0.747,-0.323159,-0.367553,0.365392
0.767,-0.342305,-0.392773,0.389505
0.787,-0.344175,-0.417785,0.405488
0.807,-0.332169,-0.439998,0.415932
0.827,-0.315815,-0.460196,0.424727
0.847,-0.295993,-0.479754,0.421627
0.867,-0.272785,-0.500523,0.417346
0.887,-0.261286,-0.515185,0.411812
0.907,-0.263551,-0.534367,0.39461
0.927,-0.267355,-0.548124,0.381515
0.947,-0.268565,-0.547952,0.369435
0.967,-0.274943,-0.543172,0.35653
0.987,-0.296195,-0.540053,0.342608
1.007,-0.328959,-0.535048,0.32869
1.027,-0.363775,-0.525264,0.316769
1.047,-0.400729,-0.515517,0.306551
1.067,-0.450635,-0.510195,0.299055
1.087,-0.516475,-0.509509,0.294469
1.107,-0.593762,-0.510038,0.293552
1.127,-0.676654,-0.509768,0.296624
1.147,-0.760576,-0.510294,0.302043
1.167,-0.839341,-0.51285,0.308596
1.187,-0.913945,-0.516158,0.318668
1.207,-0.990269,-0.520253,0.330616
1.227,-1.065836,-0.523962,0.343247
1.247,-1.141231,-0.525408,0.359035
1.267,-1.215798,-0.525856,0.377648
1.287,-1.287754,-0.526497,0.397417
1.307,-1.357891,-0.524888,0.419561
1.327,-1.425904,-0.519436,0.444817
1.347,-1.493931,-0.510911,0.472387
1.367,-1.570647,-0.500891,0.501393
1.387,-1.660012,-0.489928,0.530593
1.407,-1.750663,-0.475401,0.560478
1.427,-1.833251,-0.455669,0.594292
1.447,-1.912084,-0.430719,0.634045
1.467,-1.994709,-0.401224,0.680966
1.487,-2.079307,-0.366567,0.731805
1.507,-2.157296,-0.326077,0.79432
1.527,-2.233536,-0.279952,0.871299
1.547,-2.313303,-0.232052,0.960472
1.567,-2.38889,-0.187094,1.05469
1.587,-2.44559,-0.150806,1.157434
1.607,-2.47863,-0.115084,1.271381
1.627,-2.493753,-0.071136,1.382074
1.647,-2.493678,-0.021658,1.480092
1.667,-2.48353,0.026871,1.567484
1.687,-2.473882,0.075044,1.634778
1.707,-2.46835,0.122586,1.677213
1.727,-2.465456,0.164987,1.700432
1.747,-2.459262,0.196071,1.708313
1.767,-2.443031,0.213927,1.702716
1.787,-2.415639,0.222941,1.686117
1.807,-2.379912,0.227802,1.660734
1.827,-2.339421,0.230503,1.627077
1.847,-2.298585,0.231452,1.585546
1.867,-2.261147,0.231331,1.538413
1.887,-2.228766,0.231004,1.487237
1.907,-2.200269,0.230568,1.43344
1.927,-2.171371,0.229762,1.37879
1.947,-2.137404,0.228452,1.324384
1.967,-2.09555,0.226498,1.270532
1.987,-2.044719,0.22404,1.217153
2.007,-1.985702,0.221338,1.163892
2.027,-1.9207,0.218501,1.110438
2.047,-1.852272,0.215762,1.056979
2.067,-1.782637,0.212987,1.003412
