accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.375,-4.455609,-7.484274,1.326388
0.395,-4.447229,-7.273584,1.091756
0.415,-4.446032,-7.177542,0.869184
0.435,-4.432264,-7.208871,0.661102
0.455,-4.440768,-7.31422,0.484489
0.475,-4.464808,-7.406763,0.342519
0.495,-4.528945,-7.507955,0.212651
0.515,-4.640119,-7.665616,0.084652
0.535,-4.779733,-7.829842,-0.024731
0.556,-4.92967,-7.913026,-0.094147
0.576,-5.069054,-7.913008,-0.130171
0.596,-5.194267,-7.829474,-0.132175
0.616,-5.305723,-7.67813,-0.102645
0.636,-5.41172,-7.482947,-0.051957
0.656,-5.532167,-7.274887,0.004175
0.676,-5.682969,-7.079751,0.058094
0.696,-5.865856,-6.909105,0.101146
0.716,-6.0863,-6.769304,0.127028
0.736,-6.339719,-6.659827,0.133567
0.756,-6.60395,-6.562222,0.122953
0.776,-6.855427,-6.459913,0.098079
0.796,-7.078706,-6.358535,0.059107
0.816,-7.269012,-6.298234,-0.000522
0.836,-7.433649,-6.319383,-0.072441
0.856,-7.556974,-6.355572,-0.133216
0.876,-7.622697,-6.340956,-0.178129
0.896,-7.692718,-6.272578,-0.22544
0.916,-7.816831,-6.192084,-0.252878
0.936,-7.866737,-6.111689,-0.272176
0.956,-7.803033,-6.030812,-0.297562
0.976,-7.727553,-5.95595,-0.313797
0.996,-7.694662,-5.893272,-0.318427
1.016,-7.67787,-5.850535,-0.320547
1.036,-7.663285,-5.828205,-0.325131
1.056,-7.660075,-5.812761,-0.328816
1.076,-7.667356,-5.795881,-0.328123
1.096,-7.680913,-5.77297,-0.317469
1.116,-7.697996,-5.7351,-0.293728
1.136,-7.713395,-5.686915,-0.272667
1.156,-7.744568,-5.588367,-0.20441
1.176,-7.793324,-5.639171,-0.109032
1.196,-7.852744,-5.696959,0.135309
1.216,-7.888011,-5.649252,0.476672
1.236,-7.886243,-5.630715,0.730287
1.256,-7.848296,-5.671821,0.819419
1.276,-7.801633,-5.722399,0.825347
1.296,-7.765681,-5.772241,0.811589
1.316,-7.738561,-5.82697,0.803065
1.336,-7.72543,-5.865263,0.798582
1.356,-7.725914,-5.873719,0.78414
1.376,-7.732056,-5.85969,0.762819
1.396,-7.743627,-5.834275,0.749679
1.416,-7.764338,-5.801422,0.754732
1.436,-7.791326,-5.762449,0.781067
1.456,-7.818756,-5.708829,0.822473
1.476,-7.847916,-5.642344,0.871922
1.496,-7.875897,-5.565932,0.922139
1.516,-7.894977,-5.486498,0.962899
1.536,-7.908491,-5.412457,0.988118
1.556,-7.932088,-5.356887,1.006843
1.576,-7.958421,-5.321433,1.024026
1.596,-7.974081,-5.296938,1.03976
1.616,-7.976459,-5.270764,1.052559
1.636,-7.968669,-5.235177,1.059633
1.656,-7.953259,-5.190251,1.063601
1.676,-7.930418,-5.140749,1.064552
1.696,-7.905117,-5.090864,1.063962
1.716,-7.881001,-5.043488,1.060636
1.736,-7.860754,-4.999236,1.056072
1.756,-7.845434,-4.959465,1.050553
1.776,-7.834575,-4.929085,1.043827
