gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.020000,0.128000,0.071000,0.302000
0.040000,0.115000,0.067000,0.318000
0.060000,0.100000,0.072000,0.330000
0.080000,0.067000,0.102000,0.339000
0.100000,0.027000,0.132000,0.343000
0.120000,-0.014000,0.164000,0.356000
0.140000,-0.056000,0.200000,0.381000
0.160000,-0.125000,0.231000,0.444000
0.180000,-0.214000,0.258000,0.473000
0.200000,-0.308000,0.297000,0.520000
0.220000,-0.400000,0.351000,0.588000
0.240000,-0.472000,0.412000,0.654000
0.260000,-0.525000,0.478000,0.727000
0.280000,-0.582000,0.551000,0.803000
0.300000,-0.656000,0.630000,0.874000
0.320000,-0.727000,0.711000,0.950000
0.340000,-0.777000,0.793000,1.031000
0.360000,-0.839000,0.871000,1.102000
0.380000,-0.927000,0.942000,1.168000
0.400000,-1.012000,0.998000,1.237000
0.420000,-1.080000,1.039000,1.308000
0.440000,-1.155000,1.066000,1.368000
0.460000,-1.234000,1.077000,1.426000
0.480000,-1.285000,1.072000,1.486000
0.500000,-1.298000,1.058000,1.543000
0.520000,-1.280000,1.036000,1.594000
0.540000,-1.236000,1.004000,1.640000
0.560000,-1.181000,0.964000,1.678000
0.580000,-1.136000,0.922000,1.701000
0.600000,-1.115000,0.878000,1.709000
0.620000,-1.107000,0.827000,1.708000
0.640000,-1.103000,0.769000,1.698000
0.660000,-1.097000,0.706000,1.680000
0.680000,-1.089000,0.638000,1.655000
0.700000,-1.075000,0.565000,1.627000
0.720000,-1.055000,0.491000,1.596000
0.740000,-1.030000,0.417000,1.562000
0.760000,-1.004000,0.346000,1.525000
0.780000,-0.979000,0.275000,1.485000
0.800000,-0.954000,0.204000,1.444000
0.820000,-0.921000,0.137000,1.406000
0.840000,-0.878000,0.074000,1.370000
0.860000,-0.834000,0.013000,1.335000
0.880000,-0.797000,-0.045000,1.299000
0.900000,-0.770000,-0.098000,1.262000
0.920000,-0.750000,-0.145000,1.225000
0.940000,-0.733000,-0.190000,1.187000
0.960000,-0.720000,-0.235000,1.150000
0.980000,-0.708000,-0.279000,1.113000
1.000000,-0.696000,-0.319000,1.076000
1.020000,-0.679000,-0.357000,1.041000
1.040000,-0.660000,-0.396000,1.007000
1.060000,-0.642000,-0.437000,0.973000
1.080000,-0.625000,-0.473000,0.938000
1.100000,-0.606000,-0.506000,0.904000
1.120000,-0.588000,-0.540000,0.871000
1.140000,-0.573000,-0.577000,0.840000
1.160000,-0.559000,-0.613000,0.809000
1.180000,-0.545000,-0.645000,0.779000
1.200000,-0.527000,-0.674000,0.750000
1.220000,-0.515000,-0.700000,0.722000
1.240000,-0.513000,-0.725000,0.694000
1.260000,-0.519000,-0.747000,0.666000
1.280000,-0.526000,-0.762000,0.639000
1.300000,-0.534000,-0.772000,0.613000
1.320000,-0.543000,-0.775000,0.585000
1.340000,-0.551000,-0.769000,0.554000
1.360000,-0.559000,-0.752000,0.521000
1.380000,-0.574000,-0.727000,0.488000
1.400000,-0.602000,-0.700000,0.460000
1.420000,-0.638000,-0.683000,0.434000
1.440000,-0.676000,-0.667000,0.407000
1.460000,-0.706000,-0.653000,0.371000
1.480000,-0.683000,-0.638000,0.318000
1.500000,-0.624000,-0.549000,0.287000
