gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.412,-2.109983,-1.07451,0.385571
0.432,-2.087267,-1.073244,0.346734
0.452,-2.039905,-1.079307,0.308326
0.472,-1.976172,-1.093735,0.272812
0.492,-1.910128,-1.107154,0.238199
0.512,-1.850561,-1.116732,0.201274
0.532,-1.801236,-1.124761,0.160342
0.552,-1.763167,-1.134467,0.114794
0.572,-1.736558,-1.145494,0.067416
0.592,-1.717637,-1.154339,0.019621
0.612,-1.703378,-1.159782,-0.027605
0.632,-1.695063,-1.158244,-0.072608
0.652,-1.689569,-1.152065,-0.114517
0.672,-1.68149,-1.144127,-0.153734
0.692,-1.666236,-1.134895,-0.190406
0.712,-1.643964,-1.123963,-0.224181
0.732,-1.619664,-1.110001,-0.254323
0.752,-1.595399,-1.093859,-0.281175
0.772,-1.570343,-1.076072,-0.305333
0.792,-1.54259,-1.055847,-0.326126
0.812,-1.512351,-1.030472,-0.343204
0.832,-1.477124,-1.000769,-0.355461
0.852,-1.438953,-0.968056,-0.362704
0.872,-1.398405,-0.932842,-0.364178
0.892,-1.357136,-0.894617,-0.360219
0.912,-1.31291,-0.853943,-0.351653
0.932,-1.2669,-0.812215,-0.342027
0.952,-1.222437,-0.771159,-0.33459
0.972,-1.181036,-0.731422,-0.330564
0.992,-1.142767,-0.692321,-0.329468
1.012,-1.105899,-0.65437,-0.331048
1.032,-1.068588,-0.618408,-0.336758
1.052,-1.025856,-0.585884,-0.348832
1.072,-0.9752,-0.555487,-0.36876
1.092,-0.924401,-0.525757,-0.396445
1.112,-0.879033,-0.499158,-0.430659
1.132,-0.844771,-0.478045,-0.470565
1.152,-0.829289,-0.461337,-0.516058
1.172,-0.830317,-0.446437,-0.566047
1.192,-0.837022,-0.428511,-0.620612
1.212,-0.841473,-0.403653,-0.680746
1.232,-0.844258,-0.37111,-0.746781
1.252,-0.842451,-0.33142,-0.816115
1.272,-0.832524,-0.284126,-0.885841
1.292,-0.807735,-0.229081,-0.953736
1.312,-0.76952,-0.169836,-1.023787
1.332,-0.721226,-0.112912,-1.09615
1.352,-0.669434,-0.05911,-1.169242
1.372,-0.616606,-0.006851,-1.241008
1.392,-0.566723,0.0424,-1.311069
1.412,-0.519343,0.080563,-1.377215
1.432,-0.476309,0.108345,-1.438012
1.452,-0.445455,0.132036,-1.492805
1.472,-0.430563,0.156847,-1.538957
1.492,-0.420386,0.180379,-1.572624
1.512,-0.402303,0.201746,-1.593536
1.532,-0.37678,0.224139,-1.605809
1.552,-0.34341,0.248562,-1.608627
1.572,-0.299788,0.270107,-1.602126
1.592,-0.25049,0.284951,-1.586679
1.612,-0.206915,0.292237,-1.5634
1.632,-0.171643,0.291656,-1.529521
1.652,-0.142712,0.286392,-1.487221
1.672,-0.122549,0.277871,-1.437393
1.692,-0.112069,0.266838,-1.381259
1.712,-0.106061,0.252475,-1.3196
1.732,-0.101371,0.236903,-1.254489
1.752,-0.096131,0.222747,-1.188009
1.772,-0.091746,0.211129,-1.121426
1.792,-0.089061,0.200907,-1.055659
1.812,-0.085627,0.191638,-0.992509
1.832,-0.079569,0.184441,-0.933455
1.852,-0.068899,0.181159,-0.880153
1.872,-0.054324,0.181619,-0.833968
1.892,-0.038997,0.184329,-0.795189
1.912,-0.026585,0.188954,-0.763864
1.932,-0.017344,0.195257,-0.73888
1.952,-0.009195,0.202686,-0.719575
1.972,-0.001539,0.210832,-0.706095
1.992,0.006448,0.218907,-0.697281
2.012,0.015113,0.227105,-0.691311
2.032,0.024662,0.236346,-0.686759
2.052,0.034824,0.246813,-0.684728
2.072,0.048692,0.257209,-0.685996
2.092,0.068112,0.265957,-0.691886
2.112,0.089547,0.272056,-0.704174
2.132,0.110514,0.276433,-0.721644
2.152,0.134244,0.275089,-0.742168
2.172,0.161708,0.241826,-0.758764
2.192,0.182951,0.176151,-0.731617
2.212,0.136048,0.114347,-0.616699
2.232,0.023446,0.064438,-0.457136
2.252,-0.101293,0.004468,-0.304754
2.272,-0.164037,-0.02177,-0.178708
2.292,-0.091648,0.011854,-0.076643
2.312,0.062333,0.078059,-0.010933
2.332,0.229984,0.15965,0.062964
2.352,0.409706,0.228865,0.123421
2.372,0.599284,0.272341,0.135246
2.392,0.755929,0.291232,0.120299
2.49,0.616459,0.31367,0.118851
2.51,0.557265,0.328045,0.117633
2.53,0.573096,0.331024,0.121418
2.55,0.618369,0.330716,0.131663
2.57,0.674608,0.329065,0.153385
2.59,0.734116,0.325989,0.188587
2.61,0.783172,0.323931,0.239289
2.63,0.810938,0.325637,0.304348
2.65,0.813157,0.330328,0.384711
2.67,0.813781,0.342805,0.488834
2.69,0.833414,0.368377,0.620795
2.71,0.840516,0.403388,0.771624
2.73,0.757286,0.387646,0.938158
2.75,0.625808,0.45144,1.082798
2.77,0.426966,0.558943,1.254206
2.79,0.62177,0.509622,0.943702
2.81,0.823119,0.431436,0.60539
2.83,0.710953,0.434068,0.705082
2.85,0.416438,0.436725,0.960971
2.87,0.104258,0.442633,0.893169
2.89,-0.205133,0.372642,0.522786
2.91,-0.113263,0.348784,0.498395
2.93,-0.033386,0.334901,0.59482
2.95,-0.034724,0.351093,0.600608
2.97,-0.042726,0.353488,0.635502
2.99,-0.015749,0.335752,0.626843
3.01,-0.017533,0.308648,0.606016
3.03,-0.042274,0.279342,0.615156
3.05,-0.020463,0.254101,0.614742
3.07,0.038103,0.237004,0.593321
3.09,0.056241,0.227088,0.572712
3.11,0.047598,0.221761,0.558884
3.13,0.035485,0.220372,0.540543
3.15,0.028489,0.220911,0.518562
3.17,0.031882,0.219454,0.498095
3.19,0.042614,0.21253,0.475989
3.21,0.046202,0.203884,0.455319
3.23,0.039954,0.195569,0.435653
3.25,0.030337,0.187992,0.413012
3.27,0.014642,0.18153,0.387353
3.29,-0.010465,0.177031,0.360815
3.31,-0.039256,0.173331,0.332343
3.33,-0.065377,0.169399,0.302865
3.35,-0.086243,0.165532,0.277093
3.37,-0.100838,0.161585,0.25299
3.39,-0.110517,0.157254,0.231507
3.41,-0.118185,0.153556,0.213499
3.43,-0.126054,0.151263,0.199837
3.45,-0.133256,0.149803,0.190251
3.47,-0.13751,0.148741,0.185006
3.49,-0.139038,0.148112,0.182358
3.51,-0.140058,0.14786,0.180722
3.53,-0.142633,0.148042,0.17956
3.55,-0.146802,0.148185,0.177848
3.57,-0.150716,0.147854,0.175229
3.59,-0.151234,0.14682,0.172417
3.61,-0.14666,0.145288,0.170072
3.63,-0.138892,0.143385,0.168206
3.65,-0.129995,0.141041,0.166258
3.67,-0.120107,0.138354,0.164181
3.69,-0.110032,0.135561,0.162075
3.71,-0.100462,0.132938,0.159712
3.73,-0.092106,0.130635,0.15677
3.75,-0.086121,0.128612,0.153194
3.77,-0.082862,0.126734,0.149014
3.79,-0.081617,0.1249,0.144424
3.81,-0.080869,0.123187,0.139855
3.83,-0.080621,0.121612,0.135397
3.85,-0.081308,0.120061,0.13091
3.87,-0.082666,0.118514,0.126547
3.89,-0.084354,0.117082,0.122546
3.91,-0.085718,0.115856,0.119189
3.93,-0.086304,0.114822,0.116423
3.95,-0.08635,0.113861,0.114039
3.97,-0.086287,0.112927,0.111955
3.99,-0.08618,0.111952,0.109853
4.01,-0.0857,0.110927,0.10769
4.03,-0.084967,0.109861,0.105553
4.05,-0.084236,0.108649,0.103341
4.07,-0.083455,0.107404,0.101253
4.09,-0.082372,0.106231,0.099346
4.11,-0.080755,0.105181,0.097637
4.13,-0.079153,0.104156,0.095984
4.15,-0.078171,0.10312,0.094271
4.17,-0.077657,0.102049,0.092497
4.19,-0.077388,0.10099,0.090721
4.21,-0.076868,0.100044,0.089186
4.23,-0.075954,0.099219,0.087832
4.25,-0.07524,0.098402,0.086497
4.27,-0.075108,0.09751,0.084963
4.29,-0.075267,0.096562,0.083332
4.31,-0.075145,0.095665,0.08182
4.33,-0.074561,0.094836,0.080434
4.35,-0.07408,0.09405,0.079095
4.37,-0.073832,0.09324,0.077655
4.39,-0.073546,0.092429,0.076309
4.41,-0.073045,0.091654,0.075036
4.43,-0.072559,0.090901,0.073805
4.45,-0.072202,0.090146,0.072583
4.47,-0.071873,0.089419,0.071373
4.722,-0.070319,0.087711,0.069054
4.742,-0.066895,0.086407,0.067544
4.762,-0.062435,0.085501,0.066793
4.782,-0.057697,0.084844,0.066521
4.802,-0.052274,0.084214,0.066064
4.822,-0.046684,0.083657,0.065592
4.842,-0.041535,0.083237,0.065127
4.862,-0.037015,0.082677,0.06448
4.882,-0.03414,0.08182,0.063495
4.902,-0.033748,0.080768,0.062027
4.922,-0.035175,0.079531,0.059578
4.942,-0.037762,0.078186,0.056502
4.962,-0.040153,0.07673,0.053036
4.982,-0.040913,0.075327,0.049674
5.002,-0.039404,0.073997,0.046806
5.022,-0.035064,0.072865,0.044699
5.042,-0.02937,0.072074,0.043408
5.062,-0.024659,0.071659,0.042733
5.082,-0.022316,0.071439,0.042634
5.102,-0.021768,0.071294,0.042577
5.122,-0.02298,0.071358,0.042628
5.142,-0.025977,0.071335,0.042166
5.162,-0.030169,0.070985,0.041157
5.182,-0.034352,0.070439,0.039894
5.202,-0.03866,0.069859,0.038893
5.222,-0.04306,0.069317,0.038113
5.242,-0.047255,0.068827,0.03719
5.262,-0.05141,0.068473,0.036168
5.282,-0.055179,0.068197,0.035022
5.302,-0.056833,0.067959,0.033944
5.322,-0.053483,0.068465,0.033761
5.342,-0.04824,0.070373,0.035031
5.362,-0.047362,0.071974,0.035748
5.382,-0.050103,0.072071,0.034859
5.402,-0.052475,0.0713,0.033574
5.422,-0.051019,0.070693,0.032819
5.442,-0.046623,0.070822,0.033059
5.462,-0.040478,0.071642,0.033853
5.482,-0.033395,0.073506,0.035268
5.502,-0.024967,0.07482,0.036088
5.522,-0.021473,0.073721,0.034993
5.542,-0.024247,0.072588,0.034108
5.562,-0.029146,0.071792,0.033499
5.582,-0.030464,0.0714,0.033139
5.602,-0.028525,0.071451,0.03345
5.622,-0.024664,0.071941,0.034368
5.642,-0.020796,0.071426,0.034696
5.662,-0.018526,0.071756,0.03603
5.682,-0.018307,0.071654,0.036692
5.702,-0.019645,0.071679,0.037063
5.722,-0.021155,0.07193,0.037436
5.742,-0.022158,0.072117,0.036612
5.762,-0.023933,0.072026,0.037216
5.782,-0.026087,0.071584,0.036692
5.802,-0.026925,0.07111,0.036498
5.822,-0.027089,0.070506,0.036079
5.842,-0.027355,0.069946,0.035824
5.862,-0.027479,0.069414,0.035432
5.882,-0.028064,0.069083,0.034995
5.902,-0.02873,0.068923,0.034516
5.922,-0.029401,0.068844,0.034088
5.942,-0.029393,0.06845,0.03374
5.962,-0.028937,0.067658,0.033042
5.982,-0.029104,0.06698,0.032153
6.002,-0.029782,0.06625,0.030908
6.022,-0.03076,0.065766,0.029909
6.042,-0.031236,0.065628,0.029703
6.062,-0.031112,0.065537,0.029615
6.082,-0.031109,0.06538,0.02919
6.102,-0.031594,0.065062,0.02839
6.122,-0.032357,0.064595,0.027474
6.142,-0.033254,0.064351,0.027127
6.162,-0.034304,0.064172,0.026647
6.182,-0.035801,0.063827,0.025947
6.202,-0.037086,0.063219,0.02512
6.222,-0.037348,0.062385,0.02453
6.242,-0.03698,0.061618,0.024175
6.262,-0.036525,0.060915,0.023792
6.282,-0.035804,0.060265,0.023037
6.302,-0.034903,0.059721,0.022224
6.322,-0.033787,0.059254,0.021545
6.342,-0.03272,0.05883,0.020754
6.362,-0.032196,0.058433,0.019948
6.382,-0.032691,0.05823,0.01888
6.402,-0.032855,0.058173,0.017572
6.422,-0.032096,0.058124,0.016149
6.442,-0.030921,0.058283,0.014835
6.462,-0.030011,0.058469,0.013713
6.482,-0.029782,0.058716,0.012529
6.502,-0.0301,0.05886,0.011258
6.522,-0.030399,0.058998,0.010173
6.542,-0.030013,0.059063,0.009299
6.562,-0.029464,0.059192,0.008586
6.582,-0.029458,0.059338,0.007758
6.602,-0.030169,0.059236,0.006901
6.622,-0.031285,0.058791,0.006075
6.642,-0.032644,0.058051,0.005546
6.662,-0.034422,0.05717,0.005113
6.682,-0.035732,0.056211,0.004695
6.702,-0.036505,0.055249,0.004767
6.807,-0.035965,0.054809,0.005385
6.827,-0.035383,0.054432,0.006016
6.847,-0.034956,0.054053,0.00636
6.867,-0.03473,0.053682,0.00646
6.887,-0.034684,0.05339,0.006538
6.907,-0.034813,0.053016,0.006582
6.927,-0.035,0.052643,0.006671
6.947,-0.035141,0.052277,0.00665
6.967,-0.035506,0.051942,0.00648
6.987,-0.035961,0.051713,0.006254
7.007,-0.036261,0.051524,0.006109
7.027,-0.036543,0.051269,0.006017
7.047,-0.037018,0.050985,0.005914
7.067,-0.037342,0.050703,0.005818
7.087,-0.037267,0.050413,0.005662
7.107,-0.037153,0.050139,0.005503
7.127,-0.03734,0.049834,0.005374
7.147,-0.037667,0.049566,0.005321
7.167,-0.037822,0.049322,0.00536
7.187,-0.03771,0.04913,0.005428
7.207,-0.037618,0.048994,0.005504
7.227,-0.037683,0.048836,0.005603
7.247,-0.037745,0.048697,0.005854
7.267,-0.037766,0.048473,0.006036
7.287,-0.038002,0.048269,0.005891
7.307,-0.038487,0.048172,0.005659
7.327,-0.039112,0.048117,0.005465
7.347,-0.039282,0.047869,0.005245
7.367,-0.038982,0.047523,0.004979
7.387,-0.038596,0.047167,0.00464
7.407,-0.038206,0.046911,0.004256
7.427,-0.037969,0.04692,0.003924
7.447,-0.037542,0.047038,0.003557
7.467,-0.036195,0.047192,0.002931
7.487,-0.033903,0.047499,0.002164
7.507,-0.031043,0.047815,0.001203
7.527,-0.028535,0.048135,0.000124
7.547,-0.026838,0.048399,-0.000918
7.567,-0.025811,0.048534,-0.001632
7.587,-0.025044,0.048648,-0.002102
7.607,-0.024017,0.048792,-0.002454
7.627,-0.022814,0.04903,-0.002748
7.647,-0.021805,0.049401,-0.002889
7.667,-0.020974,0.049689,-0.003069
7.687,-0.020059,0.049786,-0.003246
7.707,-0.019177,0.049795,-0.003284
7.727,-0.018778,0.049719,-0.003315
7.747,-0.018746,0.049649,-0.003342
7.767,-0.019021,0.049551,-0.00343
7.787,-0.019457,0.04943,-0.003521
7.807,-0.0197,0.049265,-0.003567
7.827,-0.019715,0.049079,-0.003597
7.847,-0.019587,0.048869,-0.003686
7.867,-0.0194,0.048615,-0.003726
7.887,-0.019347,0.048391,-0.003756
7.907,-0.019455,0.04818,-0.003849
7.927,-0.019516,0.047974,-0.003941
7.947,-0.019385,0.047765,-0.004053
7.967,-0.019286,0.047513,-0.004218
7.987,-0.019317,0.047276,-0.004449
8.007,-0.019487,0.047062,-0.004624
8.027,-0.019692,0.046871,-0.004664
8.047,-0.019944,0.046675,-0.004707
8.067,-0.020218,0.046475,-0.004779
8.087,-0.020403,0.046255,-0.004841
8.107,-0.020376,0.046006,-0.004881
8.127,-0.020384,0.045807,-0.004933
8.147,-0.020674,0.045657,-0.004988
8.167,-0.021094,0.0455,-0.00501
8.187,-0.021406,0.045277,-0.005118
8.207,-0.021562,0.044983,-0.005278
8.227,-0.021661,0.044735,-0.005393
8.247,-0.021749,0.044545,-0.005423
8.267,-0.02198,0.044362,-0.005486
8.287,-0.022221,0.044128,-0.005612
8.307,-0.022332,0.043856,-0.005713
8.327,-0.022551,0.043626,-0.005808
8.347,-0.022897,0.04344,-0.005893
8.367,-0.023091,0.043247,-0.005928
8.387,-0.02307,0.043025,-0.005932
8.407,-0.023016,0.042799,-0.005995
8.427,-0.023015,0.042589,-0.006085
8.447,-0.023031,0.042423,-0.00607
8.467,-0.023061,0.042272,-0.00605
8.487,-0.02309,0.042116,-0.006142
8.507,-0.023139,0.041953,-0.006248
8.527,-0.023163,0.041757,-0.006343
8.547,-0.023279,0.041581,-0.006435
8.567,-0.023474,0.041446,-0.006484
8.587,-0.023629,0.04129,-0.006546
8.607,-0.023676,0.041103,-0.006672
8.627,-0.023705,0.040914,-0.006755
8.647,-0.023894,0.040813,-0.006802
8.667,-0.024128,0.0407,-0.006897
8.687,-0.02424,0.040536,-0.007001
8.707,-0.024252,0.040337,-0.007087
8.727,-0.024334,0.040184,-0.007166
8.747,-0.024583,0.040069,-0.007193
8.767,-0.02485,0.03994,-0.007277
8.787,-0.024977,0.039761,-0.007367
