accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.015000,0.687500,0.780000,9.462500
0.035000,0.620000,0.787500,9.422500
0.055000,0.545000,0.652500,9.317500
0.075000,0.537500,0.562500,9.162500
0.095000,0.525000,0.560000,8.957500
0.115000,0.450000,0.495000,8.840000
0.135000,0.360000,0.452500,8.762500
0.155000,0.272500,0.352500,8.600000
0.175000,0.295000,0.215000,8.402500
0.195000,0.302500,0.172500,8.160000
0.215000,0.252500,0.232500,7.890000
0.235000,0.157500,0.352500,7.617500
0.255000,0.000000,0.465000,7.360000
0.275000,-0.240000,0.535000,7.135000
0.295000,-0.565000,0.577500,6.937500
0.315000,-0.962500,0.607500,6.747500
0.335000,-1.430000,0.632500,6.550000
0.355000,-1.970000,0.647500,6.340000
0.375000,-2.615000,0.635000,6.110000
0.395000,-3.410000,0.597500,5.867500
0.415000,-4.400000,0.520000,5.630000
0.435000,-5.600000,0.405000,5.427500
0.455000,-6.945000,0.240000,5.277500
0.475000,-8.290000,0.032500,5.190000
0.495000,-9.460000,-0.190000,5.135000
0.515000,-10.337500,-0.405000,5.087500
0.535000,-10.915000,-0.597500,5.040000
0.555000,-11.250000,-0.750000,4.997500
0.575000,-11.427500,-0.855000,4.960000
0.595000,-11.500000,-0.940000,4.925000
0.615000,-11.487500,-1.025000,4.890000
0.635000,-11.390000,-1.127500,4.850000
0.655000,-11.225000,-1.252500,4.805000
0.675000,-11.010000,-1.402500,4.755000
0.695000,-10.762500,-1.577500,4.702500
0.715000,-10.505000,-1.770000,4.655000
0.735000,-10.237500,-1.965000,4.610000
0.755000,-9.967500,-2.145000,4.562500
0.775000,-9.725000,-2.302500,4.527500
0.795000,-9.532500,-2.430000,4.510000
0.815000,-9.392500,-2.527500,4.507500
0.835000,-9.302500,-2.592500,4.512500
0.855000,-9.252500,-2.635000,4.520000
0.875000,-9.232500,-2.672500,4.552500
0.895000,-9.237500,-2.722500,4.615000
0.915000,-9.270000,-2.785000,4.700000
0.935000,-9.315000,-2.865000,4.777500
0.955000,-9.375000,-2.940000,4.860000
0.975000,-9.435000,-2.992500,4.970000
0.995000,-9.487500,-3.095000,5.095000
1.015000,-9.527500,-3.230000,5.207500
1.035000,-9.535000,-3.300000,5.317500
1.055000,-9.492500,-3.287500,5.430000
1.075000,-9.395000,-3.240000,5.527500
1.095000,-9.235000,-3.185000,5.597500
1.115000,-9.015000,-3.122500,5.655000
1.135000,-8.742500,-3.062500,5.687500
1.155000,-8.422500,-3.037500,5.677500
1.175000,-8.040000,-3.017500,5.625000
1.195000,-7.607500,-2.975000,5.535000
1.215000,-7.147500,-2.902500,5.410000
1.235000,-6.702500,-2.822500,5.245000
1.255000,-6.302500,-2.750000,5.067500
1.275000,-5.892500,-2.697500,4.885000
1.295000,-5.385000,-2.687500,4.707500
1.315000,-4.765000,-2.672500,4.555000
1.335000,-4.240000,-2.627500,4.410000
1.355000,-4.250000,-2.575000,4.277500
1.375000,-4.577500,-2.545000,4.110000
1.395000,-4.625000,-2.535000,3.965000
1.415000,-4.472500,-2.462500,3.847500
1.435000,-4.495000,-2.265000,3.882500
1.455000,-4.575000,-2.005000,3.950000
1.475000,-4.812500,-1.930000,3.842500
1.495000,-5.617500,-2.077500,3.557500
1.515000,-6.695000,-2.175000,3.127500
1.535000,-12.220000,-3.027500,6.335000
1.555000,-22.310000,-4.055000,12.790000
1.575000,-12.582500,-3.665000,2.872500
1.595000,17.240000,-2.097500,-15.607500
1.615000,-12.185000,0.812500,-2.032500
1.635000,-11.685000,0.432500,13.537500
1.655000,-6.677500,-2.182500,11.847500
1.675000,-3.800000,-3.402500,10.220000
1.695000,-0.260000,-3.015000,9.202500
1.715000,-0.265000,-2.722500,9.977500
1.735000,-1.870000,-2.557500,10.247500
1.755000,-2.967500,-2.590000,10.107500
1.775000,-2.457500,-2.732500,10.115000
1.795000,-1.512500,-3.087500,10.062500
1.815000,-1.247500,-3.550000,10.057500
1.835000,-1.090000,-3.715000,10.062500
1.855000,-0.777500,-3.330000,10.000000
1.875000,-0.327500,-2.757500,9.902500
1.895000,0.037500,-2.565000,9.847500
1.915000,0.240000,-2.830000,9.910000
1.935000,0.272500,-3.240000,10.007500
1.955000,0.195000,-3.430000,10.027500
1.975000,0.182500,-3.350000,9.967500
1.995000,0.265000,-3.147500,10.030000
2.015000,0.312500,-2.952500,10.165000
2.035000,0.320000,-2.845000,10.252500
2.055000,0.387500,-2.827500,10.277500
2.075000,0.495000,-2.837500,10.277500
2.095000,0.545000,-2.870000,10.270000
2.115000,0.575000,-2.912500,10.267500
2.135000,0.620000,-2.892500,10.270000
2.155000,0.667500,-2.815000,10.285000
2.175000,0.712500,-2.710000,10.297500
2.195000,0.760000,-2.622500,10.297500
2.215000,0.797500,-2.575000,10.307500
2.235000,0.817500,-2.572500,10.320000
2.255000,0.830000,-2.605000,10.322500
2.275000,0.860000,-2.632500,10.320000
2.295000,0.880000,-2.630000,10.322500
2.315000,0.880000,-2.605000,10.335000
2.335000,0.890000,-2.572500,10.347500
2.355000,0.927500,-2.557500,10.360000
2.375000,0.950000,-2.557500,10.375000
2.395000,0.947500,-2.557500,10.380000
2.415000,0.960000,-2.545000,10.385000
2.435000,0.977500,-2.545000,10.392500
2.455000,0.975000,-2.557500,10.402500
2.475000,0.970000,-2.565000,10.405000
2.495000,0.990000,-2.557500,10.400000
2.515000,1.010000,-2.555000,10.410000
2.535000,1.005000,-2.552500,10.422500
2.555000,1.002500,-2.545000,10.437500
2.575000,1.015000,-2.532500,10.440000
2.595000,1.025000,-2.522500,10.442500
2.615000,1.027500,-2.517500,10.447500
2.635000,1.022500,-2.520000,10.457500
2.655000,1.030000,-2.520000,10.460000
2.675000,1.050000,-2.507500,10.457500
2.695000,1.055000,-2.490000,10.462500
2.715000,1.047500,-2.480000,10.470000
2.735000,1.047500,-2.477500,10.480000
2.755000,1.057500,-2.475000,10.482500
2.775000,1.065000,-2.467500,10.482500
2.795000,1.067500,-2.457500,10.487500
2.815000,1.070000,-2.455000,10.492500
2.835000,1.075000,-2.450000,10.495000
2.855000,1.075000,-2.442500,10.500000
2.875000,1.075000,-2.435000,10.505000
2.895000,1.080000,-2.432500,10.507500
2.915000,1.087500,-2.432500,10.507500
