accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.015000,-4.898537,-6.754043,5.125986
0.035000,-5.459977,-7.049727,4.874595
0.055000,-6.257492,-7.087789,4.617536
0.075000,-6.452363,-6.877241,4.292379
0.095000,-6.107670,-6.800599,4.024893
0.115000,-6.086128,-6.805263,3.865089
0.135000,-6.273065,-6.807200,3.759503
0.155000,-6.358708,-6.777847,3.655462
0.175000,-6.334059,-6.705040,3.548694
0.195000,-6.270164,-6.592862,3.448785
0.215000,-6.172413,-6.459586,3.366095
0.235000,-6.043488,-6.355746,3.295128
0.255000,-5.909113,-6.300531,3.240399
0.275000,-5.772938,-6.284994,3.194503
0.295000,-5.623174,-6.293007,3.159236
0.315000,-5.469091,-6.302330,3.132295
0.335000,-5.310916,-6.302723,3.109664
0.355000,-5.154871,-6.321088,3.091885
0.375000,-5.009651,-6.396499,3.079120
0.395000,-4.857453,-6.575016,3.057268
0.415000,-4.692727,-6.890296,3.016592
0.435000,-4.554059,-7.370546,2.947360
0.455000,-4.462502,-8.018414,2.836073
0.475000,-4.415153,-8.797972,2.699731
0.495000,-4.408878,-9.601314,2.570137
0.515000,-4.425929,-10.267928,2.467187
0.535000,-4.460382,-10.698694,2.382629
0.555000,-4.510679,-10.887252,2.303208
0.575000,-4.553144,-10.856107,2.217362
0.595000,-4.551481,-10.656666,2.116438
0.615000,-4.502910,-10.338546,2.001908
0.635000,-4.422109,-9.934516,1.877167
0.655000,-4.323936,-9.463786,1.763259
0.675000,-4.224833,-8.950976,1.673400
0.695000,-4.134184,-8.413630,1.601829
0.715000,-4.053652,-7.839607,1.543527
0.735000,-3.988168,-7.243439,1.496116
0.755000,-3.946892,-6.645840,1.461015
0.775000,-3.953738,-6.125305,1.422785
0.795000,-4.054392,-5.831675,1.340342
0.815000,-4.292803,-5.918768,1.146937
0.835000,-4.687852,-6.445064,0.883626
0.855000,-5.084818,-7.257619,0.677455
0.875000,-5.369819,-7.987744,0.599410
0.895000,-5.602380,-8.552259,0.572977
0.915000,-5.762316,-8.973789,0.545129
0.935000,-5.828150,-9.256890,0.498586
0.955000,-5.815717,-9.467673,0.432302
0.975000,-5.748281,-9.668424,0.357013
0.995000,-5.644377,-9.799860,0.300147
1.015000,-5.507503,-9.805953,0.269612
1.035000,-5.339158,-9.678685,0.258770
1.055000,-5.130878,-9.449465,0.259682
1.075000,-4.881105,-9.141200,0.272777
1.095000,-4.604373,-8.783844,0.290482
1.115000,-4.313859,-8.423257,0.305484
1.135000,-4.032024,-8.149239,0.311917
1.155000,-3.783166,-8.008364,0.306464
1.175000,-3.568435,-7.992414,0.289790
1.195000,-3.361036,-8.066265,0.254566
1.215000,-3.160533,-8.214008,0.204410
1.235000,-2.992181,-8.478861,0.140851
1.255000,-2.921309,-8.961500,0.064556
1.275000,-3.056955,-9.737509,-0.031175
1.295000,-3.372629,-10.731931,-0.130768
1.315000,-3.739782,-11.634229,-0.186388
1.335000,-4.072479,-12.038374,-0.184453
1.355000,-4.328017,-11.873960,-0.150021
1.375000,-4.471897,-11.380013,-0.103630
1.395000,-4.499396,-10.718278,-0.046374
1.415000,-4.482427,-9.985438,0.024630
1.435000,-4.486427,-9.231011,0.113677
1.455000,-4.521166,-8.455761,0.216944
1.475000,-4.571736,-7.644341,0.325625
1.495000,-4.637284,-6.800306,0.433859
1.515000,-4.724990,-5.997701,0.530477
1.535000,-4.838742,-5.306936,0.616662
1.555000,-4.987784,-4.752546,0.704721
1.575000,-5.192448,-4.347904,0.793908
1.595000,-5.462574,-4.139139,0.877411
1.615000,-5.817737,-4.289804,0.971077
1.635000,-6.288376,-4.826014,1.106355
1.655000,-6.741954,-5.611843,1.280386
1.675000,-7.056782,-6.447268,1.465875
1.695000,-7.223446,-7.184502,1.615371
1.715000,-7.229179,-7.797475,1.713914
1.735000,-7.133585,-8.340440,1.780083
1.755000,-7.015270,-8.809907,1.806019
1.775000,-6.868130,-9.200039,1.789117
1.795000,-6.649434,-9.495605,1.767373
1.815000,-6.394666,-9.616627,1.774117
1.835000,-6.142608,-9.573086,1.792775
1.855000,-5.888420,-9.477523,1.810474
1.875000,-5.640775,-9.403604,1.822351
1.895000,-5.404641,-9.320715,1.824650
1.915000,-5.171897,-9.179033,1.817767
1.935000,-4.937533,-9.014332,1.805267
1.955000,-4.681329,-8.976799,1.773139
1.975000,-4.424088,-9.094037,1.735548
1.995000,-4.178542,-9.184134,1.716927
2.097000,-4.102603,-9.059373,1.746980
2.117000,-4.122763,-8.958838,1.763108
2.137000,-4.143248,-8.904399,1.777939
2.157000,-4.128165,-8.902387,1.796279
2.177000,-4.137293,-8.900869,1.817854
2.197000,-4.192722,-8.857339,1.834705
2.217000,-4.271254,-8.786228,1.841483
2.237000,-4.365261,-8.715702,1.843116
2.257000,-4.441663,-8.664886,1.842348
2.277000,-4.486132,-8.640811,1.839888
2.297000,-4.527118,-8.656293,1.824251
2.317000,-4.614262,-8.690543,1.884775
2.337000,-4.695261,-8.694840,1.995779
2.357000,-4.705861,-8.645404,2.136585
2.377000,-4.676682,-8.540058,2.304282
2.397000,-4.634841,-8.525037,2.445776
2.417000,-4.597407,-8.644988,2.523532
2.437000,-4.559876,-8.782005,2.550617
2.457000,-4.525216,-8.829552,2.562618
2.477000,-4.495259,-8.790214,2.591858
2.497000,-4.475276,-8.726760,2.639161
2.517000,-4.460153,-8.664017,2.693245
2.537000,-4.450518,-8.614175,2.745946
2.557000,-4.445282,-8.581316,2.809467
2.577000,-4.448022,-8.544794,2.873902
2.597000,-4.452880,-8.501937,2.889496
2.617000,-4.453267,-8.455894,2.860060
2.637000,-4.454371,-8.398299,2.810812
2.657000,-4.459016,-8.307529,2.747777
2.677000,-4.456942,-8.171514,2.687577
2.697000,-4.466750,-8.002337,2.631080
2.717000,-4.506882,-7.818683,2.573564
2.737000,-4.535825,-7.667730,2.522235
2.757000,-4.541764,-7.568007,2.476869
2.777000,-4.565368,-7.484140,2.425678
2.797000,-4.613960,-7.405102,2.364236
2.817000,-4.696558,-7.360223,2.299294
2.837000,-4.806672,-7.380910,2.226147
2.857000,-4.929163,-7.448293,2.134073
2.877000,-5.049391,-7.527898,2.019974
2.897000,-5.147273,-7.622650,1.908168
2.917000,-5.211728,-7.774076,1.797515
2.937000,-5.254146,-7.978510,1.713778
2.957000,-5.286511,-8.200764,1.685680
2.977000,-5.295131,-8.369440,1.681386
2.997000,-5.270612,-8.451997,1.670690
3.017000,-5.224615,-8.470399,1.657990
3.037000,-5.200928,-8.467113,1.659937
3.057000,-5.250700,-8.465240,1.655241
