gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.015000,-1.131666,-1.620625,0.881058
0.035000,-1.182494,-1.582654,0.888386
0.055000,-1.167430,-1.621839,0.912952
0.075000,-1.180305,-1.722908,0.892049
0.095000,-1.231364,-1.743375,0.865162
0.115000,-1.283348,-1.695822,0.860164
0.135000,-1.339845,-1.652725,0.859241
0.155000,-1.412697,-1.618108,0.855184
0.175000,-1.497235,-1.575295,0.843931
0.195000,-1.586484,-1.522519,0.823178
0.215000,-1.674442,-1.464104,0.797209
0.235000,-1.760374,-1.402559,0.770026
0.255000,-1.836513,-1.341293,0.749201
0.275000,-1.892916,-1.284351,0.736083
0.295000,-1.928990,-1.233819,0.727130
0.315000,-1.949511,-1.190012,0.717518
0.335000,-1.963291,-1.151646,0.702450
0.355000,-1.985939,-1.115486,0.681284
0.375000,-2.029636,-1.081972,0.654390
0.395000,-2.088907,-1.052017,0.623747
0.415000,-2.149716,-1.021878,0.588691
0.435000,-2.190388,-0.988740,0.544720
0.455000,-2.183289,-0.953316,0.487614
0.475000,-2.120502,-0.915506,0.415594
0.495000,-2.009861,-0.877459,0.330619
0.515000,-1.867283,-0.843519,0.235912
0.535000,-1.717442,-0.817364,0.132970
0.555000,-1.579027,-0.800811,0.026282
0.575000,-1.462173,-0.794072,-0.081095
0.595000,-1.371100,-0.793043,-0.185955
0.615000,-1.303412,-0.790434,-0.282281
0.635000,-1.252135,-0.780198,-0.364552
0.655000,-1.208621,-0.759247,-0.429921
0.675000,-1.164878,-0.727884,-0.474138
0.695000,-1.114293,-0.688155,-0.494756
0.715000,-1.055498,-0.643899,-0.490287
0.735000,-0.997183,-0.598108,-0.460924
0.755000,-0.949553,-0.554717,-0.406906
0.775000,-0.919759,-0.518737,-0.327875
0.795000,-0.921146,-0.494155,-0.229400
0.815000,-0.956514,-0.493185,-0.122840
0.835000,-1.002819,-0.527865,-0.014855
0.855000,-1.029898,-0.575960,0.067875
0.875000,-1.040383,-0.611377,0.114537
0.895000,-1.052348,-0.635236,0.142900
0.915000,-1.074448,-0.658293,0.161356
0.935000,-1.107236,-0.685091,0.174897
0.955000,-1.141170,-0.716995,0.184210
0.975000,-1.161203,-0.752705,0.186109
0.995000,-1.156029,-0.790304,0.182189
1.015000,-1.127975,-0.830245,0.175885
1.035000,-1.086774,-0.873145,0.170013
1.055000,-1.042641,-0.918773,0.166187
1.075000,-1.003481,-0.965701,0.164745
1.095000,-0.975395,-1.011625,0.164706
1.115000,-0.963527,-1.054232,0.165180
1.135000,-0.969292,-1.091063,0.162435
1.155000,-0.984152,-1.120442,0.154104
1.175000,-0.994092,-1.144356,0.139321
1.195000,-0.987809,-1.160336,0.117160
1.215000,-0.967982,-1.162936,0.085331
1.235000,-0.943703,-1.150071,0.045132
1.255000,-0.923040,-1.122912,-0.002445
1.275000,-0.897302,-1.086875,-0.055018
1.295000,-0.841699,-1.051565,-0.112359
1.315000,-0.750408,-1.020906,-0.177137
1.335000,-0.630861,-0.996189,-0.244780
1.355000,-0.501968,-0.978674,-0.308445
1.375000,-0.389223,-0.970256,-0.366047
1.395000,-0.313026,-0.963670,-0.416846
1.415000,-0.272673,-0.950980,-0.456345
1.435000,-0.254276,-0.930258,-0.482402
1.455000,-0.240670,-0.905636,-0.493771
1.475000,-0.222796,-0.880724,-0.489915
1.495000,-0.205728,-0.860192,-0.471121
1.515000,-0.195724,-0.848907,-0.436036
1.535000,-0.188124,-0.849777,-0.382232
1.555000,-0.173662,-0.865639,-0.308157
1.575000,-0.153504,-0.899294,-0.213025
1.595000,-0.142163,-0.954068,-0.096105
1.615000,-0.152375,-1.029551,0.042945
1.635000,-0.189011,-1.130233,0.206727
1.655000,-0.255487,-1.236232,0.390884
1.675000,-0.348491,-1.346806,0.566123
1.695000,-0.460730,-1.461082,0.705669
1.715000,-0.572804,-1.578083,0.804341
1.735000,-0.655357,-1.695916,0.874183
1.755000,-0.700664,-1.804911,0.921229
1.775000,-0.712843,-1.906968,0.955061
1.795000,-0.688063,-1.998852,0.988352
1.815000,-0.645097,-2.074561,1.014122
1.835000,-0.612207,-2.132411,1.024082
1.855000,-0.600540,-2.173139,1.019790
1.875000,-0.607488,-2.197210,1.003559
1.895000,-0.629890,-2.207925,0.977522
1.915000,-0.673622,-2.208650,0.942916
1.935000,-0.743600,-2.202055,0.900474
1.955000,-0.821128,-2.185980,0.853686
1.975000,-0.860295,-2.160661,0.810586
1.995000,-0.842651,-2.128074,0.773944
2.097000,-0.878070,-2.062588,0.747032
2.117000,-0.913956,-1.994635,0.726072
2.137000,-0.941141,-1.928035,0.715001
2.157000,-0.949559,-1.861277,0.711871
2.177000,-0.930154,-1.791593,0.712996
2.197000,-0.893414,-1.719051,0.715696
2.217000,-0.858413,-1.642885,0.716768
2.237000,-0.838527,-1.562691,0.713157
2.257000,-0.833464,-1.478963,0.705503
2.277000,-0.828892,-1.388743,0.695714
2.297000,-0.807538,-1.290545,0.684402
2.317000,-0.755428,-1.217852,0.674606
2.337000,-0.671836,-1.156039,0.670184
2.357000,-0.581328,-1.097632,0.667759
