accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.68,-9.141062,-4.446033,1.764527
0.7,-9.010578,-4.380192,1.689109
0.72,-8.889458,-4.343049,1.594443
0.74,-8.743468,-4.348452,1.524232
0.76,-8.594345,-4.345459,1.463796
0.78,-8.483716,-4.319891,1.402196
0.8,-8.403552,-4.280698,1.358152
0.82,-8.3416,-4.257265,1.337813
0.84,-8.275501,-4.236355,1.328734
0.86,-8.231194,-4.247824,1.346154
0.88,-8.21287,-4.304121,1.376463
0.9,-8.192526,-4.36882,1.416906
0.92,-8.136583,-4.429481,1.454016
0.94,-8.031335,-4.469087,1.474198
0.96,-7.902739,-4.50445,1.480435
0.98,-7.770517,-4.560135,1.475189
1,-7.640359,-4.623968,1.46827
1.02,-7.509295,-4.695103,1.459684
1.04,-7.39547,-4.770918,1.459083
1.06,-7.309992,-4.835962,1.470873
1.08,-7.249554,-4.879998,1.501566
1.1,-7.205735,-4.903085,1.547346
1.12,-7.178733,-4.901176,1.604867
1.14,-7.171128,-4.881963,1.648923
1.16,-7.189173,-4.861639,1.673322
1.18,-7.249218,-4.879346,1.681137
1.2,-7.351743,-4.969599,1.670319
1.22,-7.46609,-5.12099,1.633193
1.24,-7.585269,-5.296844,1.573036
1.26,-7.744823,-5.456048,1.505649
1.28,-7.987798,-5.615153,1.445388
1.3,-8.332723,-5.801576,1.403246
1.32,-8.709409,-5.992612,1.375822
1.34,-9.018783,-6.121668,1.361651
1.36,-9.199246,-6.154756,1.354075
1.38,-9.250309,-6.107529,1.356441
1.4,-9.19275,-5.997846,1.364287
1.42,-9.053723,-5.851796,1.373535
1.44,-8.857977,-5.699254,1.377985
1.46,-8.63972,-5.558844,1.376534
1.48,-8.422297,-5.431942,1.370703
1.5,-8.206245,-5.300537,1.359353
1.52,-7.981776,-5.151172,1.343733
1.54,-7.75299,-4.991668,1.332865
1.56,-7.546349,-4.838938,1.330541
1.58,-7.376401,-4.693912,1.332785
1.6,-7.226569,-4.541636,1.339618
1.62,-7.111905,-4.381744,1.341664
1.64,-7.0781,-4.231326,1.328588
1.66,-7.134182,-4.143194,1.298606
1.68,-7.236401,-4.172794,1.24436
1.7,-7.406235,-4.41176,1.178268
1.72,-7.694982,-4.84725,1.119499
1.74,-7.975298,-5.425575,1.092453
1.76,-8.057108,-6.030133,1.084389
1.78,-8.024368,-6.379261,1.09473
1.8,-8.02287,-6.46479,1.154741
1.82,-8.013117,-6.440396,1.254851
1.84,-7.936841,-6.484838,1.355307
1.86,-7.781797,-6.639351,1.42411
1.88,-7.54843,-6.848246,1.464657
1.9,-7.229121,-7.016734,1.49193
1.92,-6.840654,-7.065223,1.527586
1.94,-6.410211,-7.009953,1.574023
1.96,-5.960586,-6.908244,1.623569
1.98,-5.519976,-6.818544,1.669737
2,-5.128677,-6.788613,1.69758
2.02,-4.852657,-6.856445,1.712648
2.04,-4.833817,-7.089064,1.766288
2.06,-5.202837,-7.617972,1.822959
2.08,-5.959099,-8.322291,1.873946
2.1,-6.950609,-8.835704,1.898
2.12,-8.109896,-8.930101,1.894
2.14,-9.273327,-8.700895,1.855553
2.16,-9.908343,-8.381873,1.782779
2.18,-9.960685,-8.09951,1.700535
2.2,-9.942825,-7.908211,1.637555
2.22,-10.08458,-7.835463,1.614449
2.24,-10.14831,-7.857228,1.61481
2.26,-10.03553,-7.907916,1.62133
2.28,-9.880789,-7.907803,1.624584
2.3,-9.72347,-7.792141,1.62613
2.32,-9.525495,-7.548863,1.614029
2.34,-9.284119,-7.17894,1.61363
2.36,-9.022135,-6.640372,1.616467
2.38,-8.696897,-5.840341,1.610609
2.4,-8.280858,-4.841249,1.608117
2.42,-7.845417,-3.930144,1.608679
2.44,-7.521497,-3.294506,1.618123
2.46,-7.425982,-3.045808,1.602062
2.48,-7.423591,-3.311837,1.525925
2.5,-7.383525,-4.249893,1.401435
2.52,-7.626844,-6.026423,1.29427
2.54,-7.9766,-7.687133,1.293286
2.56,-7.833236,-8.367013,1.357847
2.58,-7.637161,-8.325448,1.429102
2.6,-7.559427,-7.950414,1.482838
2.62,-7.532401,-7.239339,1.568421
2.64,-7.469539,-6.440838,1.697024
2.66,-7.29268,-5.679531,1.841098
4.481,-7.201061,-6.402073,1.84203
4.501,-7.060299,-6.790333,1.868842
4.521,-6.884232,-6.916971,1.913248
4.541,-6.711657,-6.846928,1.965603
