gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.22,-0.088599,0.510942,1.24398
1.24,-0.033241,0.456983,1.197682
1.26,-0.036869,0.411675,1.129363
1.28,-0.081329,0.375402,1.062487
1.3,-0.146928,0.344572,1.00062
1.32,-0.220053,0.31826,0.947278
1.34,-0.287438,0.295253,0.904125
1.36,-0.341721,0.275385,0.871776
1.38,-0.381377,0.258299,0.84881
1.4,-0.409638,0.240185,0.834369
1.42,-0.432882,0.218028,0.827881
1.44,-0.46028,0.190069,0.826608
1.46,-0.498525,0.159345,0.829248
1.48,-0.55468,0.128852,0.840591
1.5,-0.634494,0.095025,0.858677
1.52,-0.742733,0.049514,0.873116
1.54,-0.875217,0.00064,0.880581
1.56,-1.010751,-0.041515,0.875495
1.58,-1.116284,-0.075485,0.85496
1.6,-1.178909,-0.108278,0.819051
1.62,-1.180762,-0.139782,0.775533
1.64,-1.133634,-0.175607,0.737919
1.66,-1.080361,-0.215855,0.712178
1.68,-1.075598,-0.257092,0.701688
1.7,-1.126724,-0.2996,0.697296
1.72,-1.200456,-0.344734,0.67619
1.74,-1.271756,-0.388324,0.624243
1.76,-1.320728,-0.420244,0.55267
1.78,-1.357061,-0.439904,0.475663
1.8,-1.394593,-0.451851,0.400115
1.82,-1.441532,-0.459481,0.326549
1.84,-1.489148,-0.461758,0.256036
1.86,-1.524019,-0.458496,0.186277
1.88,-1.53772,-0.449522,0.116273
1.9,-1.529846,-0.435779,0.047318
1.92,-1.504226,-0.417699,-0.02048
1.94,-1.466847,-0.394533,-0.089471
1.96,-1.422048,-0.366843,-0.162633
1.98,-1.362766,-0.337377,-0.239498
2,-1.28735,-0.306418,-0.324558
2.02,-1.200114,-0.273373,-0.422074
2.04,-1.105494,-0.23604,-0.530891
2.06,-1.021805,-0.190513,-0.651799
2.08,-0.966704,-0.137317,-0.77437
2.1,-0.91868,-0.094273,-0.856126
2.12,-0.844896,-0.096745,-0.941848
2.14,-0.768107,-0.103465,-1.049367
2.16,-0.705326,-0.106438,-1.163877
2.18,-0.651991,-0.109168,-1.277316
2.2,-0.610986,-0.110656,-1.3715
2.22,-0.580229,-0.108356,-1.430637
2.24,-0.546261,-0.102901,-1.4547
2.26,-0.504076,-0.094356,-1.449085
2.28,-0.454756,-0.084897,-1.415872
2.3,-0.400691,-0.076783,-1.359751
2.32,-0.348588,-0.071575,-1.285156
2.34,-0.297382,-0.071094,-1.193634
2.36,-0.247092,-0.075396,-1.092539
2.38,-0.200975,-0.086257,-0.985183
2.4,-0.166418,-0.107275,-0.870065
2.42,-0.15527,-0.141748,-0.739511
2.44,-0.183944,-0.18766,-0.585879
2.46,-0.278302,-0.247605,-0.412373
2.48,-0.441503,-0.33587,-0.226386
2.5,-0.614644,-0.454469,-0.039074
2.52,-0.795559,-0.565691,0.063091
2.54,-0.981729,-0.66741,0.089418
2.56,-0.988709,-0.748246,0.109388
2.58,-0.938882,-0.82579,0.120893
2.6,-0.917782,-0.909779,0.134416
2.62,-0.938961,-1.001781,0.140207
2.64,-0.98826,-1.099308,0.131214
2.66,-1.065431,-1.194217,0.110401
2.68,-1.137691,-1.283739,0.08717
2.7,-1.173695,-1.355408,0.06216
2.72,-1.164005,-1.404876,0.036472
2.74,-1.124086,-1.432799,0.010409
2.76,-1.070621,-1.442929,-0.020107
2.78,-1.011484,-1.439102,-0.056777
2.8,-0.958074,-1.423919,-0.100923
2.82,-0.931993,-1.401218,-0.158107
2.84,-0.952157,-1.370066,-0.233754
2.86,-1.008355,-1.321848,-0.31859
2.88,-1.049172,-1.248758,-0.399962
2.9,-1.017028,-1.172183,-0.513428
2.92,-0.924137,-1.102933,-0.666615
2.94,-0.813788,-1.030225,-0.83965
2.96,-0.702498,-0.956776,-1.004771
2.98,-0.591424,-0.884998,-1.142492
3,-0.474521,-0.812674,-1.238356
3.02,-0.335543,-0.737688,-1.285818
3.04,-0.160655,-0.665642,-1.28963
3.06,0.041927,-0.610904,-1.26315
3.08,0.233495,-0.578868,-1.208837
3.1,0.358986,-0.577477,-1.126359
3.12,0.376055,-0.604287,-1.030794
3.14,0.296574,-0.650719,-0.925257
3.16,0.172766,-0.707297,-0.811919
3.18,0.05321,-0.777281,-0.695241
3.2,-0.03456,-0.867922,-0.578565
3.386,-0.207198,-0.954115,-0.514804
3.406,-0.355524,-1.042024,-0.451908
3.426,-0.448207,-1.128661,-0.388328
3.446,-0.493101,-1.206794,-0.324499
3.466,-0.511713,-1.269864,-0.263167
3.486,-0.524254,-1.31634,-0.213508
3.506,-0.523343,-1.350198,-0.179767
3.526,-0.505982,-1.371707,-0.167827
3.546,-0.482568,-1.382038,-0.175994
3.566,-0.470865,-1.381955,-0.200883
3.586,-0.475082,-1.376573,-0.238731
3.606,-0.503338,-1.367801,-0.294244
3.626,-0.561533,-1.349621,-0.369568
3.646,-0.640345,-1.308528,-0.455535
3.666,-0.668135,-1.246066,-0.557858
3.686,-0.637248,-1.171052,-0.703598
3.706,-0.557708,-1.091488,-0.879699
3.726,-0.429523,-1.009872,-1.060369
3.746,-0.274782,-0.929367,-1.243066
3.766,-0.136545,-0.856964,-1.404451
3.786,-0.053108,-0.782754,-1.523667
3.806,-0.008292,-0.69412,-1.582793
3.826,0.045883,-0.593876,-1.577583
3.846,0.136366,-0.495912,-1.515381
3.866,0.249151,-0.411287,-1.406945
3.886,0.349651,-0.347045,-1.260628
3.906,0.397417,-0.306155,-1.079606
3.926,0.377247,-0.286821,-0.866263
3.946,0.312903,-0.288677,-0.632783
3.966,0.228418,-0.309393,-0.393093
3.986,0.14914,-0.346516,-0.146473
4.006,0.093547,-0.397548,0.11463
4.026,0.044546,-0.449571,0.390546
4.046,-0.053922,-0.499922,0.643027
4.066,-0.184879,-0.584658,0.876627
4.086,-0.344443,-0.698083,1.027299
4.106,-0.544384,-0.785075,1.033512
4.126,-0.686997,-0.84845,0.976763
4.146,-0.741858,-0.89218,0.904711
4.166,-0.748368,-0.922025,0.84198
4.186,-0.72701,-0.944778,0.799226
4.206,-0.688461,-0.966039,0.771619
4.226,-0.649203,-0.986603,0.75416
4.246,-0.619438,-1.003923,0.743807
4.266,-0.611694,-1.014454,0.732991
4.286,-0.618536,-1.011963,0.722267
4.306,-0.63034,-0.99389,0.705028
4.326,-0.635015,-0.96425,0.678355
4.346,-0.62281,-0.927764,0.642049
4.366,-0.592449,-0.882301,0.595354
4.386,-0.547512,-0.824273,0.536736
4.406,-0.49115,-0.751713,0.46792
4.426,-0.422456,-0.665891,0.39012
4.446,-0.354802,-0.566947,0.297681
4.466,-0.31055,-0.452937,0.188088
4.486,-0.288607,-0.327462,0.091492
4.506,-0.256885,-0.200773,0.027042
4.526,-0.191835,-0.128744,-0.057474
4.546,-0.080555,-0.089482,-0.191636
4.566,0.058142,-0.049759,-0.353368
4.586,0.183226,-0.013591,-0.512243
4.606,0.245768,0.022679,-0.658538
4.626,0.245104,0.072329,-0.770154
4.646,0.212494,0.139715,-0.830431
4.666,0.183265,0.218612,-0.845381
4.686,0.180172,0.298571,-0.82091
4.706,0.198533,0.375742,-0.763915
4.726,0.224785,0.450129,-0.681962
4.746,0.252176,0.518048,-0.577549
4.766,0.273109,0.574395,-0.451328
4.786,0.276822,0.618533,-0.31334
4.806,0.270393,0.648426,-0.16237
4.826,0.268519,0.660282,0.011948
4.846,0.265691,0.665126,0.202951
4.866,0.263465,0.665038,0.411663
4.886,0.279362,0.63124,0.66864
4.906,0.302584,0.553777,0.926302
4.926,0.25868,0.496143,1.153218
4.946,0.138759,0.451669,1.29819
4.966,-0.018109,0.419535,1.360297
4.986,-0.187503,0.391389,1.373189
5.006,-0.316656,0.353261,1.379778
5.026,-0.382578,0.297005,1.396634
5.046,-0.389484,0.224121,1.408167
5.066,-0.359085,0.145012,1.409254
5.086,-0.31426,0.073277,1.386062
5.106,-0.272189,0.015861,1.337115
5.126,-0.239757,-0.028603,1.264052
5.146,-0.213878,-0.058549,1.161491
5.166,-0.183957,-0.066563,1.024027
5.186,-0.144256,-0.051568,0.845671
5.206,-0.093086,-0.014744,0.627999
5.226,-0.031786,0.035128,0.376429
5.246,0.026758,0.089759,0.105814
5.266,0.092219,0.151133,-0.109154
5.286,0.150109,0.207161,-0.307265
5.306,0.215256,0.255623,-0.541641
5.326,0.279299,0.269341,-0.808202
5.346,0.292023,0.274847,-1.089382
5.366,0.251135,0.31269,-1.352086
5.461,0.355425,0.413707,-1.304592
5.481,0.432635,0.50122,-1.191436
5.501,0.458809,0.579113,-1.026246
5.521,0.435962,0.647224,-0.832144
5.541,0.385835,0.700968,-0.627452
5.561,0.330589,0.736765,-0.410188
5.581,0.267268,0.756479,-0.185997
5.601,0.1702,0.768768,0.015411
5.621,-0.001414,0.762825,0.195016
5.641,-0.196142,0.686408,0.405651
5.661,-0.41011,0.570554,0.549339
5.681,-0.632321,0.456492,0.599133
5.701,-0.817723,0.361579,0.609006
5.721,-0.890708,0.286075,0.5983
5.741,-0.840119,0.232211,0.586916
5.761,-0.718725,0.193533,0.578123
5.781,-0.568087,0.163322,0.569809
5.801,-0.417432,0.142232,0.558598
5.821,-0.273586,0.133676,0.543674
5.841,-0.150468,0.136327,0.519415
