gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.151000,0.196250,-0.041835,-0.193585
0.171000,-0.081737,-0.034907,-0.171402
0.191000,-0.302046,-0.033752,-0.164801
0.211000,-0.412508,-0.031841,-0.157767
0.231000,-0.434456,-0.021285,-0.142737
0.251000,-0.426473,-0.003675,-0.131881
0.271000,-0.421402,0.015984,-0.125059
0.291000,-0.398943,0.034839,-0.119993
0.311000,-0.341506,0.052454,-0.113865
0.331000,-0.265728,0.067599,-0.108224
0.351000,-0.206339,0.080536,-0.100496
0.371000,-0.159681,0.092061,-0.093534
0.391000,-0.108296,0.102740,-0.086406
0.411000,-0.050658,0.108517,-0.075541
0.431000,0.006624,0.113462,-0.062545
0.451000,0.056143,0.117298,-0.049139
0.471000,0.093511,0.118934,-0.037262
0.491000,0.123975,0.117654,-0.028316
0.511000,0.151005,0.112499,-0.018919
0.531000,0.168455,0.106143,-0.011781
0.551000,0.180216,0.100282,-0.006369
0.571000,0.190207,0.094133,-0.001111
0.591000,0.201013,0.088494,0.003893
0.611000,0.214402,0.083034,0.009190
0.631000,0.233076,0.078721,0.014419
0.651000,0.251633,0.073786,0.019235
0.671000,0.267438,0.068109,0.024144
0.691000,0.277838,0.061649,0.027833
0.711000,0.271615,0.053745,0.030091
0.731000,0.253914,0.044513,0.034100
0.751000,0.231883,0.034046,0.035613
0.771000,0.201033,0.023924,0.032370
0.791000,0.167844,0.013078,0.030970
0.811000,0.138077,0.003232,0.028857
0.831000,0.110131,-0.004063,0.024610
0.851000,0.084297,-0.009665,0.019785
0.871000,0.069497,-0.013881,0.016437
0.891000,0.067912,-0.017755,0.015410
0.911000,0.071684,-0.021568,0.015357
0.931000,0.071875,-0.025286,0.014215
0.951000,0.067034,-0.028459,0.011621
0.971000,0.061370,-0.030880,0.008547
0.991000,0.059996,-0.032392,0.006255
1.011000,0.062816,-0.033335,0.004806
1.031000,0.066176,-0.033929,0.002906
1.051000,0.066303,-0.034201,0.000220
1.071000,0.063280,-0.033928,-0.003300
1.091000,0.061465,-0.033072,-0.006436
1.111000,0.065114,-0.032156,-0.008701
1.131000,0.073162,-0.030499,-0.009398
1.151000,0.082349,-0.028943,-0.010274
1.171000,0.089650,-0.027380,-0.011456
1.191000,0.094953,-0.026957,-0.012793
1.211000,0.098486,-0.027613,-0.013611
1.231000,0.106942,-0.028612,-0.012807
1.251000,0.120677,-0.029426,-0.010558
1.271000,0.132519,-0.030206,-0.008099
1.291000,0.132505,-0.031147,-0.007602
1.311000,0.120423,-0.032688,-0.008596
1.331000,0.101455,-0.034513,-0.011034
1.351000,0.079147,-0.036975,-0.013360
1.371000,0.056818,-0.039966,-0.016276
1.391000,0.033861,-0.043784,-0.020553
1.411000,0.012540,-0.047543,-0.023330
1.431000,0.003262,-0.049395,-0.023722
1.451000,0.005935,-0.050859,-0.022589
1.471000,0.009590,-0.052060,-0.021039
1.491000,0.008170,-0.053809,-0.019702
1.511000,0.003337,-0.056065,-0.018399
1.531000,0.002366,-0.057762,-0.016467
1.551000,0.006444,-0.058835,-0.014589
1.571000,0.010165,-0.059636,-0.012803
1.591000,0.010601,-0.060201,-0.011213
1.611000,0.009393,-0.060169,-0.009942
1.631000,0.008352,-0.059294,-0.008979
1.651000,0.006260,-0.058125,-0.008465
1.671000,0.003006,-0.057234,-0.008356
1.691000,0.001194,-0.056826,-0.007927
1.711000,0.005161,-0.056247,-0.006842
1.731000,0.010900,-0.055393,-0.005963
1.751000,0.012511,-0.054391,-0.005740
1.771000,0.009575,-0.053585,-0.005991
1.791000,0.007630,-0.052698,-0.005784
1.811000,0.010532,-0.051524,-0.005086
1.831000,0.013610,-0.050171,-0.004321
1.851000,0.010999,-0.047052,-0.005839
1.871000,0.005058,-0.042940,-0.007258
1.891000,0.001229,-0.038646,-0.008718
1.911000,0.000578,-0.035205,-0.009737
1.931000,-0.001828,-0.032343,-0.010802
1.951000,-0.006680,-0.030604,-0.011357
1.971000,-0.009407,-0.029337,-0.011322
1.991000,-0.009331,-0.028313,-0.011172
2.011000,-0.008394,-0.027331,-0.011210
2.031000,-0.008578,-0.026480,-0.011158
2.051000,-0.009267,-0.026074,-0.010845
2.071000,-0.009865,-0.025892,-0.010229
2.091000,-0.009820,-0.025950,-0.009473
2.111000,-0.010537,-0.026499,-0.008786
2.131000,-0.013385,-0.027411,-0.008339
2.188000,-0.011437,-0.028599,-0.007721
2.208000,-0.011445,-0.029586,-0.007110
2.228000,-0.013765,-0.030502,-0.006859
2.248000,-0.015330,-0.031279,-0.006673
2.268000,-0.012715,-0.031567,-0.006263
2.288000,-0.008483,-0.031450,-0.005914
2.308000,-0.007764,-0.031144,-0.005700
2.328000,-0.010192,-0.030687,-0.005908
2.348000,-0.011840,-0.030067,-0.006158
2.368000,-0.011125,-0.029429,-0.006391
