accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.045000,3.426103,-8.987833,-2.513912
0.065000,3.406949,-9.580399,-2.819172
0.085000,3.467618,-9.922002,-3.094456
0.105000,3.658052,-10.050595,-3.297806
0.125000,3.736751,-9.889199,-3.353948
0.145000,3.732017,-9.679008,-3.315149
0.165000,3.751412,-9.501842,-3.242766
0.185000,3.793105,-9.362395,-3.177505
0.205000,3.851639,-9.272984,-3.134325
0.225000,3.893720,-9.212638,-3.094680
0.245000,3.897193,-9.163680,-3.055363
0.265000,3.905146,-9.120735,-3.017496
0.285000,3.904756,-9.083168,-2.978266
0.305000,3.894360,-9.040298,-2.939339
0.325000,3.905443,-8.998002,-2.902280
0.345000,3.921670,-8.966401,-2.872778
0.365000,3.927258,-8.948398,-2.849825
0.385000,3.922616,-8.928524,-2.838298
0.405000,3.916032,-8.904940,-2.831550
0.425000,3.906945,-8.889575,-2.823007
0.445000,3.899767,-8.876077,-2.810558
0.465000,3.893687,-8.861654,-2.802762
0.485000,3.882304,-8.851380,-2.794902
0.505000,3.871147,-8.842939,-2.782835
0.525000,3.862247,-8.837221,-2.778716
0.545000,3.853368,-8.831862,-2.774636
0.565000,3.847871,-8.829630,-2.771788
0.585000,3.845138,-8.828646,-2.769149
0.605000,3.842173,-8.826343,-2.767469
0.625000,3.839081,-8.824284,-2.770209
0.645000,3.838012,-8.820579,-2.774449
0.665000,3.835324,-8.814993,-2.776402
0.685000,3.829528,-8.807317,-2.771993
0.705000,3.823855,-8.805497,-2.768431
0.725000,3.821738,-8.814267,-2.779686
0.745000,3.820422,-8.814931,-2.791993
0.765000,3.813066,-8.796195,-2.786449
0.785000,3.804338,-8.768866,-2.770743
0.805000,3.798197,-8.757067,-2.763259
0.825000,3.795821,-8.762650,-2.767273
0.845000,3.792417,-8.767205,-2.766916
0.865000,3.789176,-8.761674,-2.762928
0.885000,3.786260,-8.764319,-2.762284
0.905000,3.784715,-8.770036,-2.761842
0.925000,3.779939,-8.771911,-2.761588
0.945000,3.776661,-8.770809,-2.762163
0.965000,3.773893,-8.772910,-2.763832
0.985000,3.769742,-8.770451,-2.766212
1.005000,3.762054,-8.760124,-2.764045
1.025000,3.753663,-8.749269,-2.754003
1.045000,3.748523,-8.746931,-2.748122
1.065000,3.746853,-8.748345,-2.752733
1.085000,3.746713,-8.747862,-2.762216
