accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.792,-6.189012,-7.762002,1.474828
0.812,-6.22253,-7.736863,1.631649
0.832,-6.402975,-7.631882,1.756811
0.852,-6.922228,-7.634491,1.934905
0.872,-7.55769,-7.730114,2.131554
0.892,-8.081552,-7.808513,2.271358
0.912,-8.455933,-7.787656,2.320029
0.932,-8.73711,-7.66571,2.320023
0.952,-8.923153,-7.497167,2.303207
0.972,-8.988681,-7.329356,2.281502
0.992,-8.968019,-7.169815,2.252243
1.012,-8.920134,-7.010844,2.216473
1.032,-8.86639,-6.874027,2.169803
1.052,-8.824784,-6.757051,2.107061
1.072,-8.81733,-6.655551,2.032978
1.092,-8.855798,-6.57208,1.949046
1.112,-8.929883,-6.497875,1.859602
1.132,-9.034753,-6.415268,1.767539
1.152,-9.149614,-6.307921,1.682298
1.172,-9.235394,-6.16953,1.610927
1.192,-9.276944,-6.002282,1.555876
1.212,-9.27154,-5.813824,1.509882
1.232,-9.228097,-5.616836,1.47185
1.252,-9.165085,-5.433545,1.435721
1.272,-9.09669,-5.285832,1.39719
1.292,-9.026834,-5.170183,1.354831
1.312,-8.95257,-5.083659,1.313594
1.332,-8.87456,-5.013231,1.27403
1.352,-8.786963,-4.947865,1.236907
1.372,-8.692657,-4.882277,1.20666
1.392,-8.597406,-4.810441,1.185522
1.412,-8.496561,-4.73401,1.174828
1.432,-8.39638,-4.655638,1.171769
1.452,-8.297701,-4.576256,1.173912
1.472,-8.207988,-4.504102,1.182474
1.492,-8.140947,-4.449966,1.199535
1.512,-8.100245,-4.418002,1.225088
1.532,-8.097375,-4.393847,1.250758
1.552,-8.155598,-4.381819,1.271454
1.572,-8.239935,-4.379294,1.285081
1.592,-8.311122,-4.3771,1.296786
1.612,-8.384186,-4.383583,1.310863
1.632,-8.461101,-4.412533,1.328899
1.652,-8.537545,-4.46901,1.351291
1.672,-8.59264,-4.552199,1.375511
1.692,-8.611641,-4.65068,1.396032
1.712,-8.602921,-4.739048,1.412081
1.732,-8.572986,-4.786365,1.427679
1.752,-8.531926,-4.792178,1.445751
1.772,-8.498917,-4.776989,1.463897
1.792,-8.486238,-4.754377,1.480154
1.812,-8.490875,-4.732662,1.491631
1.832,-8.510961,-4.715233,1.495157
1.852,-8.541681,-4.699549,1.488701
1.872,-8.560045,-4.682508,1.470985
1.892,-8.545657,-4.661755,1.444057
1.912,-8.498196,-4.639997,1.413691
1.932,-8.425243,-4.624389,1.381369
1.952,-8.339357,-4.620811,1.348224
1.972,-8.249309,-4.630117,1.314312
1.992,-8.160031,-4.648764,1.279086
2.012,-8.077192,-4.673218,1.244897
2.032,-8.00647,-4.697691,1.213821
2.052,-7.949894,-4.71326,1.187548
2.072,-7.904153,-4.721859,1.170503
2.092,-7.869786,-4.728007,1.163422
