gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.363,-0.278986,-0.201046,-0.064484
1.383,-0.285581,-0.194384,-0.053692
1.403,-0.292,-0.184301,-0.040319
1.423,-0.294177,-0.172989,-0.022023
1.443,-0.289884,-0.160191,0.000456
1.463,-0.279484,-0.148601,0.025153
1.483,-0.266399,-0.137888,0.050008
1.503,-0.25426,-0.128927,0.073508
1.523,-0.246727,-0.122073,0.094709
1.543,-0.24599,-0.117436,0.11296
1.563,-0.253698,-0.115464,0.127512
1.583,-0.269168,-0.116532,0.138219
1.603,-0.290855,-0.120338,0.145085
1.623,-0.317252,-0.126097,0.14833
1.643,-0.347305,-0.133076,0.148947
1.663,-0.38064,-0.14012,0.148683
1.683,-0.415584,-0.147165,0.14971
1.703,-0.449717,-0.153625,0.153399
1.723,-0.480849,-0.159563,0.159647
1.743,-0.508036,-0.163638,0.167059
1.763,-0.530167,-0.164325,0.173978
1.783,-0.545159,-0.161256,0.179795
1.803,-0.551191,-0.154896,0.185092
1.823,-0.54672,-0.145854,0.190605
1.843,-0.532626,-0.135947,0.197158
1.863,-0.513561,-0.126661,0.20518
1.883,-0.495021,-0.119008,0.214558
1.903,-0.480458,-0.11341,0.225015
1.923,-0.469807,-0.110265,0.236461
1.943,-0.461808,-0.109169,0.248166
1.963,-0.455743,-0.109772,0.259345
1.983,-0.451303,-0.111609,0.269186
2.003,-0.448447,-0.113412,0.277319
2.023,-0.446293,-0.114934,0.283887
2.043,-0.443758,-0.116023,0.289272
2.063,-0.440376,-0.116447,0.293549
2.083,-0.43567,-0.116232,0.296272
2.103,-0.429688,-0.115345,0.296775
2.123,-0.423107,-0.113248,0.294551
2.143,-0.416294,-0.109668,0.289613
2.163,-0.408962,-0.104715,0.282544
2.183,-0.400549,-0.098683,0.274011
2.203,-0.391394,-0.092057,0.264404
2.223,-0.382751,-0.0851,0.253716
2.243,-0.375226,-0.077971,0.24195
2.263,-0.368349,-0.070835,0.229102
2.283,-0.361079,-0.063886,0.215226
2.303,-0.352868,-0.057248,0.200392
2.323,-0.343833,-0.051088,0.184757
2.343,-0.334117,-0.045573,0.1689
2.363,-0.324388,-0.040819,0.154138
2.383,-0.314512,-0.037974,0.141999
2.403,-0.303058,-0.037977,0.132688
2.423,-0.289708,-0.040971,0.123402
2.443,-0.276349,-0.046266,0.109862
2.463,-0.266868,-0.051851,0.088029
2.483,-0.26255,-0.056626,0.055916
2.503,-0.262709,-0.06046,0.012958
2.523,-0.266723,-0.063139,-0.040691
2.543,-0.271589,-0.064829,-0.103518
2.563,-0.275596,-0.065619,-0.173788
2.583,-0.278055,-0.065647,-0.2482
2.603,-0.278661,-0.065166,-0.32185
2.623,-0.277439,-0.06442,-0.387958
2.643,-0.273753,-0.063983,-0.438468
2.663,-0.267817,-0.064438,-0.468754
2.683,-0.260475,-0.065949,-0.477634
2.703,-0.253354,-0.06841,-0.468195
2.723,-0.24723,-0.071384,-0.445798
2.743,-0.242983,-0.07414,-0.416097
2.763,-0.241105,-0.076147,-0.382485
2.783,-0.240187,-0.077103,-0.346931
2.803,-0.238418,-0.077034,-0.310416
2.823,-0.235127,-0.076028,-0.273196
2.843,-0.230657,-0.074135,-0.234977
2.863,-0.226111,-0.071615,-0.195335
2.883,-0.222405,-0.068822,-0.153882
2.903,-0.220361,-0.066168,-0.109951
2.923,-0.220137,-0.063874,-0.063508
2.943,-0.221722,-0.062119,-0.014274
2.963,-0.224874,-0.061006,0.03762
2.983,-0.229401,-0.060534,0.091684
3.003,-0.235155,-0.060687,0.146982
3.023,-0.241743,-0.061477,0.202573
3.043,-0.248686,-0.062915,0.257371
3.063,-0.255828,-0.065042,0.310458
3.083,-0.263247,-0.068156,0.36093
3.103,-0.271553,-0.072618,0.407597
3.123,-0.282147,-0.078415,0.448861
3.143,-0.298197,-0.08467,0.485709
3.163,-0.321401,-0.093252,0.51748
3.183,-0.352277,-0.104,0.542981
3.203,-0.392668,-0.114602,0.554511
3.223,-0.441574,-0.124232,0.550688
3.243,-0.493822,-0.131604,0.535329
3.263,-0.539765,-0.136528,0.511111
3.283,-0.56665,-0.139397,0.482081
3.303,-0.565807,-0.14079,0.448958
3.323,-0.542955,-0.1415,0.410354
3.343,-0.510163,-0.141745,0.366274
3.955,-0.471874,-0.141225,0.377983
3.975,-0.436161,-0.143523,0.374324
3.995,-0.410478,-0.146046,0.349931
4.015,-0.398096,-0.147175,0.303
4.035,-0.398247,-0.146006,0.234143
4.055,-0.406948,-0.142828,0.147162
4.075,-0.419628,-0.138039,0.047391
4.095,-0.430974,-0.1316,-0.057726
4.115,-0.436863,-0.123838,-0.158758
4.135,-0.434473,-0.115089,-0.244489
4.155,-0.421482,-0.105971,-0.303135
4.175,-0.39633,-0.097677,-0.327242
4.195,-0.358949,-0.090895,-0.316733
4.215,-0.311581,-0.086232,-0.278484
4.235,-0.25708,-0.083787,-0.222669
4.255,-0.198494,-0.083107,-0.159347
4.275,-0.141379,-0.083792,-0.097017
4.295,-0.094366,-0.08493,-0.044232
4.315,-0.065847,-0.085572,-0.006905
4.335,-0.060309,-0.085189,0.0114
4.355,-0.076184,-0.083335,0.011185
4.375,-0.105025,-0.079791,-0.002637
4.395,-0.1389,-0.074697,-0.02435
4.415,-0.171183,-0.068377,-0.04817
4.435,-0.196342,-0.061479,-0.06934
4.455,-0.211297,-0.054681,-0.08462
4.475,-0.216359,-0.048506,-0.092405
4.495,-0.216013,-0.043124,-0.092676
4.515,-0.213389,-0.038653,-0.086029
4.535,-0.210804,-0.035512,-0.073089
4.555,-0.211216,-0.033855,-0.054243
4.575,-0.216485,-0.034044,-0.02973
4.595,-0.22817,-0.036332,0.000024
4.615,-0.248893,-0.04043,0.035543
4.635,-0.281015,-0.046324,0.080137
4.655,-0.325358,-0.055411,0.136352
4.675,-0.384452,-0.068574,0.203992
4.695,-0.462915,-0.084838,0.279465
4.715,-0.565656,-0.102687,0.35246
4.735,-0.685337,-0.120905,0.414625
4.755,-0.813209,-0.138475,0.460305
4.775,-0.923111,-0.153266,0.485225
4.795,-0.986057,-0.164042,0.489229
4.815,-0.995577,-0.171591,0.474197
4.835,-0.975998,-0.177262,0.44203
4.855,-0.949464,-0.181955,0.396357
4.875,-0.929186,-0.186857,0.341233
4.895,-0.923779,-0.193401,0.280659
4.915,-0.936806,-0.201914,0.218099
4.935,-0.968846,-0.212292,0.155789
4.955,-1.014506,-0.223625,0.09707
4.975,-1.066337,-0.234684,0.044863
4.995,-1.119833,-0.244222,-0.000671
5.015,-1.165965,-0.25175,-0.036544
5.035,-1.194227,-0.257476,-0.061234
5.055,-1.198668,-0.261574,-0.074789
5.075,-1.181367,-0.264029,-0.077915
5.095,-1.151754,-0.264743,-0.072607
5.115,-1.117641,-0.263456,-0.060154
5.135,-1.080834,-0.260086,-0.040376
5.155,-1.041231,-0.254784,-0.013063
5.175,-0.99902,-0.247752,0.022061
5.195,-0.954827,-0.239265,0.064563
5.215,-0.909279,-0.229713,0.112752
5.235,-0.862215,-0.219507,0.164138
5.255,-0.812795,-0.208982,0.215998
5.275,-0.760816,-0.198411,0.265583
5.295,-0.707259,-0.187976,0.31036
5.315,-0.655499,-0.177557,0.347866
5.335,-0.608782,-0.167208,0.376388
5.355,-0.569541,-0.157065,0.394688
5.375,-0.539235,-0.147,0.402882
5.395,-0.516242,-0.136759,0.402169
5.415,-0.495578,-0.126372,0.394829
5.435,-0.4748,-0.116072,0.382798
5.455,-0.453787,-0.106063,0.367608
5.475,-0.432565,-0.096327,0.350356
5.495,-0.409842,-0.087178,0.331911
5.515,-0.384403,-0.079194,0.312696
5.535,-0.356099,-0.072924,0.292569
5.555,-0.325291,-0.068038,0.271515
5.575,-0.292144,-0.064842,0.249056
5.595,-0.257104,-0.063981,0.225343
5.615,-0.223749,-0.063543,0.202846
5.635,-0.189142,-0.065239,0.184081
5.655,-0.150101,-0.072716,0.167827
5.675,-0.113599,-0.084502,0.149931
5.695,-0.085095,-0.098854,0.126315
5.715,-0.068944,-0.114831,0.091374
5.735,-0.067459,-0.132216,0.043422
5.755,-0.079455,-0.14911,-0.020936
5.775,-0.102532,-0.16338,-0.104382
5.795,-0.133833,-0.173022,-0.207249
5.815,-0.166068,-0.177137,-0.326227
5.835,-0.189125,-0.176631,-0.453431
5.855,-0.194094,-0.173139,-0.576721
5.875,-0.177687,-0.168724,-0.683591
5.895,-0.14125,-0.165539,-0.763523
5.915,-0.091948,-0.165117,-0.812857
5.935,-0.038233,-0.167516,-0.833576
6.926,-0.003436,-0.152831,-0.789355
6.946,0.028858,-0.137332,-0.742636
6.966,0.057999,-0.121031,-0.693555
6.986,0.085558,-0.104086,-0.642799
7.006,0.117053,-0.086807,-0.589953
7.026,0.151242,-0.069555,-0.538134
7.046,0.181856,-0.052767,-0.490467
7.066,0.212318,-0.037525,-0.446391
7.086,0.249057,-0.024393,-0.40083
7.106,0.290887,-0.015445,-0.349781
7.126,0.336979,-0.011783,-0.291651
7.146,0.386811,-0.014997,-0.229875
7.166,0.43331,-0.02269,-0.175385
7.186,0.462693,-0.033611,-0.139449
7.206,0.470142,-0.046112,-0.130261
7.226,0.453892,-0.057925,-0.14967
7.246,0.414738,-0.06754,-0.197129
7.266,0.356969,-0.074165,-0.267678
7.286,0.285475,-0.077148,-0.357203
7.306,0.210744,-0.075737,-0.457564
7.326,0.146615,-0.070407,-0.557971
7.346,0.106007,-0.062353,-0.646794
7.366,0.097629,-0.053432,-0.714038
7.386,0.120739,-0.045327,-0.754582
7.406,0.166813,-0.038973,-0.768874
7.426,0.226591,-0.034633,-0.76224
7.446,0.289741,-0.031989,-0.743456
7.466,0.343035,-0.030604,-0.720114
7.486,0.375682,-0.029608,-0.696583
7.506,0.381786,-0.028009,-0.675443
7.526,0.364161,-0.025136,-0.657196
7.546,0.333999,-0.020852,-0.639582
7.566,0.302061,-0.015359,-0.62002
7.586,0.276223,-0.008671,-0.59672
7.606,0.261415,-0.001141,-0.568588
7.626,0.257407,0.006654,-0.535441
7.646,0.259424,0.014486,-0.497812
7.666,0.263972,0.021886,-0.456608
7.686,0.268257,0.028432,-0.412883
7.706,0.269725,0.034074,-0.367652
7.726,0.266753,0.038751,-0.321724
7.746,0.258596,0.042394,-0.27535
7.766,0.245298,0.044995,-0.228572
7.786,0.22783,0.046113,-0.181355
7.806,0.206863,0.045576,-0.134172
7.826,0.18038,0.044267,-0.08511
7.846,0.146437,0.042201,-0.031805
7.866,0.107058,0.03765,0.026797
7.886,0.062771,0.030559,0.089186
7.906,0.01168,0.022561,0.147459
