gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.564,-0.09566,0.052493,0.071545
0.584,-0.081671,0.041302,0.077541
0.604,-0.070473,0.031571,0.081316
0.624,-0.067473,0.021637,0.081005
0.644,-0.074745,0.01175,0.075061
0.664,-0.08133,0.002439,0.069673
0.684,-0.082219,-0.003623,0.065994
0.704,-0.079829,-0.006932,0.060063
0.724,-0.074468,-0.009593,0.053472
0.744,-0.067515,-0.011347,0.047967
0.764,-0.064157,-0.01238,0.043509
0.784,-0.065212,-0.014143,0.037904
0.804,-0.067155,-0.015202,0.03197
0.824,-0.06613,-0.015498,0.026149
0.844,-0.058826,-0.015058,0.020192
0.864,-0.046154,-0.013401,0.016375
0.884,-0.035708,-0.010687,0.013023
0.904,-0.029686,-0.007877,0.00945
0.924,-0.024506,-0.005475,0.006224
0.944,-0.019522,-0.003117,0.003469
0.964,-0.016413,-0.001315,0.0019
0.984,-0.01653,-0.000313,0.002207
1.004,-0.019257,0.000145,0.003111
1.024,-0.021933,0.00001,0.003193
1.044,-0.022809,-0.000361,0.002246
1.064,-0.021716,-0.000513,0.001392
1.084,-0.021013,-0.000394,0.00146
1.104,-0.022462,-0.000706,0.002355
1.124,-0.025845,-0.001271,0.002996
1.144,-0.028275,-0.001685,0.002899
1.164,-0.029198,-0.001678,0.002725
1.184,-0.029771,-0.000886,0.00255
1.204,-0.029694,0.001073,0.00216
1.224,-0.026592,0.003719,0.002255
1.244,-0.020588,0.006138,0.002622
1.264,-0.015022,0.008223,0.003122
1.284,-0.014754,0.008994,0.003453
1.304,-0.01895,0.006412,0.000569
1.324,-0.021499,0.003332,-0.006404
1.344,-0.019366,0.00113,-0.011491
1.364,-0.017876,0.000956,-0.013617
1.384,-0.020441,0.002421,-0.012915
1.404,-0.024929,0.004528,-0.010673
1.424,-0.029707,0.006675,-0.007494
1.444,-0.033626,0.008545,-0.00466
1.464,-0.036011,0.009656,-0.00221
1.484,-0.037068,0.010486,-0.000395
1.504,-0.037714,0.011012,-0.000622
1.524,-0.037763,0.012375,-0.000571
1.544,-0.037377,0.014148,0.000077
1.564,-0.036824,0.01614,-0.00081
1.584,-0.034542,0.018899,-0.003626
1.604,-0.031086,0.02115,-0.005329
1.624,-0.029793,0.022677,-0.006843
1.644,-0.030792,0.023576,-0.008193
1.664,-0.03324,0.024304,-0.008957
1.684,-0.036568,0.025353,-0.009759
1.704,-0.040028,0.027062,-0.011136
1.724,-0.041383,0.029376,-0.012924
1.744,-0.038989,0.032508,-0.014181
1.764,-0.034797,0.036095,-0.017064
1.784,-0.029815,0.037176,-0.019683
1.804,-0.026637,0.03504,-0.023903
1.824,-0.027605,0.032037,-0.027458
1.844,-0.03297,0.029834,-0.030933
1.864,-0.039309,0.029252,-0.032328
1.884,-0.040961,0.030389,-0.031222
1.904,-0.037508,0.032649,-0.028406
