accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.016000,0.356736,-2.408567,10.831368
0.036000,-0.208296,-2.730587,10.542868
0.056000,0.049111,-2.952229,10.336554
0.076000,0.102100,-3.113346,10.145149
0.096000,-0.151453,-3.170351,9.954912
0.116000,-0.269031,-3.042215,9.841129
0.136000,-0.256998,-2.932717,9.802191
0.156000,-0.283488,-2.836075,9.859625
0.176000,-0.307005,-2.765455,9.952415
0.196000,-0.279091,-2.718098,10.036673
0.216000,-0.255845,-2.707034,10.100117
0.236000,-0.228961,-2.715733,10.136226
0.256000,-0.178341,-2.725527,10.153699
0.276000,-0.111816,-2.738111,10.154772
0.296000,-0.026959,-2.751124,10.147764
0.316000,0.049254,-2.768638,10.161154
0.336000,0.101448,-2.791900,10.172067
0.356000,0.155257,-2.835203,10.181607
0.376000,0.195585,-2.911460,10.187129
0.396000,0.215354,-3.019485,10.211746
0.416000,0.235497,-3.097255,10.235584
0.436000,0.249910,-3.128168,10.263391
0.456000,0.262464,-3.155112,10.285141
0.476000,0.276707,-3.176942,10.268035
0.496000,0.263009,-3.177262,10.270173
0.516000,0.243887,-3.178055,10.281686
0.536000,0.229623,-3.170148,10.294382
0.556000,0.217139,-3.147677,10.299883
0.576000,0.201104,-3.136871,10.297369
0.596000,0.189675,-3.146027,10.288837
0.616000,0.178006,-3.149542,10.281754
0.636000,0.154982,-3.128288,10.282742
0.656000,0.127967,-3.107826,10.288306
0.676000,0.106911,-3.104597,10.291543
0.696000,0.090998,-3.098661,10.297673
0.716000,0.075609,-3.078820,10.307645
0.736000,0.060559,-3.056343,10.312662
0.756000,0.046931,-3.045995,10.312639
0.776000,0.034893,-3.053267,10.310167
0.796000,0.024991,-3.064502,10.311782
0.816000,0.016171,-3.056916,10.320484
0.836000,0.008041,-3.049016,10.331717
0.856000,0.008266,-3.055123,10.335576
0.876000,0.013774,-3.066636,10.333743
0.896000,0.019729,-3.077695,10.332612
0.916000,0.025815,-3.084698,10.335483
0.936000,0.032588,-3.098334,10.336349
0.956000,0.036308,-3.121511,10.332185
0.976000,0.041054,-3.139922,10.334219
0.996000,0.045230,-3.154362,10.335867
1.016000,0.051932,-3.158745,10.334282
1.036000,0.058420,-3.153468,10.332323
1.056000,0.060952,-3.155556,10.329299
1.076000,0.059604,-3.164569,10.323631
1.096000,0.056674,-3.173939,10.318762
1.116000,0.051917,-3.179142,10.314968
1.136000,0.046219,-3.179101,10.312998
1.156000,0.040264,-3.176914,10.313894
1.176000,0.032671,-3.177560,10.317078
1.196000,0.023644,-3.173904,10.316647
1.216000,0.013678,-3.167145,10.315026
1.236000,0.002677,-3.165189,10.316933
1.256000,-0.007956,-3.169306,10.325535
1.276000,-0.014482,-3.167796,10.334929
1.296000,-0.018516,-3.162433,10.344698
1.316000,-0.017707,-3.157851,10.349964
1.336000,-0.015473,-3.164192,10.347968
