accel_time_list,accel_x_list,accel_y_list,accel_z_list
0.762,6.497863,-6.449979,-3.799598
0.782,6.490681,-6.481104,-3.78643
0.802,6.515423,-6.468329,-3.807582
0.822,6.528399,-6.449365,-3.81936
0.842,6.528996,-6.456678,-3.834575
0.862,6.5258,-6.482728,-3.832334
0.882,6.527625,-6.515751,-3.833473
0.902,6.535883,-6.532137,-3.843915
0.922,6.538312,-6.548626,-3.842447
0.942,6.547209,-6.554116,-3.854703
0.962,6.559726,-6.542187,-3.85339
0.982,6.564362,-6.525619,-3.844695
1.002,6.554055,-6.526623,-3.842878
1.022,6.543839,-6.527999,-3.832912
1.042,6.540115,-6.524851,-3.816413
1.062,6.53791,-6.524508,-3.817012
1.082,6.532142,-6.531295,-3.832278
1.102,6.519786,-6.533712,-3.833129
1.122,6.501728,-6.514293,-3.820299
1.142,6.485436,-6.500155,-3.817319
1.162,6.478409,-6.495657,-3.824067
1.182,6.473897,-6.504028,-3.831634
1.202,6.468722,-6.52614,-3.843605
1.222,6.467828,-6.541708,-3.854089
1.242,6.467395,-6.543145,-3.862092
1.262,6.462886,-6.53864,-3.870514
1.282,6.455831,-6.532568,-3.875699
1.302,6.450839,-6.525445,-3.880251
1.322,6.449885,-6.515854,-3.879014
1.342,6.447292,-6.505583,-3.873954
1.362,6.442353,-6.497868,-3.87127
1.382,6.438712,-6.492556,-3.869671
1.402,6.437803,-6.48936,-3.870688
1.422,6.43867,-6.490198,-3.873799
1.442,6.440809,-6.492394,-3.883157
1.462,6.444386,-6.4983,-3.894394
1.482,6.447507,-6.503756,-3.900334
1.502,6.448409,-6.506065,-3.903633
1.522,6.45114,-6.507051,-3.903604
1.542,6.455812,-6.508913,-3.904254
1.562,6.459543,-6.509478,-3.904811
1.582,6.460242,-6.511132,-3.903877
1.602,6.459031,-6.512707,-3.902188
1.622,6.457542,-6.510846,-3.899402
1.642,6.455249,-6.505997,-3.895702
1.662,6.449916,-6.496522,-3.893928
1.682,6.444176,-6.496024,-3.894431
1.702,6.442354,-6.506958,-3.902299
1.722,6.444772,-6.525561,-3.909209
1.742,6.443894,-6.535621,-3.909863
1.762,6.440978,-6.534743,-3.914034
1.782,6.441204,-6.537968,-3.915331
1.802,6.442256,-6.541022,-3.916811
1.822,6.439714,-6.542001,-3.915758
1.842,6.43574,-6.540744,-3.915194
1.862,6.432169,-6.541152,-3.917039
1.882,6.429371,-6.54106,-3.918602
1.902,6.42428,-6.536246,-3.918017
1.922,6.416496,-6.528601,-3.917955
1.942,6.407537,-6.527259,-3.918722
1.962,6.401789,-6.533712,-3.923726
1.982,6.397711,-6.54422,-3.927136
2.002,6.39356,-6.546996,-3.925626
2.022,6.387846,-6.544027,-3.921365
2.042,6.381094,-6.543624,-3.917153
2.062,6.375718,-6.550071,-3.915031
2.082,6.370645,-6.558171,-3.914202
2.102,6.365154,-6.564055,-3.913583
2.122,6.357892,-6.568808,-3.911533
2.142,6.351146,-6.571991,-3.910256
2.162,6.345551,-6.578758,-3.911059
2.182,6.339387,-6.58744,-3.914546
2.202,6.337342,-6.587496,-3.912762
2.222,6.336925,-6.58467,-3.910213
2.242,6.337379,-6.587541,-3.908768
2.262,6.337686,-6.593694,-3.907823
2.282,6.337315,-6.597324,-3.908664
2.302,6.336953,-6.59744,-3.907166
2.322,6.337384,-6.596891,-3.904975
2.342,6.336999,-6.599492,-3.903937
2.362,6.335291,-6.60322,-3.901902
2.382,6.333563,-6.605934,-3.900498
2.402,6.33228,-6.606845,-3.897794
2.422,6.329865,-6.608326,-3.895902
2.442,6.326265,-6.610848,-3.89542
2.462,6.323644,-6.612458,-3.895097
2.482,6.321558,-6.613668,-3.894404
2.502,6.319285,-6.615832,-3.894874
2.522,6.318314,-6.619066,-3.89539
2.542,6.3184,-6.622726,-3.894606
2.562,6.317802,-6.624024,-3.89201
2.582,6.315926,-6.623031,-3.88675
2.602,6.313227,-6.620674,-3.88003
2.622,6.311742,-6.619573,-3.875458
2.642,6.312335,-6.623015,-3.876139
2.662,6.311485,-6.631943,-3.880883
2.682,6.307716,-6.638573,-3.88496
2.702,6.303169,-6.639642,-3.887754
2.722,6.298861,-6.641011,-3.892344
2.742,6.293401,-6.644461,-3.897036
3.129,6.290891,-6.649778,-3.900027
3.149,6.289305,-6.652583,-3.902631
3.169,6.28724,-6.653167,-3.905237
3.189,6.284329,-6.653893,-3.907042
3.209,6.281772,-6.656575,-3.909907
3.229,6.278665,-6.662123,-3.912425
3.249,6.274573,-6.66655,-3.910976
3.269,6.269542,-6.66719,-3.906056
3.289,6.26449,-6.666328,-3.900486
3.309,6.257813,-6.666664,-3.896945
3.329,6.249239,-6.670597,-3.899755
3.353,6.245847,-6.67909,-3.905002
3.373,6.24405,-6.682385,-3.91046
3.393,6.243093,-6.687113,-3.916582
3.413,6.243653,-6.691924,-3.920583
3.433,6.245022,-6.693359,-3.921289
3.453,6.245683,-6.694996,-3.921796
3.473,6.246505,-6.700614,-3.925243
3.493,6.247702,-6.711084,-3.928344
3.513,6.248049,-6.718194,-3.925835
3.533,6.24832,-6.720563,-3.922418
3.553,6.248278,-6.724082,-3.92028
3.573,6.246655,-6.728787,-3.91802
3.593,6.245217,-6.731841,-3.915471
3.613,6.244535,-6.734817,-3.912229
3.633,6.243286,-6.739199,-3.908948
3.653,6.243222,-6.737982,-3.905245
3.673,6.242632,-6.734408,-3.901387
3.693,6.242407,-6.732378,-3.895557
