gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
0.669,0.032908,-0.014389,0.00826
0.689,0.047963,-0.016987,0.0004
0.709,0.024278,-0.021229,-0.008707
0.729,-0.002831,-0.02385,-0.014129
0.749,-0.003413,-0.026835,-0.023465
0.769,0.000991,-0.028448,-0.036236
0.789,-0.009869,-0.027067,-0.049764
0.809,-0.025338,-0.021962,-0.059772
0.829,-0.049107,-0.01615,-0.068278
0.849,-0.078104,-0.013046,-0.074937
0.869,-0.100053,-0.011114,-0.080594
0.889,-0.102818,-0.008322,-0.083961
0.909,-0.093451,-0.003746,-0.087616
0.929,-0.08438,0.000631,-0.090777
0.949,-0.080453,0.003487,-0.090585
0.969,-0.079992,0.006029,-0.087773
0.989,-0.076717,0.007854,-0.084032
1.009,-0.073764,0.008683,-0.081005
1.029,-0.069831,0.008194,-0.078552
1.049,-0.062805,0.007895,-0.075858
1.069,-0.054258,0.008142,-0.072835
1.089,-0.047736,0.008575,-0.06947
1.109,-0.04624,0.009134,-0.065847
1.129,-0.045877,0.009808,-0.062422
1.149,-0.045765,0.01024,-0.059535
1.169,-0.045196,0.010535,-0.057074
1.189,-0.043942,0.010779,-0.054946
1.209,-0.043422,0.010808,-0.053209
1.229,-0.043655,0.01034,-0.051701
1.249,-0.044018,0.009366,-0.050016
1.269,-0.043175,0.00832,-0.048185
1.289,-0.041898,0.006721,-0.046365
1.309,-0.040832,0.004463,-0.044747
1.329,-0.041544,0.001017,-0.043314
1.349,-0.04098,-0.00362,-0.04195
1.369,-0.035233,-0.0101,-0.040861
1.389,-0.026152,-0.018943,-0.039402
1.409,-0.021141,-0.029806,-0.037061
1.429,-0.026166,-0.041585,-0.033287
1.449,-0.041032,-0.05273,-0.029103
1.469,-0.058758,-0.061119,-0.02601
1.489,-0.069986,-0.065606,-0.02501
1.509,-0.068552,-0.066158,-0.026107
1.529,-0.061413,-0.065465,-0.027054
1.549,-0.057903,-0.062962,-0.028206
1.569,-0.057207,-0.06013,-0.029187
1.589,-0.057086,-0.058386,-0.030362
1.609,-0.056864,-0.057293,-0.031751
1.629,-0.057792,-0.055981,-0.03309
1.649,-0.059982,-0.055307,-0.034699
1.669,-0.060359,-0.055004,-0.035382
1.689,-0.055897,-0.054758,-0.035515
1.709,-0.051201,-0.054706,-0.035608
1.729,-0.049811,-0.054736,-0.035742
1.749,-0.05125,-0.054682,-0.035746
1.769,-0.052341,-0.054676,-0.035559
1.789,-0.050621,-0.054793,-0.035127
1.809,-0.047876,-0.055187,-0.034485
1.829,-0.046002,-0.055751,-0.033685
1.849,-0.043837,-0.056727,-0.032768
1.869,-0.041295,-0.057944,-0.031726
1.889,-0.03912,-0.058939,-0.03085
1.909,-0.038532,-0.059825,-0.030148
1.929,-0.03955,-0.060709,-0.029373
1.949,-0.040283,-0.061364,-0.02875
1.969,-0.040658,-0.061513,-0.028322
1.989,-0.041036,-0.061148,-0.028208
2.009,-0.041406,-0.060472,-0.028256
2.029,-0.042073,-0.059641,-0.028383
2.049,-0.042552,-0.058784,-0.028603
2.069,-0.042235,-0.057641,-0.028952
2.089,-0.041544,-0.056482,-0.029372
