gyro_time_list,gyro_x_list,gyro_y_list,gyro_z_list
1.129,0.254272,0.39623,0.174799
1.149,0.316531,0.418893,0.20215
1.169,0.357324,0.389117,0.160744
1.189,0.378831,0.29742,0.129703
1.209,0.368805,0.202067,0.115457
1.229,0.354247,0.17642,0.095028
1.249,0.364521,0.247112,0.065933
1.269,0.391522,0.300985,-0.011679
1.308,0.392755,0.198666,-0.153115
1.328,0.350628,0.071593,-0.299861
1.348,0.283154,-0.056064,-0.40735
1.368,0.201236,-0.101726,-0.450275
1.388,0.152006,-0.062807,-0.381195
1.408,0.165013,-0.006614,-0.290012
1.428,0.167681,0.015742,-0.224354
1.448,0.167006,0.015871,-0.178217
1.468,0.167485,0.016612,-0.147131
1.488,0.160251,0.020028,-0.126809
1.508,0.147565,0.014656,-0.117809
1.528,0.133095,0.006657,-0.112569
1.548,0.117638,0.004278,-0.101881
1.587,0.106937,-0.000639,-0.089667
1.607,0.100955,-0.022811,-0.082915
1.627,0.095744,-0.066937,-0.07581
1.647,0.091261,-0.100544,-0.065732
1.667,0.094065,-0.103452,-0.059887
1.687,0.09517,-0.104342,-0.05722
1.707,0.089805,-0.119275,-0.058451
1.727,0.082724,-0.131606,-0.062435
1.747,0.082112,-0.135744,-0.065567
1.767,0.089445,-0.105439,-0.05638
1.787,0.09274,-0.089672,-0.047039
1.807,0.101819,-0.08779,-0.048883
1.827,0.110643,-0.07083,-0.048388
1.847,0.109332,-0.062539,-0.048519
1.886,0.107739,-0.064909,-0.052053
1.906,0.101449,-0.047716,-0.054843
1.926,0.087225,-0.017631,-0.049505
1.946,0.074697,0.009688,-0.046013
1.966,0.067677,0.015654,-0.044531
1.986,0.066801,-0.009867,-0.045819
2.006,0.066948,-0.039506,-0.048899
2.026,0.063464,-0.047674,-0.05105
2.046,0.057672,-0.021062,-0.049473
2.066,0.046359,0.003498,-0.048301
2.086,0.039587,0.007059,-0.044655
2.106,0.036201,0.000973,-0.043969
2.126,0.032594,0.001715,-0.043339
2.165,0.028505,0.008521,-0.039482
2.185,0.024359,0.010211,-0.038703
2.205,0.021343,0.009243,-0.036701
2.225,0.019573,0.009146,-0.032995
2.245,0.016458,0.011208,-0.028643
2.265,0.013808,0.008675,-0.025133
2.285,0.011295,0.00337,-0.021815
2.305,0.010258,0.001668,-0.020143
2.325,0.008609,0.003048,-0.018812
2.345,0.005846,0.001757,-0.017773
2.365,0.002233,-0.001887,-0.017846
2.385,-0.002536,-0.002322,-0.017019
2.405,-0.009212,-0.002363,-0.015021
2.425,-0.018362,-0.003,-0.012613
2.464,-0.022349,-0.004176,-0.011362
2.484,-0.022694,-0.00325,-0.012635
2.504,-0.022217,-0.001874,-0.014023
2.524,-0.016754,0.003358,-0.017007
2.544,-0.009807,0.006937,-0.020407
2.564,-0.006925,0.007474,-0.021107
2.584,-0.007361,0.010144,-0.020389
2.604,-0.008217,0.015915,-0.020896
2.624,-0.009258,0.020304,-0.020929
2.644,-0.010789,0.021658,-0.020078
2.664,-0.012017,0.020385,-0.019407
2.684,-0.013678,0.019175,-0.01906
2.704,-0.015312,0.020408,-0.018412
2.743,-0.017161,0.022471,-0.01772
2.763,-0.017225,0.022328,-0.017831
2.783,-0.017758,0.021167,-0.01745
2.803,-0.016149,0.025836,-0.017683
2.823,-0.015149,0.030682,-0.017799
2.843,-0.014935,0.031826,-0.017466
2.863,-0.014624,0.030561,-0.017575
2.883,-0.014534,0.028825,-0.017678
2.903,-0.014676,0.027913,-0.017214
2.923,-0.015412,0.027849,-0.015903
2.943,-0.016147,0.027952,-0.014701
2.963,-0.01637,0.027233,-0.013716
2.983,-0.016585,0.025717,-0.012662
3.003,-0.016586,0.025268,-0.012031
3.042,-0.016699,0.025074,-0.011806
3.062,-0.016898,0.024555,-0.012
3.082,-0.016988,0.023885,-0.012765
3.102,-0.017345,0.023121,-0.013522
3.122,-0.017004,0.023506,-0.014065
3.142,-0.017089,0.022692,-0.014046
3.162,-0.017717,0.022016,-0.013853
3.182,-0.017764,0.021704,-0.014186
3.202,-0.018062,0.020846,-0.014044
3.222,-0.018808,0.020673,-0.013545
3.242,-0.019246,0.02069,-0.01334
3.266,-0.019933,0.02003,-0.013175
3.301,-0.020889,0.019989,-0.01273
3.321,-0.022213,0.020103,-0.01238
3.341,-0.022681,0.019137,-0.012376
3.361,-0.022505,0.018135,-0.01326
3.381,-0.022425,0.018155,-0.013422
3.401,-0.022478,0.017235,-0.01324
3.421,-0.02333,0.015581,-0.012946
3.441,-0.023897,0.015332,-0.012872
3.461,-0.02418,0.015319,-0.01302
3.481,-0.025094,0.015241,-0.012869
3.501,-0.02569,0.015911,-0.012838
3.521,-0.02533,0.015931,-0.013732
3.541,-0.025885,0.015426,-0.01404
