accel_time_list,accel_x_list,accel_y_list,accel_z_list
181.609,-0.522375,0.218725,10.73629
181.646,-0.521724,0.218432,10.73667
181.685,-0.521278,0.218099,10.73697
181.705,-0.520795,0.217755,10.73734
181.725,-0.520302,0.217432,10.73769
181.745,-0.519822,0.217109,10.73798
181.784,-0.519422,0.216759,10.73842
181.804,-0.51894,0.216451,10.73879
181.824,-0.518314,0.216151,10.73911
181.844,-0.517881,0.215855,10.73943
181.864,-0.517572,0.21538,10.73964
181.884,-0.517169,0.214986,10.73992
181.904,-0.516824,0.214624,10.74017
181.924,-0.516368,0.214292,10.74041
181.944,-0.515976,0.214013,10.74084
181.964,-0.515557,0.213759,10.74122
181.984,-0.51519,0.213385,10.74148
182.004,-0.514796,0.212975,10.74175
182.024,-0.51436,0.212551,10.74205
182.044,-0.513947,0.212132,10.74227
182.066,-0.513569,0.211669,10.74253
182.103,-0.513198,0.211251,10.74281
182.123,-0.51273,0.210838,10.74309
182.143,-0.512279,0.21039,10.74332
182.163,-0.51194,0.209875,10.74358
182.183,-0.511553,0.209413,10.74392
182.203,-0.511194,0.209032,10.74418
182.223,-0.510804,0.208591,10.74444
182.243,-0.510166,0.207968,10.74468
182.263,-0.510089,0.207665,10.74496
182.283,-0.509855,0.207439,10.74539
182.303,-0.509297,0.206954,10.74568
182.342,-0.508871,0.20655,10.74591
182.362,-0.508387,0.206223,10.74629
182.382,-0.507986,0.205808,10.74668
182.402,-0.507527,0.205339,10.74701
182.422,-0.507086,0.204883,10.74725
182.442,-0.506495,0.204435,10.74756
182.462,-0.506019,0.203964,10.74788
182.482,-0.505674,0.203403,10.74815
182.502,-0.505287,0.202764,10.74836
182.522,-0.505078,0.202193,10.74868
182.542,-0.50487,0.201626,10.7488
182.562,-0.504151,0.201041,10.74901
182.582,-0.503513,0.200664,10.74927
182.621,-0.503134,0.200243,10.74961
182.641,-0.502766,0.199808,10.74992
182.661,-0.50215,0.199389,10.75025
182.681,-0.501631,0.198928,10.7506
182.701,-0.501215,0.198443,10.75088
182.721,-0.500822,0.197908,10.75115
182.741,-0.500324,0.197386,10.75145
182.761,-0.49987,0.196872,10.75173
182.781,-0.499412,0.196336,10.752
182.801,-0.49903,0.195785,10.75229
182.821,-0.498664,0.195266,10.75255
182.841,-0.498169,0.194724,10.75282
182.861,-0.497654,0.194216,10.75312
182.9,-0.497215,0.193708,10.7534
182.92,-0.49663,0.193185,10.75358
182.94,-0.496177,0.192678,10.75381
182.96,-0.495836,0.192165,10.75412
182.98,-0.495434,0.191697,10.75439
183,-0.494929,0.191217,10.7547
183.02,-0.494503,0.190698,10.75501
183.04,-0.494105,0.190165,10.75526
183.06,-0.49374,0.18964,10.75551
183.08,-0.493194,0.189184,10.75576
183.1,-0.492758,0.188737,10.756
183.12,-0.492392,0.188262,10.7563
183.14,-0.491964,0.187773,10.75652
183.179,-0.491523,0.187257,10.75678
183.199,-0.491093,0.186742,10.75705
183.219,-0.490686,0.186243,10.75728
183.239,-0.490212,0.185714,10.75756
183.259,-0.489818,0.185293,10.75783
183.279,-0.489409,0.184805,10.75798
183.299,-0.48891,0.184326,10.75825
183.319,-0.488483,0.183792,10.75854
183.339,-0.488079,0.183279,10.75875
183.359,-0.487645,0.182799,10.75902
183.379,-0.487269,0.18226,10.75931
183.399,-0.486792,0.181742,10.75958
183.438,-0.486409,0.181229,10.75981
183.458,-0.486011,0.180709,10.76007
183.478,-0.48566,0.180178,10.76029
183.498,-0.48527,0.179632,10.76059
183.518,-0.484892,0.179169,10.76081
183.538,-0.484459,0.1787,10.76104
183.558,-0.484042,0.178224,10.76129
183.579,-0.483723,0.177737,10.76148
183.618,-0.483365,0.177242,10.7617
183.638,-0.482972,0.176729,10.76192
183.658,-0.482631,0.176213,10.76217
183.678,-0.482282,0.175753,10.76238
183.717,-0.481898,0.175251,10.76264
183.737,-0.481515,0.174777,10.76284
183.757,-0.481149,0.174284,10.76306
183.777,-0.480769,0.173788,10.76332
183.797,-0.480395,0.173305,10.76354
